time,Atlanta,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Plumlee (J. Murray gains possession),,,,Jump ball: M. Plumlee vs. M. Plumlee (J. Murray gains possession)
11:37.0,,,0-0,,W. Chandler misses 3-pt shot from 22 ft
11:34.0,,,0-0,,Offensive rebound by M. Plumlee
11:29.0,,,0-3,3,G. Harris makes 3-pt shot from 24 ft (assist by J. Murray)
11:08.0,T. Waller-Prince misses 3-pt shot from 24 ft,,0-3,,
11:03.0,,,0-3,,Defensive rebound by G. Harris
10:52.0,,,0-6,3,J. Murray makes 3-pt shot from 25 ft (assist by M. Plumlee)
10:35.0,K. Bazemore makes 2-pt shot from 22 ft (assist by D. Schroder),2,2-6,,
10:22.0,,,2-6,,Turnover by J. Murray (bad pass; steal by E. Ilyasova)
10:12.0,E. Ilyasova misses 2-pt shot from 2 ft,,2-6,,
10:10.0,,,2-6,,Defensive rebound by M. Plumlee
10:04.0,,,2-6,,J. Murray misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by T. Waller-Prince,,2-6,,
9:57.0,,,2-6,,Personal block foul by M. Plumlee (drawn by D. Schroder)
9:49.0,Turnover by K. Bazemore (lost ball; steal by G. Harris),,2-6,,
9:39.0,Personal foul by K. Bazemore (drawn by G. Harris),,2-6,,
9:33.0,,,2-6,,W. Chandler misses 2-pt shot from 2 ft
9:31.0,Defensive rebound by M. Plumlee,,2-6,,
9:24.0,D. Schroder makes 2-pt shot from 15 ft,2,4-6,,
9:04.0,,,4-6,,W. Chandler misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by M. Plumlee,,4-6,,
8:53.0,T. Waller-Prince misses 3-pt shot from 26 ft,,4-6,,
8:47.0,,,4-6,,Defensive rebound by G. Harris
8:40.0,,,4-9,3,J. Murray makes 3-pt shot from 24 ft (assist by G. Harris)
8:22.0,D. Schroder misses 2-pt shot from 10 ft,,4-9,,
8:18.0,Offensive rebound by E. Ilyasova,,4-9,,
8:16.0,E. Ilyasova misses 2-pt shot from 2 ft (block by J. Murray),,4-9,,
8:15.0,Offensive rebound by E. Ilyasova,,4-9,,
8:14.0,E. Ilyasova misses 2-pt shot from 7 ft (block by N. Jokic),,4-9,,
8:14.0,Offensive rebound by Team,,4-9,,
8:09.0,T. Waller-Prince makes 3-pt shot from 22 ft (assist by D. Schroder),3,7-9,,
7:55.0,,,7-11,2,M. Plumlee makes 2-pt shot from 16 ft (assist by J. Murray)
7:34.0,T. Waller-Prince makes 3-pt shot from 22 ft (assist by D. Schroder),3,10-11,,
7:11.0,,,10-11,,N. Jokic misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by K. Bazemore,,10-11,,
7:03.0,M. Plumlee misses 2-pt shot from 2 ft,,10-11,,
6:59.0,,,10-11,,Defensive rebound by W. Chandler
6:57.0,,,10-11,,J. Murray misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by D. Schroder,,10-11,,
6:48.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by K. Bazemore),3,13-11,,
6:46.0,,,13-11,,Denver full timeout
