time,New Orleans,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. A. Davis (C. Lee gains possession),,,,Jump ball: K. Porzingis vs. A. Davis (C. Lee gains possession)
11:40.0,,,0-0,,E. Kanter misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by D. Cousins,,0-0,,
11:23.0,D. Cousins misses 2-pt shot from 2 ft (block by E. Kanter),,0-0,,
11:21.0,,,0-0,,Defensive rebound by L. Thomas
11:12.0,,,0-2,2,J. Jack makes 2-pt shot at rim
11:03.0,,,0-2,,Personal foul by E. Kanter (drawn by D. Cousins)
10:57.0,A. Davis makes 2-pt shot from 10 ft,2,2-2,,
10:44.0,,,2-2,,K. Porzingis misses 2-pt shot from 12 ft
10:42.0,Defensive rebound by R. Rondo,,2-2,,
10:37.0,J. Holiday misses 3-pt shot from 25 ft,,2-2,,
10:35.0,,,2-2,,Defensive rebound by J. Jack
10:22.0,,,2-4,2,K. Porzingis makes 2-pt shot from 15 ft (assist by C. Lee)
10:11.0,Turnover by D. Cousins (bad pass; steal by K. Porzingis),,2-4,,
10:08.0,,,2-6,2,E. Kanter makes 2-pt shot at rim (assist by K. Porzingis)
10:00.0,E. Moore makes 3-pt shot from 25 ft (assist by R. Rondo),3,5-6,,
9:49.0,,,5-9,3,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Jack)
9:35.0,Shooting foul by K. Porzingis (drawn by A. Davis),,5-9,,
9:35.0,A. Davis makes free throw 1 of 2,1,6-9,,
9:35.0,A. Davis misses free throw 2 of 2,,6-9,,
9:33.0,,,6-9,,Defensive rebound by K. Porzingis
9:26.0,,,6-9,,C. Lee misses 3-pt shot from 27 ft
9:24.0,Defensive rebound by D. Cousins,,6-9,,
9:09.0,A. Davis misses 2-pt shot from 2 ft,,6-9,,
9:07.0,Offensive rebound by J. Holiday,,6-9,,
9:02.0,A. Davis makes 2-pt shot from 14 ft,2,8-9,,
8:48.0,,,8-11,2,E. Kanter makes 2-pt shot from 13 ft (assist by J. Jack)
8:28.0,R. Rondo misses 3-pt shot from 22 ft,,8-11,,
8:26.0,,,8-11,,Defensive rebound by E. Kanter
8:23.0,,,8-11,,Shooting foul by R. Rondo (drawn by L. Thomas)
8:23.0,,,8-12,1,L. Thomas makes free throw 1 of 2
