time,Milwaukee,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Henson (J. Wall gains possession),,,,Jump ball: M. Gortat vs. J. Henson (J. Wall gains possession)
11:39.0,,,0-0,,M. Morris misses 2-pt shot from 12 ft
11:34.0,,,0-0,,Offensive rebound by M. Gortat
11:32.0,,,0-3,3,J. Wall makes 3-pt shot from 24 ft (assist by M. Morris)
11:15.0,K. Middleton makes 2-pt shot from 10 ft (assist by G. Antetokounmpo),2,2-3,,
11:02.0,,,2-3,,Turnover by J. Wall (bad pass; steal by E. Bledsoe)
10:57.0,K. Middleton makes 2-pt shot at rim (assist by M. Brogdon),2,4-3,,
10:40.0,,,4-3,,B. Beal misses 2-pt shot from 13 ft
10:37.0,Defensive rebound by M. Brogdon,,4-3,,
10:21.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,6-3,,
10:08.0,,,6-3,,O. Porter misses 2-pt shot from 19 ft
10:04.0,Defensive rebound by K. Middleton,,6-3,,
9:59.0,K. Middleton misses 2-pt shot from 7 ft,,6-3,,
9:55.0,Offensive rebound by M. Brogdon,,6-3,,
9:52.0,M. Brogdon makes 2-pt shot from 16 ft,2,8-3,,
9:42.0,,,8-3,,Turnover by M. Gortat (bad pass)
9:32.0,K. Middleton makes 2-pt shot from 18 ft (assist by G. Antetokounmpo),2,10-3,,
9:29.0,,,10-3,,Washington full timeout
9:14.0,,,10-3,,J. Wall misses 2-pt shot from 9 ft
9:12.0,Defensive rebound by G. Antetokounmpo,,10-3,,
9:10.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,10-3,,
9:10.0,G. Antetokounmpo misses free throw 1 of 2,,10-3,,
9:10.0,Offensive rebound by Team,,10-3,,
9:10.0,G. Antetokounmpo makes free throw 2 of 2,1,11-3,,
9:02.0,,,11-3,,Turnover by J. Wall (bad pass; steal by J. Henson)
8:58.0,M. Brogdon misses 3-pt shot from 25 ft,,11-3,,
8:54.0,,,11-3,,Defensive rebound by M. Morris
8:44.0,,,11-5,2,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter)
8:29.0,K. Middleton misses 2-pt shot from 14 ft,,11-5,,
8:25.0,,,11-5,,Defensive rebound by M. Gortat
8:15.0,,,11-5,,J. Wall misses 2-pt shot from 5 ft
8:13.0,Defensive rebound by G. Antetokounmpo,,11-5,,
7:57.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,11-5,,
7:54.0,,,11-5,,Defensive rebound by O. Porter
7:48.0,,,11-8,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
7:28.0,J. Henson misses 2-pt shot from 1 ft,,11-8,,
7:24.0,Offensive rebound by J. Henson,,11-8,,
7:24.0,Turnover by J. Henson (bad pass),,11-8,,
7:10.0,,,11-8,,M. Gortat misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
7:06.0,Defensive rebound by J. Henson,,11-8,,
7:02.0,M. Brogdon misses 3-pt shot from 23 ft,,11-8,,
6:58.0,Offensive rebound by M. Brogdon,,11-8,,
6:56.0,J. Henson makes 2-pt shot from 1 ft (assist by M. Brogdon),2,13-8,,
6:44.0,Personal foul by K. Middleton (drawn by O. Porter),,13-8,,
6:31.0,,,13-10,2,B. Beal makes 2-pt shot from 8 ft (assist by J. Wall)
6:11.0,M. Brogdon makes 2-pt shot from 1 ft,2,15-10,,
5:51.0,,,15-10,,Shooting foul by K. Middleton (drawn by O. Porter)
5:51.0,,,15-11,1,O. Porter makes free throw 1 of 2
5:51.0,T. Snell enters the game for K. Middleton,,15-11,,
5:51.0,,,15-12,1,O. Porter makes free throw 2 of 2
5:40.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,15-12,,
5:32.0,Offensive rebound by G. Antetokounmpo,,15-12,,
5:32.0,G. Antetokounmpo makes 2-pt shot at rim,2,17-12,,
5:25.0,,,17-14,2,B. Beal makes 2-pt shot from 3 ft
5:25.0,,,17-14,,Shooting foul by M. Brogdon (drawn by B. Beal)
5:25.0,,,17-15,1,B. Beal makes free throw 1 of 1
5:11.0,Shooting foul by J. Wall (drawn by G. Antetokounmpo),,17-15,,
5:11.0,G. Antetokounmpo makes free throw 1 of 2,1,18-15,,
5:11.0,G. Antetokounmpo makes free throw 2 of 2,1,19-15,,
4:59.0,,,19-17,2,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall)
4:43.0,Turnover by M. Brogdon (out of bounds lost ball),,19-17,,
4:32.0,Personal foul by T. Snell (drawn by M. Gortat),,19-17,,
4:32.0,T. Maker enters the game for J. Henson,,19-17,,
4:21.0,,,19-19,2,J. Wall makes 2-pt shot from 17 ft (assist by M. Morris)
4:05.0,Turnover by T. Snell (bad pass; steal by J. Wall),,19-19,,
4:02.0,,,19-21,2,J. Wall makes 2-pt shot from 1 ft
4:02.0,Milwaukee full timeout,,19-21,,
3:51.0,Turnover by G. Antetokounmpo (lost ball; steal by M. Gortat),,19-21,,
3:47.0,Personal foul by E. Bledsoe (drawn by J. Wall),,19-21,,
3:47.0,,,19-22,1,J. Wall makes free throw 2 of 2
3:47.0,,,19-23,1,J. Wall makes free throw 1 of 2
3:26.0,,,19-23,,K. Oubre enters the game for O. Porter
3:23.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,19-23,,
3:19.0,,,19-23,,Defensive rebound by M. Morris
3:14.0,,,19-23,,Turnover by M. Morris (traveling)
3:04.0,T. Maker makes 2-pt shot from 10 ft (assist by E. Bledsoe),2,21-23,,
2:47.0,,,21-23,,Turnover by B. Beal (bad pass; steal by E. Bledsoe)
2:47.0,Shooting foul by B. Beal (drawn by E. Bledsoe),,21-23,,
2:47.0,E. Bledsoe makes free throw 1 of 2,1,22-23,,
2:47.0,,,22-23,,M. Scott enters the game for B. Beal
2:47.0,,,22-23,,T. Satoransky enters the game for M. Morris
2:47.0,M. Dellavedova enters the game for M. Brogdon,,22-23,,
2:47.0,E. Bledsoe makes free throw 2 of 2,1,23-23,,
2:37.0,,,23-25,2,J. Wall makes 2-pt shot from 2 ft
2:28.0,E. Bledsoe misses 2-pt shot from 18 ft,,23-25,,
2:25.0,,,23-25,,Defensive rebound by M. Gortat
2:15.0,,,23-25,,Offensive foul by M. Gortat (drawn by T. Maker)
2:15.0,,,23-25,,Turnover by M. Gortat (offensive foul)
2:15.0,,,23-25,,I. Mahinmi enters the game for M. Gortat
