time,Milwaukee,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. J. Henson (B. Simmons gains possession),,,,Jump ball: J. Embiid vs. J. Henson (B. Simmons gains possession)
11:37.0,,,0-0,,D. Saric misses 2-pt shot from 9 ft
11:32.0,,,0-0,,Offensive rebound by B. Simmons
11:32.0,,,0-2,2,B. Simmons makes 2-pt shot at rim
11:19.0,K. Middleton misses 3-pt shot from 26 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by R. Covington
11:09.0,Personal foul by T. Snell (drawn by B. Simmons),,0-2,,
11:01.0,,,0-4,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
10:50.0,E. Bledsoe makes 2-pt shot from 1 ft,2,2-4,,
10:38.0,,,2-4,,J. Embiid misses 2-pt shot from 2 ft
10:35.0,Defensive rebound by J. Henson,,2-4,,
10:30.0,T. Snell makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,5-4,,
10:06.0,,,5-6,2,R. Covington makes 2-pt shot from 15 ft (assist by B. Simmons)
9:43.0,Shooting foul by T. Luwawu-Cabarrot (drawn by E. Bledsoe),,5-6,,
9:43.0,E. Bledsoe makes free throw 1 of 2,1,6-6,,
9:43.0,E. Bledsoe misses free throw 2 of 2,,6-6,,
9:39.0,,,6-6,,Defensive rebound by D. Saric
9:25.0,,,6-9,3,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric)
9:01.0,Turnover by E. Bledsoe (bad pass; steal by J. Embiid),,6-9,,
8:55.0,,,6-9,,D. Saric misses 2-pt shot from 1 ft
8:51.0,Defensive rebound by K. Middleton,,6-9,,
8:45.0,T. Snell misses 3-pt shot from 25 ft,,6-9,,
8:42.0,,,6-9,,Defensive rebound by J. Embiid
8:37.0,,,6-12,3,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons)
8:22.0,K. Middleton misses 2-pt shot from 15 ft,,6-12,,
8:21.0,,,6-12,,Defensive rebound by R. Covington
8:10.0,,,6-14,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by D. Saric)
8:10.0,Milwaukee full timeout,,6-14,,
7:53.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,8-14,,
7:45.0,,,8-14,,R. Covington misses 3-pt shot from 28 ft
7:42.0,Defensive rebound by K. Middleton,,8-14,,
7:36.0,K. Middleton makes 2-pt shot from 7 ft,2,10-14,,
7:22.0,,,10-16,2,J. Embiid makes 2-pt shot at rim (assist by D. Saric)
7:04.0,Offensive foul by J. Henson (drawn by R. Covington),,10-16,,
7:04.0,Turnover by J. Henson (offensive foul),,10-16,,
7:04.0,,,10-16,,J. Anderson enters the game for R. Covington
7:04.0,,,10-16,,T. McConnell enters the game for T. Luwawu-Cabarrot
6:41.0,,,10-18,2,B. Simmons makes 2-pt shot from 10 ft
6:27.0,,,10-18,,Def 3 sec tech foul by J. Anderson
6:27.0,K. Middleton makes free throw 1 of 1,1,11-18,,
6:27.0,M. Dellavedova enters the game for E. Bledsoe,,11-18,,
6:27.0,T. Maker enters the game for J. Henson,,11-18,,
6:27.0,,,11-18,,A. Johnson enters the game for J. Embiid
6:10.0,K. Middleton makes 2-pt shot from 2 ft,2,13-18,,
5:59.0,,,13-18,,D. Saric misses 3-pt shot from 27 ft
5:59.0,Defensive rebound by M. Dellavedova,,13-18,,
5:49.0,T. Maker misses 2-pt shot from 9 ft,,13-18,,
5:45.0,,,13-18,,Defensive rebound by A. Johnson
5:37.0,,,13-20,2,T. McConnell makes 2-pt shot from 1 ft (assist by D. Saric)
5:13.0,S. Brown makes 3-pt shot from 25 ft (assist by K. Middleton),3,16-20,,
5:03.0,,,16-20,,Shooting foul by K. Middleton (drawn by D. Saric)
5:03.0,,,16-21,1,D. Saric makes free throw 1 of 2
5:03.0,,,16-22,1,D. Saric makes free throw 2 of 2
5:00.0,Turnover by T. Maker (bad pass; steal by T. McConnell),,16-22,,
4:56.0,,,16-24,2,B. Simmons makes 2-pt shot from 2 ft (assist by T. McConnell)
4:33.0,K. Middleton makes 2-pt shot from 14 ft,2,18-24,,
4:33.0,Shooting foul by T. McConnell (drawn by K. Middleton),,18-24,,
4:33.0,K. Middleton makes free throw 1 of 1,1,19-24,,
4:23.0,J. Terry enters the game for T. Snell,,19-24,,
4:10.0,,,19-26,2,J. Anderson makes 2-pt shot at rim (assist by D. Saric)
3:48.0,K. Middleton misses 3-pt shot from 23 ft,,19-26,,
3:46.0,Offensive rebound by S. Brown,,19-26,,
3:46.0,Shooting foul by A. Johnson (drawn by K. Middleton),,19-26,,
3:46.0,K. Middleton makes free throw 1 of 2,1,20-26,,
3:46.0,,,20-26,,J. Embiid enters the game for A. Johnson
3:46.0,,,20-26,,T. Booker enters the game for D. Saric
3:46.0,,,20-26,,J. Young enters the game for B. Simmons
3:46.0,K. Middleton makes free throw 2 of 2,1,21-26,,
3:37.0,,,21-29,3,J. Young makes 3-pt shot from 23 ft (assist by T. McConnell)
3:17.0,S. Brown makes 3-pt shot from 25 ft (assist by K. Middleton),3,24-29,,
2:53.0,,,24-29,,J. Young misses 2-pt shot from 4 ft
2:51.0,Defensive rebound by K. Middleton,,24-29,,
2:46.0,S. Brown makes 3-pt shot from 27 ft (assist by J. Terry),3,27-29,,
2:44.0,,,27-29,,Philadelphia full timeout
2:44.0,,,27-29,,R. Covington enters the game for J. Anderson
2:20.0,,,27-29,,T. McConnell misses 2-pt shot from 17 ft
2:18.0,Defensive rebound by Team,,27-29,,
2:05.0,K. Middleton misses 2-pt shot from 10 ft,,27-29,,
2:03.0,,,27-29,,Defensive rebound by R. Covington
1:53.0,,,27-29,,J. Embiid misses 2-pt shot from 1 ft
1:50.0,Defensive rebound by M. Dellavedova,,27-29,,
1:43.0,Turnover by S. Brown (lost ball; steal by R. Covington),,27-29,,
1:40.0,,,27-29,,Shooting foul by M. Dellavedova (drawn by J. Young)
1:40.0,,,27-29,,J. Young misses free throw 1 of 2
1:40.0,,,27-29,,Offensive rebound by Team
1:40.0,,,27-30,1,J. Young makes free throw 2 of 2
1:26.0,S. Brown misses 2-pt shot from 3 ft,,27-30,,
1:24.0,,,27-30,,Defensive rebound by J. Embiid
1:19.0,,,27-32,2,T. Booker makes 2-pt shot from 2 ft (assist by R. Covington)
1:04.0,Turnover by J. Terry (lost ball; steal by R. Covington),,27-32,,
0:59.0,,,27-35,3,R. Covington makes 3-pt shot from 23 ft (assist by T. McConnell)
0:38.0,K. Middleton misses 2-pt shot from 17 ft,,27-35,,
0:34.0,,,27-35,,Defensive rebound by J. Embiid
0:27.0,,,27-35,,Turnover by Team (turnover)
0:27.0,T. Snell enters the game for K. Middleton,,27-35,,
0:27.0,S. Kilpatrick enters the game for S. Brown,,27-35,,
0:08.0,Shooting foul by T. Booker (drawn by M. Dellavedova),,27-35,,
0:08.0,M. Dellavedova makes free throw 1 of 2,1,28-35,,
0:08.0,M. Dellavedova makes free throw 2 of 2,1,29-35,,
0:02.0,,,29-37,2,T. McConnell makes 2-pt shot from 1 ft
