time,Phoenix,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Sabonis vs. T. Chandler (D. Bender gains possession),,,,Jump ball: D. Sabonis vs. T. Chandler (D. Bender gains possession)
11:40.0,T. Ulis misses 3-pt shot from 24 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by B. Bogdanovic
11:18.0,,,0-0,,Turnover by D. Sabonis (bad pass)
10:58.0,D. Booker misses 2-pt shot from 4 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by V. Oladipo
10:47.0,,,0-2,2,B. Bogdanovic makes 2-pt shot from 10 ft (assist by V. Oladipo)
10:30.0,T. Chandler makes 2-pt shot from 1 ft (assist by D. Bender),2,2-2,,
10:08.0,,,2-5,3,T. Young makes 3-pt shot from 22 ft (assist by D. Sabonis)
9:53.0,D. Bender misses 3-pt shot from 27 ft,,2-5,,
9:51.0,,,2-5,,Defensive rebound by B. Bogdanovic
9:40.0,,,2-5,,D. Sabonis misses 2-pt shot from 5 ft
9:39.0,Defensive rebound by D. Booker,,2-5,,
9:31.0,D. Booker makes 2-pt shot at rim,2,4-5,,
9:08.0,,,4-5,,B. Bogdanovic misses 2-pt shot from 11 ft
9:04.0,Defensive rebound by T. Warren,,4-5,,
8:49.0,T. Warren misses 2-pt shot from 14 ft,,4-5,,
8:48.0,,,4-5,,Defensive rebound by D. Sabonis
8:42.0,Personal foul by T. Chandler (drawn by T. Young),,4-5,,
8:28.0,,,4-5,,Shooting foul by D. Booker (drawn by V. Oladipo)
8:28.0,,,4-6,1,V. Oladipo makes free throw 1 of 2
8:28.0,,,4-7,1,V. Oladipo makes free throw 2 of 2
8:06.0,Turnover by T. Chandler (bad pass; steal by V. Oladipo),,4-7,,
8:05.0,Personal take foul by T. Ulis (drawn by J. Young),,4-7,,
8:01.0,,,4-7,,Shooting foul by T. Chandler (drawn by D. Sabonis)
8:01.0,,,4-7,,D. Sabonis misses free throw 1 of 2
8:01.0,,,4-7,,Offensive rebound by Team
8:01.0,,,4-8,1,D. Sabonis makes free throw 2 of 2
7:48.0,D. Booker makes 2-pt shot from 19 ft (assist by T. Ulis),2,6-8,,
7:33.0,,,6-10,2,T. Young makes 2-pt shot from 19 ft
7:18.0,T. Ulis misses 2-pt shot from 19 ft,,6-10,,
7:16.0,,,6-10,,Defensive rebound by T. Young
7:08.0,,,6-10,,D. Sabonis misses 2-pt shot from 20 ft
7:07.0,Defensive rebound by D. Booker,,6-10,,
7:02.0,,,6-10,,Personal foul by V. Oladipo (drawn by T. Chandler)
7:00.0,Turnover by T. Warren (bad pass; steal by T. Young),,6-10,,
6:58.0,,,6-12,2,T. Young makes 2-pt shot from 1 ft
6:57.0,Phoenix full timeout,,6-12,,
6:57.0,G. Monroe enters the game for T. Chandler,,6-12,,
6:40.0,T. Warren makes 2-pt shot from 15 ft (assist by D. Bender),2,8-12,,
6:19.0,,,8-12,,J. Young misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by Team,,8-12,,
6:18.0,,,8-12,,Loose ball foul by D. Sabonis (drawn by G. Monroe)
5:59.0,D. Booker makes 2-pt shot from 1 ft,2,10-12,,
5:55.0,Personal foul by T. Warren (drawn by B. Bogdanovic),,10-12,,
5:55.0,,,10-12,,B. Bogdanovic misses free throw 1 of 2
5:55.0,,,10-12,,Offensive rebound by Team
5:55.0,,,10-13,1,B. Bogdanovic makes free throw 2 of 2
5:40.0,D. Booker misses 2-pt shot from 14 ft,,10-13,,
5:36.0,Offensive rebound by T. Warren,,10-13,,
5:36.0,T. Warren misses 2-pt shot at rim,,10-13,,
5:36.0,,,10-13,,Defensive rebound by D. Sabonis
5:31.0,,,10-15,2,V. Oladipo makes 2-pt shot at rim
5:31.0,,,10-15,,Shooting foul by D. Bender (drawn by V. Oladipo)
5:31.0,,,10-16,1,V. Oladipo makes free throw 1 of 1
5:14.0,T. Warren misses 2-pt shot from 10 ft,,10-16,,
5:11.0,Offensive rebound by G. Monroe,,10-16,,
5:10.0,G. Monroe makes 2-pt shot from 4 ft,2,12-16,,
4:51.0,,,12-16,,D. Sabonis misses 2-pt shot from 6 ft
4:49.0,Defensive rebound by G. Monroe,,12-16,,
4:34.0,,,12-16,,C. Joseph enters the game for J. Young
4:29.0,T. Warren makes 2-pt shot from 11 ft (assist by D. Bender),2,14-16,,
4:13.0,,,14-18,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
3:57.0,D. Booker misses 3-pt shot from 27 ft,,14-18,,
3:55.0,,,14-18,,Defensive rebound by D. Sabonis
3:41.0,,,14-20,2,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo)
3:15.0,Offensive charge foul by G. Monroe (drawn by T. Young),,14-20,,
3:15.0,Turnover by G. Monroe (offensive foul),,14-20,,
3:15.0,I. Canaan enters the game for T. Ulis,,14-20,,
3:15.0,J. Dudley enters the game for D. Bender,,14-20,,
3:15.0,,,14-20,,Indiana full timeout
3:15.0,,,14-20,,L. Stephenson enters the game for D. Sabonis
3:15.0,,,14-20,,A. Jefferson enters the game for B. Bogdanovic
2:53.0,,,14-23,3,T. Young makes 3-pt shot from 22 ft (assist by V. Oladipo)
2:37.0,,,14-23,,Personal foul by A. Jefferson (drawn by G. Monroe)
2:22.0,G. Monroe misses 2-pt shot at rim (block by L. Stephenson),,14-23,,
2:19.0,Offensive rebound by G. Monroe,,14-23,,
2:19.0,G. Monroe misses 2-pt shot at rim,,14-23,,
2:19.0,Offensive rebound by G. Monroe,,14-23,,
2:18.0,Turnover by G. Monroe (out of bounds lost ball),,14-23,,
2:06.0,,,14-25,2,A. Jefferson makes 2-pt shot from 11 ft (assist by C. Joseph)
1:42.0,T. Warren makes 2-pt shot from 17 ft,2,16-25,,
1:18.0,,,16-27,2,A. Jefferson makes 2-pt shot from 8 ft (assist by C. Joseph)
1:05.0,Turnover by I. Canaan (lost ball; steal by T. Young),,16-27,,
1:02.0,,,16-29,2,T. Young makes 2-pt shot from 1 ft
0:51.0,,,16-29,,Personal foul by L. Stephenson (drawn by J. Dudley)
0:51.0,,,16-29,,T. Leaf enters the game for T. Young
0:51.0,J. Jackson enters the game for T. Warren,,16-29,,
0:46.0,D. Booker misses 3-pt shot from 28 ft,,16-29,,
0:43.0,,,16-29,,Defensive rebound by L. Stephenson
0:43.0,Personal foul by I. Canaan (drawn by L. Stephenson),,16-29,,
0:43.0,,,16-30,1,L. Stephenson makes free throw 1 of 2
