time,Brooklyn,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. T. Zeller (T. Gibson gains possession),,,,Jump ball: K. Towns vs. T. Zeller (T. Gibson gains possession)
11:45.0,,,0-0,,Turnover by A. Wiggins (bad pass)
11:21.0,A. Crabbe makes 2-pt shot from 1 ft,2,2-0,,
11:06.0,,,2-0,,J. Butler misses 2-pt shot from 5 ft
11:03.0,,,2-0,,Offensive rebound by J. Butler
11:02.0,,,2-2,2,T. Gibson makes 2-pt shot from 22 ft (assist by J. Butler)
10:41.0,S. Dinwiddie makes 2-pt shot from 15 ft,2,4-2,,
10:18.0,,,4-2,,J. Teague misses 2-pt shot from 10 ft (block by T. Zeller)
10:15.0,,,4-2,,Offensive rebound by J. Teague
10:14.0,,,4-4,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Teague)
10:14.0,,,4-4,,Shooting foul by T. Zeller (drawn by J. Butler)
10:14.0,,,4-4,,J. Butler misses free throw 1 of 1
10:12.0,Defensive rebound by Q. Acy,,4-4,,
10:00.0,D. Carroll misses 2-pt shot from 4 ft (block by A. Wiggins),,4-4,,
9:57.0,,,4-4,,Defensive rebound by J. Butler
9:42.0,,,4-6,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
9:19.0,Q. Acy makes 3-pt shot from 22 ft (assist by D. Carroll),3,7-6,,
9:10.0,,,7-6,,J. Teague misses 3-pt shot from 25 ft
9:08.0,,,7-6,,Offensive rebound by Team
8:56.0,,,7-6,,A. Wiggins misses 2-pt shot from 8 ft
8:53.0,Defensive rebound by D. Carroll,,7-6,,
8:53.0,Turnover by D. Carroll (lost ball; steal by J. Teague),,7-6,,
8:52.0,Personal foul by D. Carroll (drawn by J. Teague),,7-6,,
8:39.0,,,7-6,,Shooting foul by T. Zeller (drawn by J. Teague)
8:39.0,,,7-7,1,J. Teague makes free throw 1 of 2
8:39.0,,,7-8,1,J. Teague makes free throw 2 of 2
8:30.0,Shooting foul by A. Wiggins (drawn by T. Zeller),,7-8,,
8:30.0,T. Zeller misses free throw 1 of 2,,7-8,,
8:30.0,Offensive rebound by Team,,7-8,,
8:30.0,T. Zeller makes free throw 2 of 2,1,8-8,,
8:20.0,,,8-8,,Shooting foul by A. Crabbe (drawn by A. Wiggins)
8:20.0,,,8-9,1,A. Wiggins makes free throw 1 of 2
8:20.0,,,8-10,1,A. Wiggins makes free throw 2 of 2
8:10.0,Turnover by S. Dinwiddie (bad pass),,8-10,,
7:58.0,,,8-10,,Shooting foul by T. Zeller (drawn by J. Butler)
7:58.0,,,8-10,,J. Butler misses free throw 1 of 2
7:58.0,,,8-10,,Offensive rebound by Team
7:58.0,J. Allen enters the game for T. Zeller,,8-10,,
7:58.0,,,8-11,1,J. Butler makes free throw 2 of 2
7:45.0,A. Crabbe misses 2-pt shot from 8 ft,,8-11,,
7:43.0,,,8-11,,Defensive rebound by J. Butler
7:32.0,,,8-11,,J. Butler misses 2-pt shot from 2 ft
7:28.0,Defensive rebound by S. Dinwiddie,,8-11,,
7:20.0,Turnover by S. Dinwiddie (bad pass; steal by J. Butler),,8-11,,
6:57.0,,,8-11,,K. Towns misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by Q. Acy,,8-11,,
6:46.0,S. Dinwiddie misses 3-pt shot from 25 ft,,8-11,,
6:44.0,,,8-11,,Defensive rebound by T. Gibson
6:33.0,,,8-11,,A. Wiggins misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by Q. Acy,,8-11,,
6:10.0,Turnover by Q. Acy (bad pass; steal by K. Towns),,8-11,,
5:56.0,,,8-13,2,T. Gibson makes 2-pt shot from 18 ft (assist by J. Teague)
5:54.0,Brooklyn full timeout,,8-13,,
5:54.0,N. Stauskas enters the game for Q. Acy,,8-13,,
5:54.0,J. Harris enters the game for A. Crabbe,,8-13,,
5:34.0,D. Carroll misses 3-pt shot from 24 ft,,8-13,,
5:31.0,,,8-13,,Defensive rebound by J. Butler
5:12.0,,,8-13,,T. Gibson misses 2-pt shot from 16 ft
5:09.0,,,8-13,,Offensive rebound by T. Gibson
5:04.0,,,8-16,3,J. Butler makes 3-pt shot from 22 ft (assist by J. Teague)
4:43.0,Turnover by D. Carroll (traveling),,8-16,,
4:43.0,,,8-16,,T. Jones enters the game for J. Teague
