time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. C. Capela (K. Anderson gains possession),,,,Jump ball: P. Gasol vs. C. Capela (K. Anderson gains possession)
11:36.0,,,0-0,,D. Green misses 2-pt shot from 20 ft
11:32.0,Defensive rebound by L. Mbah a Moute,,0-0,,
11:26.0,C. Capela misses 2-pt shot from 1 ft (block by P. Gasol),,0-0,,
11:21.0,,,0-0,,Defensive rebound by K. Anderson
11:17.0,,,0-2,2,D. Green makes 2-pt shot at rim (assist by P. Gasol)
10:58.0,Turnover by C. Capela (bad pass; steal by P. Gasol),,0-2,,
10:50.0,,,0-2,,D. Green misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by C. Capela,,0-2,,
10:42.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by P. Gasol
10:20.0,,,0-2,,L. Aldridge misses 2-pt shot from 13 ft
10:20.0,Defensive rebound by C. Capela,,0-2,,
10:02.0,Turnover by C. Paul (bad pass; steal by D. Green),,0-2,,
9:51.0,,,0-2,,L. Aldridge misses 2-pt shot from 13 ft
9:49.0,,,0-2,,Offensive rebound by D. Murray
9:43.0,,,0-4,2,D. Green makes 2-pt shot from 6 ft (assist by K. Anderson)
9:38.0,Turnover by C. Paul (bad pass; steal by D. Green),,0-4,,
9:36.0,,,0-4,,D. Green misses 2-pt shot at rim (block by C. Capela)
9:35.0,,,0-4,,Offensive rebound by Team
9:29.0,,,0-4,,Turnover by P. Gasol (bad pass; steal by L. Mbah a Moute)
9:07.0,J. Harden makes 3-pt shot from 25 ft,3,3-4,,
8:47.0,,,3-4,,Shooting foul by C. Paul (drawn by D. Murray)
8:47.0,,,3-4,,D. Murray misses free throw 1 of 2
8:47.0,,,3-4,,Offensive rebound by Team
8:47.0,,,3-4,,D. Murray misses free throw 2 of 2
8:46.0,Defensive rebound by C. Paul,,3-4,,
8:37.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,6-4,,
8:17.0,,,6-4,,Turnover by P. Gasol (bad pass; steal by C. Paul)
8:11.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,9-4,,
8:10.0,,,9-4,,San Antonio full timeout
7:42.0,,,9-6,2,K. Anderson makes 2-pt shot from 11 ft
7:20.0,J. Harden makes 2-pt shot from 2 ft,2,11-6,,
7:05.0,,,11-8,2,L. Aldridge makes 2-pt shot at rim
6:51.0,C. Paul misses 2-pt shot from 16 ft,,11-8,,
6:51.0,,,11-8,,Defensive rebound by D. Green
6:38.0,,,11-8,,L. Aldridge misses 2-pt shot from 11 ft
6:38.0,Defensive rebound by C. Capela,,11-8,,
6:32.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Capela),2,13-8,,
6:09.0,,,13-10,2,D. Green makes 2-pt shot at rim (assist by L. Aldridge)
5:57.0,C. Paul misses 3-pt shot from 23 ft,,13-10,,
5:53.0,,,13-10,,Defensive rebound by L. Aldridge
5:33.0,,,13-10,,L. Aldridge misses 2-pt shot from 11 ft
5:33.0,Defensive rebound by C. Capela,,13-10,,
5:21.0,C. Capela makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,15-10,,
5:04.0,,,15-10,,Turnover by P. Gasol (lost ball; steal by J. Harden)
4:56.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,18-10,,
4:32.0,,,18-12,2,L. Aldridge makes 2-pt shot at rim
4:30.0,Houston full timeout,,18-12,,
4:30.0,,,18-12,,D. Bertans enters the game for D. Murray
4:30.0,,,18-12,,T. Parker enters the game for D. Green
4:30.0,,,18-12,,M. Ginobili enters the game for P. Gasol
4:30.0,N. Hilario enters the game for C. Paul,,18-12,,
4:30.0,G. Green enters the game for L. Mbah a Moute,,18-12,,
4:30.0,P. Tucker enters the game for C. Capela,,18-12,,
4:09.0,Turnover by J. Harden (lost ball; steal by K. Anderson),,18-12,,
4:04.0,,,18-12,,T. Parker misses 2-pt shot from 20 ft
3:59.0,Defensive rebound by Team,,18-12,,
3:59.0,,,18-12,,Loose ball foul by D. Bertans (drawn by N. Hilario)
3:42.0,J. Harden makes 2-pt shot from 15 ft,2,20-12,,
3:20.0,,,20-14,2,L. Aldridge makes 2-pt shot from 9 ft (assist by M. Ginobili)
3:05.0,R. Anderson misses 3-pt shot from 25 ft,,20-14,,
3:01.0,,,20-14,,Defensive rebound by D. Bertans
2:52.0,,,20-14,,K. Anderson misses 2-pt shot from 1 ft
2:48.0,Defensive rebound by P. Tucker,,20-14,,
2:35.0,N. Hilario makes 2-pt shot from 14 ft (assist by J. Harden),2,22-14,,
2:16.0,,,22-14,,Turnover by L. Aldridge (traveling)
2:16.0,,,22-14,,B. Forbes enters the game for K. Anderson
2:00.0,J. Harden makes 2-pt shot from 9 ft,2,24-14,,
1:45.0,,,24-14,,M. Ginobili misses 2-pt shot from 1 ft
1:43.0,Defensive rebound by N. Hilario,,24-14,,
1:37.0,Turnover by J. Harden (bad pass),,24-14,,
1:21.0,,,24-14,,Turnover by M. Ginobili (bad pass; steal by N. Hilario)
1:14.0,J. Harden makes 3-pt shot from 25 ft,3,27-14,,
1:01.0,,,27-14,,D. Bertans misses 2-pt shot from 2 ft (block by J. Harden)
1:01.0,,,27-14,,Offensive rebound by Team
1:01.0,,,27-14,,P. Gasol enters the game for L. Aldridge
1:01.0,L. Mbah a Moute enters the game for R. Anderson,,27-14,,
0:50.0,,,27-14,,D. Bertans misses 3-pt shot from 22 ft
0:46.0,Defensive rebound by G. Green,,27-14,,
0:38.0,J. Harden misses 3-pt shot from 24 ft,,27-14,,
0:35.0,,,27-14,,Defensive rebound by P. Gasol
0:22.0,,,27-14,,M. Ginobili misses 2-pt shot from 4 ft
0:19.0,,,27-14,,Offensive rebound by Team
0:06.0,Personal foul by L. Mbah a Moute (drawn by M. Ginobili),,27-14,,
0:00.0,,,27-14,,B. Forbes misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by L. Mbah a Moute,,27-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:32.0,Turnover by L. Mbah a Moute (bad pass; steal by P. Gasol),,27-14,,
11:24.0,,,27-14,,Shooting foul by C. Paul (drawn by P. Gasol)
11:24.0,,,27-15,1,P. Gasol makes free throw 1 of 2
11:24.0,,,27-16,1,P. Gasol makes free throw 2 of 2
11:11.0,G. Green misses 3-pt shot from 25 ft,,27-16,,
11:10.0,Offensive rebound by N. Hilario,,27-16,,
11:10.0,Shooting foul by B. Forbes (drawn by N. Hilario),,27-16,,
11:10.0,N. Hilario misses free throw 1 of 2,,27-16,,
11:10.0,Offensive rebound by Team,,27-16,,
11:10.0,N. Hilario makes free throw 2 of 2,1,28-16,,
10:57.0,,,28-19,3,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Forbes)
10:44.0,N. Hilario misses 2-pt shot from 1 ft,,28-19,,
10:41.0,,,28-19,,Defensive rebound by T. Parker
10:38.0,,,28-19,,Turnover by T. Parker (lost ball; steal by G. Green)
10:24.0,C. Paul misses 2-pt shot from 15 ft,,28-19,,
10:20.0,,,28-19,,Defensive rebound by B. Forbes
10:15.0,,,28-19,,M. Ginobili misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by G. Green,,28-19,,
10:06.0,Shooting foul by B. Forbes (drawn by G. Green),,28-19,,
10:06.0,G. Green makes free throw 1 of 3,1,29-19,,
10:06.0,G. Green makes free throw 2 of 3,1,30-19,,
10:06.0,,,30-19,,D. Murray enters the game for T. Parker
10:06.0,,,30-19,,D. Green enters the game for M. Ginobili
10:06.0,C. Capela enters the game for N. Hilario,,30-19,,
10:06.0,G. Green misses free throw 3 of 3,,30-19,,
10:02.0,,,30-19,,Defensive rebound by D. Murray
9:58.0,Personal foul by G. Green (drawn by D. Murray),,30-19,,
9:49.0,,,30-19,,Turnover by D. Murray (offensive goaltending)
9:40.0,C. Paul makes 2-pt shot from 16 ft,2,32-19,,
9:39.0,,,32-19,,San Antonio full timeout
9:30.0,,,32-19,,Turnover by D. Murray (bad pass; steal by L. Mbah a Moute)
9:18.0,P. Tucker misses 3-pt shot from 23 ft,,32-19,,
9:13.0,,,32-19,,Defensive rebound by P. Mills
8:56.0,,,32-21,2,D. Green makes 2-pt shot from 2 ft (assist by D. Murray)
8:41.0,Turnover by C. Capela (bad pass; steal by B. Forbes),,32-21,,
8:31.0,,,32-21,,D. Green misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by C. Capela,,32-21,,
8:24.0,C. Paul makes 2-pt shot from 6 ft,2,34-21,,
8:05.0,,,34-21,,K. Anderson enters the game for B. Forbes
8:05.0,,,34-21,,L. Aldridge enters the game for P. Gasol
7:54.0,,,34-21,,D. Murray misses 2-pt shot from 7 ft
7:53.0,Defensive rebound by Team,,34-21,,
7:34.0,C. Capela misses 2-pt shot from 8 ft,,34-21,,
7:32.0,,,34-21,,Defensive rebound by D. Murray
7:19.0,,,34-23,2,L. Aldridge makes 2-pt shot from 1 ft
7:04.0,C. Paul misses 2-pt shot from 9 ft,,34-23,,
7:01.0,,,34-23,,Defensive rebound by L. Aldridge
6:49.0,,,34-23,,P. Mills misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by G. Green,,34-23,,
6:35.0,G. Green misses 2-pt shot from 2 ft,,34-23,,
6:33.0,,,34-23,,Defensive rebound by D. Green
6:21.0,,,34-26,3,D. Green makes 3-pt shot from 22 ft (assist by L. Aldridge)
6:20.0,Houston full timeout,,34-26,,
6:20.0,R. Anderson enters the game for C. Paul,,34-26,,
6:20.0,J. Harden enters the game for L. Mbah a Moute,,34-26,,
6:06.0,J. Harden makes 2-pt shot from 8 ft (assist by C. Capela),2,36-26,,
5:49.0,,,36-26,,D. Green misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by C. Capela,,36-26,,
5:40.0,G. Green makes 3-pt shot from 25 ft (assist by J. Harden),3,39-26,,
5:15.0,,,39-28,2,L. Aldridge makes 2-pt shot from 6 ft (assist by D. Green)
5:02.0,G. Green misses 3-pt shot from 26 ft,,39-28,,
5:02.0,Offensive rebound by Team,,39-28,,
5:02.0,,,39-28,,M. Ginobili enters the game for D. Green
4:54.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,41-28,,
4:54.0,Shooting foul by M. Ginobili (drawn by C. Capela),,41-28,,
4:54.0,,,41-28,,Violation by K. Anderson (lane)
4:54.0,C. Capela makes free throw 1 of 1,1,42-28,,
4:44.0,,,42-28,,K. Anderson misses 2-pt shot from 5 ft (block by C. Capela)
4:41.0,Defensive rebound by G. Green,,42-28,,
4:32.0,Jump ball: M. Ginobili vs. J. Harden (C. Capela gains possession),,,,Jump ball: M. Ginobili vs. J. Harden (C. Capela gains possession)
4:23.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,44-28,,
4:10.0,,,44-28,,D. Murray misses 2-pt shot at rim (block by C. Capela)
4:03.0,,,44-28,,Offensive rebound by D. Murray
4:03.0,,,44-30,2,D. Murray makes 2-pt shot at rim
3:48.0,Shooting foul by L. Aldridge (drawn by R. Anderson),,44-30,,
3:48.0,R. Anderson makes free throw 1 of 2,1,45-30,,
3:48.0,,,45-30,,T. Parker enters the game for D. Murray
3:48.0,,,45-30,,D. Bertans enters the game for P. Mills
3:48.0,R. Anderson makes free throw 2 of 2,1,46-30,,
3:32.0,,,46-32,2,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili)
3:22.0,G. Green misses 3-pt shot from 25 ft,,46-32,,
3:22.0,,,46-32,,Defensive rebound by L. Aldridge
3:08.0,,,46-34,2,M. Ginobili makes 2-pt shot from 1 ft (assist by T. Parker)
2:45.0,R. Anderson misses 3-pt shot from 25 ft,,46-34,,
2:41.0,Offensive rebound by P. Tucker,,46-34,,
2:21.0,G. Green makes 3-pt shot from 26 ft (assist by J. Harden),3,49-34,,
2:03.0,,,49-36,2,L. Aldridge makes 2-pt shot from 6 ft
1:43.0,G. Green makes 3-pt shot from 24 ft (assist by J. Harden),3,52-36,,
1:21.0,,,52-36,,T. Parker misses 2-pt shot from 18 ft
1:17.0,Defensive rebound by G. Green,,52-36,,
1:17.0,,,52-36,,Personal foul by M. Ginobili (drawn by G. Green)
1:17.0,G. Green makes free throw 1 of 2,1,53-36,,
1:17.0,C. Paul enters the game for R. Anderson,,53-36,,
1:17.0,G. Green makes free throw 2 of 2,1,54-36,,
1:05.0,,,54-36,,L. Aldridge misses 2-pt shot from 7 ft
1:02.0,Defensive rebound by P. Tucker,,54-36,,
0:57.0,J. Harden misses 3-pt shot from 25 ft,,54-36,,
0:55.0,,,54-36,,Defensive rebound by K. Anderson
0:42.0,,,54-38,2,T. Parker makes 2-pt shot from 21 ft (assist by D. Bertans)
0:34.0,C. Paul misses 3-pt shot from 24 ft,,54-38,,
0:34.0,,,54-38,,Defensive rebound by D. Bertans
0:26.0,,,54-38,,T. Parker misses 2-pt shot at rim
0:26.0,Defensive rebound by C. Capela,,54-38,,
0:03.0,J. Harden misses 2-pt shot from 1 ft (block by D. Bertans),,54-38,,
0:03.0,,,54-38,,Defensive rebound by L. Aldridge
0:00.0,,,54-38,,K. Anderson misses 3-pt shot from 41 ft
0:00.0,,,54-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Harden makes 2-pt shot from 13 ft,2,56-38,,
11:21.0,,,56-38,,L. Aldridge misses 2-pt shot from 12 ft
11:19.0,Defensive rebound by J. Harden,,56-38,,
11:10.0,J. Harden misses 2-pt shot from 8 ft (block by D. Green),,56-38,,
11:07.0,,,56-38,,Defensive rebound by L. Aldridge
11:04.0,,,56-38,,D. Green misses 3-pt shot from 24 ft
11:04.0,,,56-38,,Offensive rebound by D. Murray
10:58.0,,,56-38,,P. Mills misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by C. Capela,,56-38,,
10:49.0,,,56-38,,Personal foul by P. Mills (drawn by C. Paul)
10:34.0,C. Capela misses 2-pt shot from 1 ft,,56-38,,
10:34.0,Offensive rebound by L. Mbah a Moute,,56-38,,
10:23.0,J. Harden misses 3-pt shot from 26 ft,,56-38,,
10:23.0,,,56-38,,Defensive rebound by D. Murray
10:13.0,,,56-41,3,D. Green makes 3-pt shot from 23 ft (assist by P. Mills)
9:51.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,56-41,,
9:51.0,,,56-41,,Defensive rebound by K. Anderson
9:46.0,,,56-43,2,P. Mills makes 2-pt shot from 1 ft (assist by K. Anderson)
9:30.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul),3,59-43,,
9:03.0,,,59-43,,K. Anderson misses 3-pt shot from 23 ft
9:03.0,,,59-43,,Offensive rebound by D. Murray
8:57.0,,,59-45,2,D. Murray makes 2-pt shot from 1 ft
8:44.0,C. Capela makes 2-pt shot from 4 ft (assist by C. Paul),2,61-45,,
8:44.0,Shooting foul by D. Green (drawn by C. Capela),,61-45,,
8:44.0,C. Capela makes free throw 1 of 1,1,62-45,,
8:37.0,,,62-45,,Turnover by P. Mills (bad pass)
8:23.0,C. Paul misses 3-pt shot from 25 ft,,62-45,,
8:19.0,,,62-45,,Defensive rebound by D. Murray
8:16.0,,,62-45,,P. Mills misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by R. Anderson,,62-45,,
8:07.0,C. Paul misses 2-pt shot from 1 ft (block by K. Anderson),,62-45,,
8:07.0,Offensive rebound by C. Capela,,62-45,,
8:01.0,C. Capela makes 2-pt shot from 2 ft,2,64-45,,
7:53.0,,,64-47,2,D. Murray makes 2-pt shot from 14 ft
7:26.0,L. Mbah a Moute makes 2-pt shot at rim (assist by R. Anderson),2,66-47,,
7:11.0,,,66-49,2,D. Green makes 2-pt shot from 2 ft
7:11.0,,,66-49,,Shooting foul by R. Anderson (drawn by D. Green)
7:11.0,,,66-50,1,D. Green makes free throw 1 of 1
6:55.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,66-50,,
6:55.0,,,66-50,,Defensive rebound by D. Murray
6:47.0,,,66-50,,P. Mills misses 3-pt shot from 23 ft
6:47.0,,,66-50,,Offensive rebound by L. Aldridge
6:38.0,,,66-52,2,K. Anderson makes 2-pt shot from 1 ft (assist by D. Green)
6:17.0,C. Capela misses 2-pt shot from 6 ft,,66-52,,
6:17.0,Offensive rebound by R. Anderson,,66-52,,
6:12.0,R. Anderson makes 2-pt shot at rim,2,68-52,,
6:07.0,,,68-52,,Turnover by D. Murray (out of bounds lost ball)
6:07.0,,,68-52,,San Antonio full timeout
6:07.0,N. Hilario enters the game for C. Paul,,68-52,,
6:07.0,G. Green enters the game for C. Capela,,68-52,,
6:07.0,P. Tucker enters the game for R. Anderson,,68-52,,
