time,LA Lakers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. B. Lopez (T. Ferguson gains possession),,,,Jump ball: S. Adams vs. B. Lopez (T. Ferguson gains possession)
11:42.0,,,0-0,,C. Anthony misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by J. Hart,,0-0,,
11:32.0,B. Ingram misses 2-pt shot from 9 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by S. Adams
11:21.0,,,0-0,,S. Adams misses 2-pt shot from 1 ft
11:19.0,Defensive rebound by B. Lopez,,0-0,,
11:16.0,Shooting foul by T. Ferguson (drawn by J. Hart),,0-0,,
11:16.0,J. Hart makes free throw 1 of 2,1,1-0,,
11:16.0,J. Hart makes free throw 2 of 2,1,2-0,,
11:03.0,,,2-0,,Offensive foul by P. George (drawn by J. Randle)
11:03.0,,,2-0,,Turnover by P. George (offensive foul)
10:42.0,J. Randle misses 2-pt shot from 5 ft,,2-0,,
10:40.0,,,2-0,,Defensive rebound by R. Westbrook
10:36.0,,,2-2,2,R. Westbrook makes 2-pt shot from 18 ft
10:22.0,B. Lopez misses 3-pt shot from 25 ft,,2-2,,
10:19.0,,,2-2,,Defensive rebound by C. Anthony
10:14.0,,,2-2,,C. Anthony misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by J. Randle,,2-2,,
9:59.0,B. Lopez misses 2-pt shot from 8 ft,,2-2,,
9:56.0,,,2-2,,Defensive rebound by C. Anthony
9:51.0,,,2-2,,R. Westbrook misses 2-pt shot from 17 ft
9:48.0,Defensive rebound by J. Randle,,2-2,,
9:36.0,B. Ingram misses 2-pt shot at rim,,2-2,,
9:35.0,Offensive rebound by K. Caldwell-Pope,,2-2,,
9:22.0,B. Lopez makes 2-pt shot from 3 ft (assist by B. Ingram),2,4-2,,
9:11.0,,,4-2,,Turnover by P. George (out of bounds lost ball)
9:03.0,J. Randle makes 2-pt shot from 4 ft (assist by B. Ingram),2,6-2,,
8:40.0,,,6-2,,P. George misses 3-pt shot from 23 ft
8:38.0,,,6-2,,Offensive rebound by Team
8:29.0,,,6-2,,R. Westbrook misses 2-pt shot from 10 ft
8:26.0,Defensive rebound by J. Hart,,6-2,,
8:17.0,J. Hart makes 3-pt shot from 23 ft (assist by B. Lopez),3,9-2,,
8:02.0,,,9-4,2,P. George makes 2-pt shot from 15 ft (assist by R. Westbrook)
7:55.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,9-4,,
7:53.0,,,9-4,,Defensive rebound by P. George
7:49.0,,,9-4,,R. Westbrook misses 2-pt shot from 1 ft
7:49.0,Defensive rebound by J. Hart,,9-4,,
7:35.0,B. Lopez makes 3-pt shot from 25 ft (assist by J. Randle),3,12-4,,
7:33.0,,,12-4,,Oklahoma City full timeout
7:23.0,,,12-4,,Turnover by P. George (bad pass)
7:05.0,J. Randle misses 2-pt shot from 8 ft,,12-4,,
7:02.0,,,12-4,,Defensive rebound by C. Anthony
6:54.0,Personal foul by B. Ingram (drawn by T. Ferguson),,12-4,,
6:54.0,,,12-4,,A. Abrines enters the game for T. Ferguson
6:49.0,,,12-4,,A. Abrines misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by J. Randle,,12-4,,
6:41.0,B. Lopez misses 3-pt shot from 27 ft,,12-4,,
6:37.0,,,12-4,,Defensive rebound by C. Anthony
6:32.0,,,12-6,2,R. Westbrook makes 2-pt shot from 14 ft
6:14.0,Turnover by B. Lopez (lost ball; steal by S. Adams),,12-6,,
6:10.0,,,12-8,2,P. George makes 2-pt shot at rim
5:49.0,Turnover by B. Ingram (out of bounds lost ball),,12-8,,
5:31.0,,,12-10,2,C. Anthony makes 2-pt shot from 11 ft (assist by P. George)
5:21.0,J. Randle makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,14-10,,
5:05.0,,,14-10,,P. George misses 2-pt shot from 14 ft
5:02.0,Defensive rebound by K. Caldwell-Pope,,14-10,,
4:55.0,Turnover by J. Hart (bad pass; steal by R. Westbrook),,14-10,,
4:52.0,Personal take foul by K. Caldwell-Pope (drawn by R. Westbrook),,14-10,,
4:40.0,,,14-10,,C. Anthony misses 2-pt shot at rim
4:36.0,Defensive rebound by B. Ingram,,14-10,,
4:23.0,Shooting foul by P. George (drawn by J. Randle),,14-10,,
4:23.0,J. Randle makes free throw 1 of 2,1,15-10,,
4:23.0,J. Randle misses free throw 2 of 2,,15-10,,
4:21.0,,,15-10,,Defensive rebound by A. Abrines
4:16.0,,,15-12,2,R. Westbrook makes 2-pt shot at rim
4:02.0,B. Ingram makes 2-pt shot at rim,2,17-12,,
3:51.0,,,17-14,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
3:42.0,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by A. Abrines),,17-14,,
3:42.0,Offensive rebound by Team,,17-14,,
3:42.0,LA Lakers full timeout,,17-14,,
3:42.0,,,17-14,,J. Huestis enters the game for P. George
3:31.0,J. Randle misses 2-pt shot from 2 ft (block by C. Anthony),,17-14,,
3:28.0,Offensive rebound by J. Randle,,17-14,,
3:22.0,J. Randle makes 3-pt shot from 22 ft (assist by B. Lopez),3,20-14,,
3:11.0,,,20-16,2,R. Westbrook makes 2-pt shot at rim
2:49.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Lopez),2,22-16,,
2:38.0,,,22-18,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
2:28.0,B. Lopez misses 2-pt shot from 7 ft,,22-18,,
2:26.0,,,22-18,,Defensive rebound by C. Anthony
2:11.0,,,22-18,,S. Adams misses 2-pt shot at rim
2:08.0,Defensive rebound by B. Ingram,,22-18,,
2:00.0,B. Ingram misses 2-pt shot from 6 ft,,22-18,,
