time,New Orleans,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. A. Davis (R. Rondo gains possession),,,,Jump ball: J. Allen vs. A. Davis (R. Rondo gains possession)
11:48.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,2-0,,
11:32.0,,,2-2,2,S. Dinwiddie makes 2-pt shot from 1 ft (assist by D. Carroll)
11:20.0,R. Rondo makes 2-pt shot from 1 ft,2,4-2,,
11:08.0,,,4-2,,A. Crabbe misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by R. Rondo,,4-2,,
10:59.0,A. Davis misses 3-pt shot from 24 ft,,4-2,,
10:56.0,Offensive rebound by R. Rondo,,4-2,,
10:52.0,N. Mirotic makes 2-pt shot from 20 ft (assist by R. Rondo),2,6-2,,
10:26.0,,,6-4,2,A. Crabbe makes 2-pt shot from 21 ft (assist by S. Dinwiddie)
10:06.0,R. Rondo makes 2-pt shot at rim,2,8-4,,
9:50.0,,,8-6,2,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
9:33.0,A. Davis misses 2-pt shot from 20 ft,,8-6,,
9:31.0,,,8-6,,Defensive rebound by J. Harris
9:23.0,,,8-6,,D. Carroll misses 3-pt shot from 25 ft
9:21.0,,,8-6,,Offensive rebound by J. Allen
9:18.0,,,8-6,,J. Harris misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by Team,,8-6,,
9:18.0,,,8-6,,Loose ball foul by D. Carroll (drawn by R. Rondo)
9:06.0,A. Davis misses 2-pt shot from 1 ft,,8-6,,
9:01.0,Offensive rebound by N. Mirotic,,8-6,,
9:01.0,N. Mirotic makes 2-pt shot at rim,2,10-6,,
8:57.0,,,10-8,2,D. Carroll makes 2-pt shot from 1 ft
8:46.0,E. Moore misses 2-pt shot from 9 ft,,10-8,,
8:44.0,Offensive rebound by J. Holiday,,10-8,,
8:44.0,,,10-8,,Personal foul by D. Carroll (drawn by J. Holiday)
8:39.0,J. Holiday misses 2-pt shot from 8 ft,,10-8,,
8:36.0,Offensive rebound by R. Rondo,,10-8,,
8:34.0,N. Mirotic makes 3-pt shot from 24 ft (assist by R. Rondo),3,13-8,,
8:12.0,,,13-8,,Turnover by J. Harris (traveling)
7:58.0,N. Mirotic misses 2-pt shot from 21 ft,,13-8,,
7:55.0,,,13-8,,Defensive rebound by J. Allen
7:41.0,,,13-8,,S. Dinwiddie misses 3-pt shot from 22 ft
7:37.0,Defensive rebound by N. Mirotic,,13-8,,
7:33.0,J. Holiday misses 2-pt shot from 1 ft,,13-8,,
7:31.0,,,13-8,,Defensive rebound by S. Dinwiddie
7:20.0,,,13-8,,Turnover by S. Dinwiddie (bad pass; steal by N. Mirotic)
7:14.0,N. Mirotic misses 3-pt shot from 24 ft,,13-8,,
7:10.0,,,13-8,,Defensive rebound by J. Allen
6:54.0,,,13-8,,A. Crabbe misses 3-pt shot from 26 ft
6:51.0,,,13-8,,Offensive rebound by J. Harris
6:49.0,,,13-8,,J. Harris misses 3-pt shot from 23 ft
6:45.0,Defensive rebound by A. Davis,,13-8,,
6:32.0,A. Davis misses 2-pt shot from 20 ft,,13-8,,
6:30.0,Offensive rebound by N. Mirotic,,13-8,,
6:29.0,N. Mirotic misses 2-pt shot from 5 ft,,13-8,,
6:28.0,Offensive rebound by A. Davis,,13-8,,
6:27.0,A. Davis makes 2-pt shot at rim,2,15-8,,
6:27.0,,,15-8,,Brooklyn full timeout
6:27.0,,,15-8,,Q. Acy enters the game for J. Allen
6:04.0,,,15-8,,D. Carroll misses 2-pt shot from 6 ft (block by N. Mirotic)
6:01.0,Defensive rebound by N. Mirotic,,15-8,,
5:54.0,J. Holiday misses 2-pt shot from 6 ft,,15-8,,
5:50.0,Offensive rebound by A. Davis,,15-8,,
5:50.0,A. Davis misses 2-pt shot at rim,,15-8,,
5:49.0,Offensive rebound by A. Davis,,15-8,,
5:48.0,A. Davis makes 2-pt shot from 1 ft,2,17-8,,
5:35.0,,,17-11,3,J. Harris makes 3-pt shot from 25 ft
5:21.0,R. Rondo misses 2-pt shot from 23 ft,,17-11,,
5:18.0,,,17-11,,Defensive rebound by D. Carroll
5:13.0,,,17-14,3,S. Dinwiddie makes 3-pt shot from 26 ft (assist by D. Carroll)
4:59.0,Turnover by A. Davis (bad pass),,17-14,,
4:59.0,,,17-14,,D. Russell enters the game for S. Dinwiddie
4:59.0,D. Miller enters the game for R. Rondo,,17-14,,
4:35.0,,,17-14,,Turnover by D. Russell (lost ball; steal by J. Holiday)
4:30.0,N. Mirotic makes 2-pt shot from 5 ft,2,19-14,,
4:17.0,,,19-14,,D. Carroll misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by A. Davis,,19-14,,
4:12.0,E. Moore makes 3-pt shot from 23 ft (assist by A. Davis),3,22-14,,
4:10.0,,,22-14,,Brooklyn full timeout
4:10.0,,,22-14,,N. Stauskas enters the game for J. Harris
4:10.0,C. Diallo enters the game for N. Mirotic,,22-14,,
3:57.0,,,22-14,,A. Crabbe misses 3-pt shot from 27 ft
3:55.0,,,22-14,,Offensive rebound by D. Carroll
3:54.0,,,22-16,2,D. Carroll makes 2-pt shot from 1 ft
3:32.0,C. Diallo makes 2-pt shot from 11 ft (assist by A. Davis),2,24-16,,
3:13.0,,,24-16,,A. Crabbe misses 2-pt shot from 14 ft
3:13.0,Defensive rebound by C. Diallo,,24-16,,
3:02.0,A. Davis misses 2-pt shot from 20 ft,,24-16,,
3:01.0,,,24-16,,Defensive rebound by N. Stauskas
2:55.0,,,24-16,,N. Stauskas misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by C. Diallo,,24-16,,
2:35.0,A. Davis misses 2-pt shot from 10 ft,,24-16,,
2:31.0,,,24-16,,Defensive rebound by Q. Acy
2:23.0,,,24-16,,D. Russell misses 3-pt shot from 23 ft
2:23.0,Defensive rebound by C. Diallo,,24-16,,
2:08.0,E. Moore makes 2-pt shot from 5 ft,2,26-16,,
1:50.0,,,26-16,,D. Carroll misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by Team,,26-16,,
1:50.0,,,26-16,,S. Dinwiddie enters the game for D. Carroll
1:50.0,,,26-16,,J. Webb enters the game for A. Crabbe
1:50.0,R. Rondo enters the game for J. Holiday,,26-16,,
1:50.0,I. Clark enters the game for E. Moore,,26-16,,
1:35.0,Turnover by R. Rondo (bad pass; steal by S. Dinwiddie),,26-16,,
1:28.0,,,26-19,3,N. Stauskas makes 3-pt shot from 23 ft (assist by J. Webb)
1:13.0,D. Miller misses 2-pt shot from 11 ft,,26-19,,
1:12.0,Offensive rebound by D. Miller,,26-19,,
1:12.0,Shooting foul by J. Webb (drawn by C. Diallo),,26-19,,
1:12.0,C. Diallo makes free throw 1 of 2,1,27-19,,
1:12.0,C. Diallo makes free throw 2 of 2,1,28-19,,
0:55.0,,,28-19,,Q. Acy misses 2-pt shot from 2 ft (block by A. Davis)
0:51.0,Defensive rebound by D. Miller,,28-19,,
0:43.0,Turnover by I. Clark (bad pass; steal by S. Dinwiddie),,28-19,,
0:39.0,Personal foul by D. Miller (drawn by D. Russell),,28-19,,
0:35.0,,,28-19,,D. Russell misses 2-pt shot from 18 ft
0:32.0,Defensive rebound by A. Davis,,28-19,,
0:12.0,A. Davis makes 3-pt shot from 25 ft (assist by R. Rondo),3,31-19,,
0:02.0,,,31-22,3,S. Dinwiddie makes 3-pt shot from 26 ft
0:00.0,A. Davis makes 3-pt shot from 40 ft,3,34-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,34-22,,J. Okafor misses 2-pt shot from 1 ft
11:47.0,Defensive rebound by C. Diallo,,34-22,,
11:42.0,D. Miller makes 3-pt shot from 22 ft (assist by N. Mirotic),3,37-22,,
11:18.0,,,37-22,,Shooting foul by D. Miller (drawn by S. Dinwiddie)
11:18.0,,,37-23,1,S. Dinwiddie makes free throw 1 of 3
11:18.0,,,37-24,1,S. Dinwiddie makes free throw 2 of 3
11:18.0,,,37-25,1,S. Dinwiddie makes free throw 3 of 3
10:57.0,I. Clark makes 2-pt shot from 8 ft,2,39-25,,
10:42.0,,,39-27,2,J. Okafor makes 2-pt shot from 5 ft (assist by S. Dinwiddie)
10:31.0,R. Rondo makes 2-pt shot from 1 ft,2,41-27,,
10:05.0,,,41-29,2,J. Okafor makes 2-pt shot from 8 ft (assist by N. Stauskas)
9:53.0,C. Diallo makes 2-pt shot from 5 ft (assist by R. Rondo),2,43-29,,
9:43.0,,,43-29,,S. Dinwiddie misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by C. Diallo,,43-29,,
9:29.0,R. Rondo makes 2-pt shot from 5 ft,2,45-29,,
9:13.0,,,45-29,,D. Russell misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by R. Rondo,,45-29,,
9:00.0,N. Mirotic misses 2-pt shot from 14 ft,,45-29,,
8:57.0,,,45-29,,Defensive rebound by J. Okafor
8:49.0,,,45-31,2,N. Stauskas makes 2-pt shot from 1 ft
8:31.0,C. Diallo makes 2-pt shot from 8 ft,2,47-31,,
8:17.0,,,47-31,,D. Russell misses 2-pt shot from 15 ft
8:15.0,Defensive rebound by C. Diallo,,47-31,,
8:04.0,R. Rondo makes 2-pt shot from 1 ft,2,49-31,,
8:04.0,,,49-31,,Brooklyn full timeout
8:04.0,,,49-31,,J. Harris enters the game for D. Russell
8:04.0,E. Moore enters the game for D. Miller,,49-31,,
7:48.0,,,49-31,,Turnover by S. Dinwiddie (bad pass; steal by I. Clark)
7:41.0,R. Rondo makes 2-pt shot from 1 ft,2,51-31,,
7:26.0,,,51-31,,J. Webb misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by C. Diallo,,51-31,,
7:18.0,R. Rondo misses 3-pt shot from 24 ft,,51-31,,
7:14.0,,,51-31,,Defensive rebound by J. Harris
