time,LA Lakers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Barnes vs. B. Lopez (J. Randle gains possession),,,,Jump ball: H. Barnes vs. B. Lopez (J. Randle gains possession)
11:36.0,B. Ingram makes 2-pt shot from 20 ft,2,2-0,,
11:07.0,,,2-0,,D. Smith misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by J. Randle,,2-0,,
10:58.0,B. Lopez misses 2-pt shot from 8 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by D. Nowitzki
10:43.0,,,2-3,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith)
10:29.0,Shooting foul by D. Nowitzki (drawn by B. Lopez),,2-3,,
10:29.0,B. Lopez makes free throw 1 of 2,1,3-3,,
10:29.0,B. Lopez misses free throw 2 of 2,,3-3,,
10:27.0,,,3-3,,Defensive rebound by H. Barnes
10:18.0,,,3-6,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews)
10:01.0,B. Lopez misses 3-pt shot from 22 ft,,3-6,,
9:59.0,,,3-6,,Defensive rebound by H. Barnes
9:46.0,,,3-6,,Turnover by J. Barea (bad pass; steal by K. Caldwell-Pope)
9:37.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by B. Lopez),2,5-6,,
9:23.0,,,5-6,,H. Barnes misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by K. Caldwell-Pope,,5-6,,
9:15.0,B. Lopez misses 2-pt shot from 8 ft,,5-6,,
9:13.0,,,5-6,,Defensive rebound by D. Nowitzki
9:09.0,Personal foul by B. Ingram (drawn by J. Barea),,5-6,,
8:58.0,,,5-8,2,J. Barea makes 2-pt shot from 9 ft
8:58.0,LA Lakers full timeout,,5-8,,
8:36.0,J. Hart makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope),3,8-8,,
8:13.0,,,8-10,2,J. Barea makes 2-pt shot from 18 ft
7:59.0,J. Randle misses 2-pt shot from 2 ft,,8-10,,
7:57.0,,,8-10,,Defensive rebound by D. Nowitzki
7:49.0,,,8-12,2,H. Barnes makes 2-pt shot from 1 ft (assist by J. Barea)
7:35.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Randle),3,11-12,,
