time,Toronto,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Valanciunas (K. Walker gains possession),,,,Jump ball: D. Howard vs. J. Valanciunas (K. Walker gains possession)
11:51.0,,,0-2,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
11:24.0,D. DeRozan misses 2-pt shot from 14 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by D. Howard
11:15.0,,,0-5,3,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum)
10:51.0,K. Lowry misses 3-pt shot from 23 ft,,0-5,,
10:48.0,,,0-5,,Defensive rebound by D. Howard
10:40.0,,,0-8,3,K. Walker makes 3-pt shot from 24 ft
10:29.0,,,0-8,,Personal foul by N. Batum (drawn by K. Lowry)
10:25.0,J. Valanciunas misses 2-pt shot from 15 ft,,0-8,,
10:22.0,,,0-8,,Defensive rebound by D. Howard
10:17.0,Personal foul by O. Anunoby (drawn by N. Batum),,0-8,,
10:09.0,,,0-10,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by K. Walker)
10:01.0,Toronto full timeout,,0-10,,
9:41.0,S. Ibaka makes 2-pt shot from 17 ft (assist by D. DeRozan),2,2-10,,
9:29.0,,,2-12,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker)
9:15.0,D. DeRozan misses 3-pt shot from 25 ft,,2-12,,
9:10.0,,,2-12,,Defensive rebound by D. Howard
9:04.0,,,2-12,,K. Walker misses 2-pt shot from 16 ft
9:01.0,Defensive rebound by J. Valanciunas,,2-12,,
8:57.0,Shooting foul by K. Walker (drawn by J. Valanciunas),,2-12,,
8:57.0,J. Valanciunas makes free throw 1 of 2,1,3-12,,
8:57.0,J. Valanciunas misses free throw 2 of 2,,3-12,,
8:52.0,,,3-12,,Defensive rebound by M. Kidd-Gilchrist
8:39.0,,,3-12,,N. Batum misses 2-pt shot from 14 ft
8:34.0,Defensive rebound by O. Anunoby,,3-12,,
8:25.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,5-12,,
8:02.0,,,5-14,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
7:47.0,K. Lowry makes 3-pt shot from 22 ft (assist by J. Valanciunas),3,8-14,,
7:31.0,,,8-14,,M. Kidd-Gilchrist misses 2-pt shot from 5 ft
7:29.0,Defensive rebound by J. Valanciunas,,8-14,,
