time,Brooklyn,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-2,2,D. Howard makes 2-pt shot at rim (assist by K. Walker)
11:20.0,D. Russell makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,3-2,,
10:58.0,,,3-2,,M. Williams misses 3-pt shot from 22 ft
10:55.0,Defensive rebound by J. Allen,,3-2,,
10:51.0,S. Dinwiddie misses 3-pt shot from 25 ft,,3-2,,
10:48.0,,,3-2,,Defensive rebound by N. Batum
10:44.0,,,3-2,,Turnover by M. Kidd-Gilchrist (step out of bounds)
10:34.0,A. Crabbe misses 3-pt shot from 26 ft,,3-2,,
10:30.0,,,3-2,,Defensive rebound by D. Howard
10:18.0,,,3-4,2,K. Walker makes 2-pt shot from 21 ft
10:04.0,J. Allen makes 2-pt shot from 1 ft (assist by A. Crabbe),2,5-4,,
9:56.0,Personal foul by A. Crabbe (drawn by N. Batum),,5-4,,
9:47.0,,,5-4,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
9:45.0,,,5-4,,Offensive rebound by D. Howard
9:45.0,,,5-6,2,D. Howard makes 2-pt shot from 2 ft
9:45.0,,,5-6,,Shooting foul by J. Allen (drawn by D. Howard)
9:45.0,,,5-7,1,D. Howard makes free throw 1 of 1
9:37.0,A. Crabbe misses 2-pt shot from 16 ft,,5-7,,
9:33.0,,,5-7,,Defensive rebound by D. Howard
9:24.0,,,5-7,,Shooting foul by J. Allen (drawn by M. Kidd-Gilchrist)
9:24.0,,,5-8,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:24.0,,,5-9,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:06.0,J. Allen makes 2-pt shot from 3 ft (assist by S. Dinwiddie),2,7-9,,
8:57.0,,,7-9,,Turnover by D. Howard (bad pass; steal by A. Crabbe)
8:53.0,A. Crabbe makes 2-pt shot from 1 ft,2,9-9,,
8:37.0,,,9-11,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
8:17.0,D. Carroll misses 3-pt shot from 23 ft,,9-11,,
8:14.0,,,9-11,,Defensive rebound by D. Howard
8:09.0,,,9-11,,K. Walker misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by D. Carroll,,9-11,,
8:02.0,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Russell),3,12-11,,
7:48.0,,,12-11,,K. Walker misses 2-pt shot from 9 ft (block by D. Russell)
7:44.0,,,12-11,,Offensive rebound by D. Howard
7:42.0,,,12-11,,D. Howard misses 2-pt shot at rim
7:40.0,Defensive rebound by S. Dinwiddie,,12-11,,
7:37.0,D. Russell misses 2-pt shot from 21 ft,,12-11,,
