time,Philadelphia,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: M. Gortat vs. J. Embiid (B. Simmons gains possession)
11:49.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid),2,2-0,,
11:21.0,,,2-0,,B. Beal misses 3-pt shot from 22 ft
11:18.0,Defensive rebound by B. Simmons,,2-0,,
11:15.0,J. Redick misses 3-pt shot from 25 ft,,2-0,,
11:10.0,,,2-0,,Defensive rebound by M. Gortat
10:57.0,,,2-0,,Shooting foul by R. Covington (drawn by M. Morris)
10:57.0,,,2-1,1,M. Morris makes free throw 1 of 2
10:57.0,,,2-2,1,M. Morris makes free throw 2 of 2
10:48.0,Offensive foul by J. Embiid (drawn by T. Satoransky),,2-2,,
10:48.0,Turnover by J. Embiid (offensive foul),,2-2,,
10:34.0,,,2-2,,Offensive foul by M. Morris (drawn by B. Simmons)
10:34.0,,,2-2,,Turnover by M. Morris (offensive foul)
10:19.0,J. Redick makes 3-pt shot from 24 ft (assist by J. Embiid),3,5-2,,
9:52.0,,,5-4,2,B. Beal makes 2-pt shot from 2 ft
9:43.0,B. Simmons makes 2-pt shot at rim,2,7-4,,
9:29.0,,,7-6,2,M. Gortat makes 2-pt shot from 5 ft (assist by T. Satoransky)
9:20.0,J. Embiid makes 3-pt shot from 26 ft (assist by D. Saric),3,10-6,,
9:03.0,,,10-8,2,O. Porter makes 2-pt shot from 15 ft (assist by T. Satoransky)
8:44.0,J. Embiid misses 2-pt shot from 10 ft,,10-8,,
8:42.0,,,10-8,,Defensive rebound by M. Morris
8:39.0,,,10-11,3,B. Beal makes 3-pt shot from 24 ft (assist by T. Satoransky)
8:29.0,D. Saric misses 2-pt shot from 8 ft,,10-11,,
8:28.0,,,10-11,,Defensive rebound by T. Satoransky
8:19.0,,,10-11,,M. Gortat misses 2-pt shot from 5 ft
8:17.0,Defensive rebound by J. Embiid,,10-11,,
8:12.0,,,10-11,,Personal foul by T. Satoransky (drawn by J. Redick)
8:12.0,T. McConnell enters the game for J. Redick,,10-11,,
8:04.0,J. Embiid misses 3-pt shot from 25 ft,,10-11,,
8:01.0,,,10-11,,Defensive rebound by M. Morris
7:54.0,,,10-14,3,T. Satoransky makes 3-pt shot from 23 ft (assist by B. Beal)
7:34.0,,,10-14,,Def 3 sec tech foul by T. Satoransky
7:34.0,D. Saric makes technical free throw,1,11-14,,
7:29.0,D. Saric makes 2-pt shot from 3 ft (assist by J. Embiid),2,13-14,,
7:29.0,Shooting foul by M. Morris (drawn by D. Saric),,13-14,,
7:29.0,,,13-14,,K. Oubre enters the game for M. Morris
7:29.0,D. Saric misses free throw 1 of 1,,13-14,,
7:28.0,,,13-14,,Defensive rebound by B. Beal
7:09.0,,,13-14,,Turnover by T. Satoransky (bad pass; steal by B. Simmons)
7:04.0,D. Saric misses 2-pt shot from 1 ft,,13-14,,
7:03.0,,,13-14,,Defensive rebound by T. Satoransky
6:52.0,,,13-16,2,K. Oubre makes 2-pt shot from 11 ft (assist by T. Satoransky)
6:39.0,B. Simmons misses 2-pt shot from 7 ft,,13-16,,
6:36.0,,,13-16,,Defensive rebound by M. Gortat
6:31.0,,,13-16,,Turnover by O. Porter (bad pass; steal by R. Covington)
6:27.0,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons),2,15-16,,
6:27.0,Shooting foul by B. Beal (drawn by J. Embiid),,15-16,,
6:27.0,,,15-16,,Washington full timeout
6:27.0,J. Embiid makes free throw 1 of 1,1,16-16,,
6:10.0,,,16-16,,O. Porter misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by D. Saric,,16-16,,
6:01.0,B. Simmons misses 2-pt shot from 3 ft,,16-16,,
6:00.0,Offensive rebound by B. Simmons,,16-16,,
6:00.0,B. Simmons misses 2-pt shot from 3 ft,,16-16,,
5:59.0,,,16-16,,Defensive rebound by T. Satoransky
5:51.0,,,16-19,3,K. Oubre makes 3-pt shot from 22 ft (assist by O. Porter)
5:29.0,J. Embiid makes 2-pt shot from 5 ft,2,18-19,,
