time,Minnesota,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. K. Towns (D. Fox gains possession),,,,Jump ball: S. Labissiere vs. K. Towns (D. Fox gains possession)
11:40.0,,,0-2,2,S. Labissiere makes 2-pt shot from 15 ft (assist by D. Fox)
11:19.0,Shooting foul by J. Jackson (drawn by A. Wiggins),,0-2,,
11:19.0,A. Wiggins makes free throw 1 of 2,1,1-2,,
11:19.0,A. Wiggins makes free throw 2 of 2,1,2-2,,
11:04.0,,,2-5,3,D. Fox makes 3-pt shot from 25 ft (assist by W. Cauley-Stein)
10:37.0,J. Teague misses 2-pt shot from 22 ft,,2-5,,
10:33.0,,,2-5,,Defensive rebound by B. Bogdanovic
10:21.0,,,2-7,2,W. Cauley-Stein makes 2-pt shot from 15 ft
9:55.0,N. Bjelica misses 2-pt shot from 8 ft,,2-7,,
9:52.0,Offensive rebound by N. Bjelica,,2-7,,
9:49.0,J. Teague makes 2-pt shot from 1 ft,2,4-7,,
9:37.0,,,4-10,3,J. Jackson makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
9:21.0,N. Bjelica makes 3-pt shot from 25 ft (assist by T. Gibson),3,7-10,,
9:06.0,,,7-12,2,S. Labissiere makes 2-pt shot from 8 ft (assist by W. Cauley-Stein)
8:51.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague),2,9-12,,
8:35.0,,,9-12,,Turnover by D. Fox (lost ball; steal by J. Teague)
8:25.0,T. Gibson makes 2-pt shot from 4 ft,2,11-12,,
8:04.0,,,11-12,,B. Bogdanovic misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by K. Towns,,11-12,,
7:49.0,J. Teague makes 2-pt shot from 1 ft (assist by K. Towns),2,13-12,,
7:37.0,,,13-12,,B. Bogdanovic misses 2-pt shot from 14 ft
7:34.0,Defensive rebound by K. Towns,,13-12,,
7:32.0,,,13-12,,Personal foul by S. Labissiere (drawn by T. Gibson)
7:20.0,K. Towns makes 2-pt shot from 18 ft (assist by T. Gibson),2,15-12,,
7:04.0,,,15-12,,W. Cauley-Stein misses 2-pt shot from 7 ft (block by K. Towns)
7:01.0,Defensive rebound by J. Teague,,15-12,,
6:56.0,A. Wiggins makes 2-pt shot from 16 ft,2,17-12,,
6:47.0,,,17-12,,Sacramento full timeout
6:31.0,,,17-12,,J. Jackson misses 2-pt shot from 2 ft
6:27.0,,,17-12,,Offensive rebound by J. Jackson
6:22.0,,,17-12,,W. Cauley-Stein misses 2-pt shot from 5 ft
6:19.0,Defensive rebound by J. Teague,,17-12,,
6:08.0,A. Wiggins misses 3-pt shot from 26 ft,,17-12,,
6:05.0,,,17-12,,Defensive rebound by W. Cauley-Stein
5:55.0,,,17-14,2,S. Labissiere makes 2-pt shot from 5 ft
5:39.0,T. Gibson makes 2-pt shot from 7 ft (assist by K. Towns),2,19-14,,
5:26.0,Personal foul by J. Teague (drawn by D. Fox),,19-14,,
5:26.0,,,19-14,,B. Hield enters the game for J. Jackson
5:20.0,,,19-17,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Fox)
5:01.0,Shooting foul by B. Hield (drawn by J. Teague),,19-17,,
5:01.0,J. Teague makes free throw 1 of 2,1,20-17,,
5:01.0,J. Teague makes free throw 2 of 2,1,21-17,,
4:47.0,,,21-17,,B. Bogdanovic misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by K. Towns,,21-17,,
4:39.0,A. Wiggins makes 2-pt shot from 2 ft,2,23-17,,
4:29.0,,,23-17,,Turnover by B. Hield (lost ball; steal by A. Wiggins)
4:23.0,J. Teague misses 3-pt shot from 25 ft,,23-17,,
4:21.0,,,23-17,,Defensive rebound by Team
4:21.0,,,23-17,,K. Koufos enters the game for S. Labissiere
4:21.0,G. Dieng enters the game for N. Bjelica,,23-17,,
4:21.0,J. Crawford enters the game for K. Towns,,23-17,,
4:06.0,,,23-19,2,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by D. Fox)
3:50.0,J. Crawford misses 3-pt shot from 22 ft,,23-19,,
3:46.0,,,23-19,,Defensive rebound by B. Hield
3:37.0,,,23-21,2,K. Koufos makes 2-pt shot from 7 ft
