time,Sacramento,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. W. Cauley-Stein (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. W. Cauley-Stein (A. Aminu gains possession)
11:37.0,,,0-0,,A. Aminu misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by D. Fox,,0-0,,
11:14.0,Z. Randolph misses 2-pt shot from 2 ft,,0-0,,
11:14.0,Offensive rebound by Team,,0-0,,
11:12.0,Z. Randolph misses 2-pt shot from 19 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by M. Harkless
11:04.0,,,0-2,2,D. Lillard makes 2-pt shot from 16 ft
10:56.0,D. Fox misses 2-pt shot from 1 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by J. Nurkic
10:49.0,,,0-5,3,D. Lillard makes 3-pt shot from 25 ft
10:35.0,Z. Randolph misses 3-pt shot from 24 ft,,0-5,,
10:33.0,,,0-5,,Defensive rebound by C. McCollum
10:29.0,,,0-5,,C. McCollum misses 2-pt shot from 5 ft
10:27.0,Defensive rebound by Z. Randolph,,0-5,,
10:20.0,B. Bogdanovic misses 2-pt shot from 8 ft,,0-5,,
10:18.0,,,0-5,,Defensive rebound by M. Harkless
10:08.0,,,0-8,3,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard)
10:06.0,Sacramento full timeout,,0-8,,
9:55.0,J. Jackson makes 2-pt shot from 7 ft (assist by D. Fox),2,2-8,,
9:34.0,,,2-11,3,D. Lillard makes 3-pt shot from 28 ft (assist by M. Harkless)
9:21.0,D. Fox makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,5-11,,
9:04.0,,,5-11,,Turnover by A. Aminu (bad pass)
8:53.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Fox),2,7-11,,
8:35.0,,,7-11,,C. McCollum misses 3-pt shot from 26 ft
8:34.0,Defensive rebound by B. Bogdanovic,,7-11,,
8:27.0,B. Bogdanovic makes 2-pt shot from 14 ft,2,9-11,,
8:09.0,,,9-11,,C. McCollum misses 2-pt shot from 6 ft
8:04.0,,,9-11,,Offensive rebound by J. Nurkic
8:04.0,,,9-13,2,J. Nurkic makes 2-pt shot at rim
7:57.0,Shooting foul by A. Aminu (drawn by Z. Randolph),,9-13,,
7:57.0,Z. Randolph makes free throw 1 of 2,1,10-13,,
7:57.0,Z. Randolph makes free throw 2 of 2,1,11-13,,
7:44.0,,,11-15,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
7:33.0,D. Fox makes 2-pt shot from 2 ft,2,13-15,,
7:21.0,,,13-15,,J. Nurkic misses 2-pt shot from 11 ft
7:20.0,Defensive rebound by J. Jackson,,13-15,,
7:16.0,D. Fox misses 3-pt shot from 24 ft,,13-15,,
7:13.0,,,13-15,,Defensive rebound by A. Aminu
7:07.0,,,13-17,2,J. Nurkic makes 2-pt shot from 13 ft (assist by D. Lillard)
6:43.0,Z. Randolph misses 2-pt shot from 1 ft,,13-17,,
6:42.0,,,13-17,,Defensive rebound by J. Nurkic
6:37.0,,,13-19,2,C. McCollum makes 2-pt shot from 10 ft (assist by D. Lillard)
6:20.0,Turnover by W. Cauley-Stein (bad pass; steal by D. Lillard),,13-19,,
6:14.0,,,13-21,2,D. Lillard makes 2-pt shot at rim
5:50.0,B. Bogdanovic makes 2-pt shot from 3 ft,2,15-21,,
5:35.0,,,15-23,2,M. Harkless makes 2-pt shot from 1 ft
5:13.0,Turnover by W. Cauley-Stein (bad pass; steal by M. Harkless),,15-23,,
5:11.0,,,15-25,2,M. Harkless makes 2-pt shot from 1 ft
5:03.0,Sacramento full timeout,,15-25,,
4:49.0,W. Cauley-Stein misses 2-pt shot at rim (block by J. Nurkic),,15-25,,
4:46.0,,,15-25,,Defensive rebound by A. Aminu
4:37.0,,,15-25,,M. Harkless misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by Z. Randolph,,15-25,,
4:24.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,15-25,,
4:22.0,,,15-25,,Defensive rebound by J. Nurkic
4:13.0,,,15-28,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
3:56.0,B. Bogdanovic misses 2-pt shot from 17 ft,,15-28,,
3:52.0,Offensive rebound by Z. Randolph,,15-28,,
3:52.0,Z. Randolph makes 2-pt shot at rim,2,17-28,,
