time,Philadelphia,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: T. Thompson vs. J. Embiid (B. Simmons gains possession)
11:51.0,Turnover by B. Simmons (bad pass),,0-0,,
11:38.0,,,0-0,,G. Hill misses 2-pt shot from 18 ft
11:35.0,Defensive rebound by D. Saric,,0-0,,
11:24.0,B. Simmons makes 2-pt shot at rim (assist by J. Embiid),2,2-0,,
11:06.0,,,2-2,2,R. Hood makes 2-pt shot from 15 ft
10:57.0,J. Redick misses 3-pt shot from 24 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by L. James
10:45.0,,,2-2,,L. James misses 2-pt shot from 17 ft
10:42.0,Defensive rebound by B. Simmons,,2-2,,
10:37.0,R. Covington makes 3-pt shot from 23 ft (assist by J. Redick),3,5-2,,
10:14.0,,,5-2,,C. Osman misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by B. Simmons,,5-2,,
10:08.0,R. Covington makes 3-pt shot from 23 ft (assist by B. Simmons),3,8-2,,
9:51.0,Personal foul by J. Redick (drawn by R. Hood),,8-2,,
9:44.0,,,8-4,2,R. Hood makes 2-pt shot from 12 ft
9:36.0,J. Redick makes 3-pt shot from 25 ft,3,11-4,,
9:23.0,,,11-4,,Shooting foul by J. Embiid (drawn by G. Hill)
9:23.0,,,11-5,1,G. Hill makes free throw 1 of 2
9:23.0,,,11-5,,G. Hill misses free throw 2 of 2
9:20.0,Defensive rebound by J. Embiid,,11-5,,
9:10.0,Shooting foul by T. Thompson (drawn by J. Embiid),,11-5,,
9:10.0,J. Embiid makes free throw 1 of 2,1,12-5,,
9:10.0,J. Embiid misses free throw 2 of 2,,12-5,,
9:09.0,,,12-5,,Defensive rebound by Team
8:58.0,,,12-8,3,C. Osman makes 3-pt shot from 23 ft (assist by G. Hill)
8:43.0,,,12-8,,Personal foul by L. James (drawn by J. Redick)
8:35.0,J. Redick makes 3-pt shot from 23 ft (assist by J. Embiid),3,15-8,,
8:21.0,,,15-8,,T. Thompson misses 2-pt shot from 13 ft (block by J. Embiid)
8:21.0,,,15-8,,Offensive rebound by Team
8:15.0,,,15-10,2,L. James makes 2-pt shot from 9 ft (assist by C. Osman)
8:15.0,,,15-10,,Shooting foul by R. Covington (drawn by L. James)
8:15.0,,,15-11,1,L. James makes free throw 1 of 1
7:58.0,J. Redick makes 2-pt shot at rim,2,17-11,,
7:58.0,Shooting foul by C. Osman (drawn by J. Redick),,17-11,,
7:58.0,J. Redick makes free throw 1 of 1,1,18-11,,
7:42.0,,,18-13,2,L. James makes 2-pt shot at rim (assist by G. Hill)
7:42.0,,,18-13,,Shooting foul by B. Simmons (drawn by L. James)
7:42.0,M. Belinelli enters the game for J. Redick,,18-13,,
7:42.0,,,18-13,,L. James misses free throw 1 of 1
7:40.0,,,18-13,,Offensive rebound by T. Thompson
7:29.0,,,18-13,,L. James misses 2-pt shot from 15 ft
7:25.0,,,18-13,,Offensive rebound by G. Hill
7:21.0,,,18-13,,Turnover by G. Hill (bad pass; steal by B. Simmons)
7:21.0,,,18-13,,Personal foul by R. Hood (drawn by B. Simmons)
7:09.0,Shooting foul by T. Thompson (drawn by J. Embiid),,18-13,,
7:09.0,J. Embiid makes free throw 1 of 2,1,19-13,,
7:09.0,J. Embiid misses free throw 2 of 2,,19-13,,
7:05.0,,,19-13,,Defensive rebound by C. Osman
7:02.0,,,19-15,2,G. Hill makes 2-pt shot from 1 ft (assist by L. James)
6:48.0,B. Simmons misses 2-pt shot from 12 ft,,19-15,,
6:43.0,Offensive rebound by D. Saric,,19-15,,
6:40.0,D. Saric makes 2-pt shot from 7 ft,2,21-15,,
6:32.0,,,21-17,2,L. James makes 2-pt shot at rim (assist by R. Hood)
6:31.0,Philadelphia full timeout,,21-17,,
6:31.0,A. Johnson enters the game for J. Embiid,,21-17,,
6:20.0,Turnover by D. Saric (bad pass; steal by T. Thompson),,21-17,,
6:13.0,,,21-17,,G. Hill misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by A. Johnson,,21-17,,
5:59.0,M. Belinelli makes 2-pt shot from 2 ft (assist by B. Simmons),2,23-17,,
5:59.0,,,23-17,,Violation by C. Osman (def goaltending)
5:47.0,,,23-20,3,C. Osman makes 3-pt shot from 22 ft (assist by L. James)
5:27.0,A. Johnson makes 3-pt shot from 26 ft (assist by B. Simmons),3,26-20,,
5:11.0,,,26-20,,R. Hood misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by B. Simmons,,26-20,,
5:01.0,D. Saric misses 3-pt shot from 25 ft,,26-20,,
4:58.0,,,26-20,,Defensive rebound by T. Thompson
4:41.0,,,26-20,,L. James misses 2-pt shot at rim
4:41.0,Defensive rebound by Team,,26-20,,
4:41.0,,,26-20,,J. Green enters the game for C. Osman
4:41.0,T. McConnell enters the game for R. Covington,,26-20,,
4:26.0,,,26-20,,Personal foul by G. Hill (drawn by D. Saric)
4:26.0,D. Saric makes free throw 1 of 2,1,27-20,,
4:26.0,D. Saric makes free throw 2 of 2,1,28-20,,
4:14.0,,,28-20,,T. Thompson misses 2-pt shot at rim (block by A. Johnson)
4:10.0,Defensive rebound by D. Saric,,28-20,,
4:08.0,D. Saric misses 3-pt shot from 26 ft,,28-20,,
4:05.0,,,28-20,,Defensive rebound by R. Hood
4:00.0,,,28-20,,R. Hood misses 2-pt shot from 11 ft
3:52.0,Defensive rebound by D. Saric,,28-20,,
3:43.0,A. Johnson misses 2-pt shot from 11 ft,,28-20,,
3:41.0,,,28-20,,Defensive rebound by J. Green
3:24.0,,,28-20,,Shooting foul by A. Johnson (drawn by J. Green)
3:24.0,,,28-21,1,J. Green makes free throw 1 of 2
3:24.0,,,28-21,,L. Nance enters the game for R. Hood
3:24.0,,,28-21,,J. Clarkson enters the game for G. Hill
3:24.0,,,28-21,,K. Korver enters the game for T. Thompson
3:24.0,J. Embiid enters the game for A. Johnson,,28-21,,
3:24.0,E. Ilyasova enters the game for D. Saric,,28-21,,
3:24.0,J. Redick enters the game for M. Belinelli,,28-21,,
3:24.0,R. Covington enters the game for B. Simmons,,28-21,,
3:24.0,,,28-22,1,J. Green makes free throw 2 of 2
3:08.0,J. Embiid makes 2-pt shot from 14 ft,2,30-22,,
2:49.0,,,30-22,,Turnover by L. James (out of bounds lost ball)
2:49.0,,,30-22,,Cleveland full timeout
2:31.0,Turnover by J. Embiid (turnover),,30-22,,
2:19.0,,,30-24,2,L. Nance makes 2-pt shot from 16 ft (assist by L. James)
1:58.0,Turnover by J. Embiid (step out of bounds),,30-24,,
1:43.0,,,30-26,2,L. James makes 2-pt shot from 1 ft (assist by K. Korver)
1:43.0,Violation by J. Embiid (def goaltending),,30-26,,
1:27.0,T. McConnell misses 3-pt shot from 24 ft,,30-26,,
1:24.0,,,30-26,,Defensive rebound by L. James
1:17.0,,,30-26,,J. Clarkson misses 3-pt shot from 23 ft
1:13.0,Defensive rebound by R. Covington,,30-26,,
1:07.0,T. McConnell misses 3-pt shot from 25 ft,,30-26,,
1:04.0,Offensive rebound by J. Embiid,,30-26,,
1:03.0,J. Embiid makes 2-pt shot at rim,2,32-26,,
0:49.0,,,32-26,,R. Hood enters the game for L. James
0:49.0,M. Belinelli enters the game for R. Covington,,32-26,,
0:41.0,,,32-28,2,J. Clarkson makes 2-pt shot from 7 ft (assist by R. Hood)
0:41.0,,,32-28,,Shooting foul by J. Redick (drawn by J. Clarkson)
0:41.0,,,32-29,1,J. Clarkson makes free throw 1 of 1
