time,Denver,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. N. Jokic (J. Murray gains possession),,,,Jump ball: T. Thompson vs. N. Jokic (J. Murray gains possession)
11:38.0,W. Chandler makes 2-pt shot from 9 ft (assist by N. Jokic),2,2-0,,
11:16.0,,,2-0,,T. Thompson misses 2-pt shot from 9 ft
11:14.0,Defensive rebound by P. Millsap,,2-0,,
11:10.0,G. Harris makes 2-pt shot from 1 ft (assist by P. Millsap),2,4-0,,
10:53.0,,,4-3,3,G. Hill makes 3-pt shot from 25 ft (assist by L. James)
10:40.0,G. Harris misses 3-pt shot from 25 ft,,4-3,,
10:33.0,,,4-3,,Defensive rebound by T. Thompson
10:30.0,,,4-3,,Turnover by T. Thompson (lost ball; steal by P. Millsap)
10:16.0,J. Murray misses 3-pt shot from 30 ft,,4-3,,
10:13.0,,,4-3,,Defensive rebound by L. James
10:08.0,,,4-5,2,C. Osman makes 2-pt shot at rim (assist by L. James)
9:53.0,W. Chandler makes 2-pt shot from 13 ft (assist by N. Jokic),2,6-5,,
9:38.0,,,6-5,,G. Hill misses 2-pt shot from 16 ft (block by N. Jokic)
9:35.0,,,6-5,,Offensive rebound by G. Hill
9:34.0,,,6-5,,G. Hill misses 2-pt shot from 18 ft
9:30.0,Defensive rebound by N. Jokic,,6-5,,
9:22.0,P. Millsap misses 2-pt shot from 2 ft,,6-5,,
9:20.0,,,6-5,,Defensive rebound by L. James
9:17.0,,,6-7,2,C. Osman makes 2-pt shot from 1 ft (assist by L. James)
8:57.0,,,6-7,,Personal foul by C. Osman (drawn by N. Jokic)
8:50.0,G. Harris makes 2-pt shot from 16 ft,2,8-7,,
8:26.0,,,8-9,2,G. Hill makes 2-pt shot from 14 ft
8:17.0,Turnover by P. Millsap (traveling),,8-9,,
8:06.0,,,8-11,2,L. James makes 2-pt shot from 1 ft (assist by G. Hill)
7:54.0,N. Jokic makes 2-pt shot at rim,2,10-11,,
7:54.0,Shooting foul by G. Hill (drawn by N. Jokic),,10-11,,
7:54.0,N. Jokic makes free throw 1 of 1,1,11-11,,
7:36.0,,,11-11,,Turnover by C. Osman (traveling)
7:20.0,Shooting foul by C. Osman (drawn by G. Harris),,11-11,,
7:20.0,G. Harris makes free throw 1 of 2,1,12-11,,
7:20.0,G. Harris makes free throw 2 of 2,1,13-11,,
7:12.0,Personal foul by W. Chandler (drawn by G. Hill),,13-11,,
7:03.0,,,13-13,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
6:46.0,,,13-13,,Cleveland full timeout
6:33.0,J. Murray misses 2-pt shot from 1 ft,,13-13,,
6:31.0,Offensive rebound by P. Millsap,,13-13,,
6:31.0,P. Millsap misses 2-pt shot at rim,,13-13,,
6:29.0,,,13-13,,Defensive rebound by T. Thompson
6:23.0,,,13-13,,C. Osman misses 3-pt shot from 26 ft
6:18.0,Defensive rebound by P. Millsap,,13-13,,
6:11.0,W. Chandler misses 2-pt shot from 5 ft,,13-13,,
6:11.0,,,13-13,,Defensive rebound by T. Thompson
5:58.0,,,13-13,,L. James misses 2-pt shot at rim
5:58.0,,,13-13,,Offensive rebound by L. James
5:53.0,,,13-13,,L. James misses 2-pt shot at rim
5:52.0,,,13-13,,Offensive rebound by T. Thompson
5:52.0,,,13-13,,T. Thompson misses 2-pt shot at rim
5:50.0,Defensive rebound by N. Jokic,,13-13,,
5:47.0,P. Millsap makes 2-pt shot from 2 ft (assist by N. Jokic),2,15-13,,
5:31.0,Personal foul by W. Chandler (drawn by L. James),,15-13,,
5:31.0,W. Barton enters the game for P. Millsap,,15-13,,
5:27.0,Violation by N. Jokic (kicked ball),,15-13,,
5:19.0,,,15-15,2,C. Osman makes 2-pt shot from 8 ft (assist by G. Hill)
5:04.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,18-15,,
4:46.0,,,18-17,2,C. Osman makes 2-pt shot from 18 ft (assist by G. Hill)
4:32.0,W. Barton makes 3-pt shot from 25 ft (assist by J. Murray),3,21-17,,
4:14.0,,,21-17,,Turnover by L. James (lost ball; steal by G. Harris)
