time,Atlanta,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. D. Dedmon (D. Schroder gains possession),,,,Jump ball: J. Valanciunas vs. D. Dedmon (D. Schroder gains possession)
11:45.0,K. Bazemore makes 3-pt shot from 22 ft (assist by T. Waller-Prince),3,3-0,,
11:25.0,,,3-0,,Turnover by D. DeRozan (lost ball; steal by K. Bazemore)
11:22.0,J. Collins makes 2-pt shot from 2 ft (assist by K. Bazemore),2,5-0,,
11:01.0,,,5-0,,M. Miller misses 3-pt shot from 24 ft
10:59.0,,,5-0,,Offensive rebound by S. Ibaka
10:53.0,,,5-2,2,J. Valanciunas makes 2-pt shot from 6 ft
10:36.0,J. Collins misses 3-pt shot from 23 ft,,5-2,,
10:34.0,,,5-2,,Defensive rebound by S. Ibaka
10:17.0,,,5-2,,Shooting foul by J. Collins (drawn by M. Miller)
10:17.0,,,5-3,1,M. Miller makes free throw 1 of 2
10:17.0,,,5-4,1,M. Miller makes free throw 2 of 2
9:59.0,Turnover by D. Schroder (step out of bounds),,5-4,,
9:44.0,,,5-4,,J. Valanciunas misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by T. Waller-Prince,,5-4,,
9:34.0,,,5-4,,Personal foul by D. DeRozan (drawn by D. Schroder)
9:27.0,J. Collins makes 2-pt shot from 1 ft (assist by K. Bazemore),2,7-4,,
9:11.0,,,7-4,,Turnover by J. Valanciunas (lost ball; steal by T. Waller-Prince)
9:08.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,9-4,,
8:55.0,,,9-4,,Turnover by D. DeRozan (traveling)
8:44.0,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Collins),2,11-4,,
8:44.0,,,11-4,,Toronto full timeout
8:24.0,,,11-4,,S. Ibaka misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by Team,,11-4,,
8:12.0,Turnover by D. Schroder (bad pass),,11-4,,
8:03.0,,,11-4,,Shooting foul by D. Dedmon (drawn by D. DeRozan)
8:03.0,,,11-4,,D. DeRozan misses free throw 1 of 2
8:03.0,,,11-4,,Offensive rebound by Team
8:03.0,,,11-5,1,D. DeRozan makes free throw 2 of 2
8:00.0,Turnover by D. Schroder (bad pass),,11-5,,
7:46.0,,,11-7,2,D. DeRozan makes 2-pt shot from 13 ft
7:19.0,J. Collins misses 2-pt shot from 10 ft,,11-7,,
7:16.0,,,11-7,,Defensive rebound by S. Ibaka
7:05.0,,,11-10,3,M. Miller makes 3-pt shot from 22 ft (assist by S. Ibaka)
6:50.0,T. Waller-Prince misses 3-pt shot from 24 ft,,11-10,,
6:47.0,,,11-10,,Defensive rebound by S. Ibaka
6:42.0,,,11-10,,K. Lowry misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by D. Dedmon,,11-10,,
6:16.0,D. Schroder makes 3-pt shot from 25 ft (assist by T. Waller-Prince),3,14-10,,
5:53.0,,,14-10,,S. Ibaka misses 3-pt shot from 25 ft
5:51.0,,,14-10,,Offensive rebound by M. Miller
5:48.0,,,14-10,,S. Ibaka misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by T. Waller-Prince,,14-10,,
5:43.0,Turnover by T. Waller-Prince (bad pass),,14-10,,
5:43.0,M. Muscala enters the game for D. Dedmon,,14-10,,
5:43.0,T. Dorsey enters the game for K. Bazemore,,14-10,,
5:23.0,,,14-13,3,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Lowry)
5:09.0,Shooting foul by J. Valanciunas (drawn by T. Waller-Prince),,14-13,,
5:09.0,T. Waller-Prince misses free throw 1 of 2,,14-13,,
5:09.0,Offensive rebound by Team,,14-13,,
5:09.0,M. Plumlee enters the game for J. Collins,,14-13,,
5:09.0,T. Waller-Prince makes free throw 2 of 2,1,15-13,,
4:52.0,,,15-13,,S. Ibaka misses 2-pt shot from 8 ft
4:50.0,Defensive rebound by Team,,15-13,,
4:50.0,J. Morris enters the game for T. Waller-Prince,,15-13,,
4:40.0,D. Schroder misses 2-pt shot from 11 ft,,15-13,,
4:38.0,Offensive rebound by M. Plumlee,,15-13,,
4:37.0,M. Plumlee misses 2-pt shot from 1 ft,,15-13,,
4:37.0,,,15-13,,Defensive rebound by J. Valanciunas
