time,Boston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. A. Baynes (T. Gibson gains possession),,,,Jump ball: K. Towns vs. A. Baynes (T. Gibson gains possession)
11:41.0,,,0-2,2,T. Gibson makes 2-pt shot from 15 ft (assist by J. Teague)
11:26.0,K. Irving misses 3-pt shot from 25 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by J. Teague
11:10.0,,,0-2,,A. Wiggins misses 3-pt shot from 22 ft
11:07.0,Defensive rebound by A. Baynes,,0-2,,
10:58.0,A. Baynes makes 2-pt shot from 7 ft (assist by A. Horford),2,2-2,,
10:44.0,,,2-5,3,N. Bjelica makes 3-pt shot from 22 ft (assist by A. Wiggins)
10:25.0,J. Brown makes 2-pt shot from 1 ft (assist by A. Baynes),2,4-5,,
10:17.0,,,4-7,2,A. Wiggins makes 2-pt shot at rim (assist by J. Teague)
10:04.0,A. Baynes misses 2-pt shot from 16 ft,,4-7,,
10:03.0,,,4-7,,Defensive rebound by J. Teague
9:54.0,,,4-7,,K. Towns misses 2-pt shot from 17 ft
9:48.0,,,4-7,,Offensive rebound by A. Wiggins
9:48.0,,,4-7,,A. Wiggins misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by A. Horford,,4-7,,
9:40.0,K. Irving misses 3-pt shot from 24 ft,,4-7,,
9:40.0,Offensive rebound by J. Brown,,4-7,,
9:36.0,Shooting foul by J. Teague (drawn by J. Brown),,4-7,,
9:36.0,J. Brown makes free throw 1 of 2,1,5-7,,
9:36.0,J. Brown makes free throw 2 of 2,1,6-7,,
9:26.0,,,6-7,,Turnover by A. Wiggins (bad pass; steal by K. Irving)
9:19.0,J. Tatum misses 3-pt shot from 22 ft,,6-7,,
9:17.0,,,6-7,,Defensive rebound by A. Wiggins
9:10.0,,,6-7,,Turnover by N. Bjelica (bad pass)
8:50.0,J. Tatum makes 3-pt shot from 25 ft (assist by A. Horford),3,9-7,,
8:36.0,,,9-7,,Turnover by A. Wiggins (bad pass; steal by K. Irving)
8:29.0,A. Horford makes 2-pt shot from 11 ft (assist by K. Irving),2,11-7,,
8:12.0,,,11-9,2,J. Teague makes 2-pt shot from 10 ft
7:52.0,K. Irving makes 2-pt shot from 15 ft,2,13-9,,
7:26.0,,,13-12,3,J. Teague makes 3-pt shot from 22 ft (assist by A. Wiggins)
7:04.0,Turnover by K. Irving (bad pass; steal by J. Teague),,13-12,,
6:59.0,,,13-14,2,A. Wiggins makes 2-pt shot from 4 ft (assist by J. Teague)
6:50.0,K. Irving misses 2-pt shot from 10 ft,,13-14,,
6:47.0,,,13-14,,Defensive rebound by N. Bjelica
6:43.0,,,13-17,3,N. Bjelica makes 3-pt shot from 25 ft
6:39.0,Boston full timeout,,13-17,,
6:39.0,M. Morris enters the game for A. Baynes,,13-17,,
6:39.0,M. Smart enters the game for J. Tatum,,13-17,,
6:25.0,A. Horford makes 2-pt shot from 16 ft (assist by K. Irving),2,15-17,,
6:04.0,,,15-17,,J. Teague misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by K. Irving,,15-17,,
5:59.0,,,15-17,,Violation by A. Wiggins (kicked ball)
5:53.0,K. Irving makes 3-pt shot from 23 ft (assist by M. Smart),3,18-17,,
5:37.0,,,18-19,2,T. Gibson makes 2-pt shot from 5 ft
5:16.0,M. Morris misses 2-pt shot from 20 ft,,18-19,,
5:13.0,Offensive rebound by A. Horford,,18-19,,
5:06.0,M. Smart misses 3-pt shot from 22 ft,,18-19,,
5:03.0,Offensive rebound by J. Brown,,18-19,,
