time,LA Lakers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. B. Lopez (L. Ball gains possession),,,,Jump ball: N. Jokic vs. B. Lopez (L. Ball gains possession)
11:35.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Lopez),2,2-0,,
11:21.0,,,2-3,3,G. Harris makes 3-pt shot from 24 ft (assist by W. Barton)
10:58.0,B. Lopez makes 2-pt shot from 9 ft,2,4-3,,
10:31.0,,,4-6,3,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic)
10:12.0,B. Lopez makes 2-pt shot from 5 ft,2,6-6,,
9:59.0,,,6-8,2,N. Jokic makes 2-pt shot from 6 ft (assist by J. Murray)
9:45.0,J. Randle misses 2-pt shot from 5 ft (block by P. Millsap),,6-8,,
9:45.0,Offensive rebound by Team,,6-8,,
9:41.0,B. Lopez misses 3-pt shot from 24 ft,,6-8,,
9:37.0,Offensive rebound by K. Caldwell-Pope,,6-8,,
9:35.0,J. Randle misses 2-pt shot from 1 ft,,6-8,,
9:32.0,Offensive rebound by J. Randle,,6-8,,
9:31.0,Turnover by J. Randle (lost ball; steal by J. Murray),,6-8,,
9:23.0,,,6-8,,P. Millsap misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by L. Ball,,6-8,,
9:17.0,B. Lopez makes 2-pt shot from 3 ft (assist by L. Ball),2,8-8,,
9:17.0,Shooting foul by P. Millsap (drawn by B. Lopez),,8-8,,
9:17.0,B. Lopez misses free throw 1 of 1,,8-8,,
9:14.0,,,8-8,,Defensive rebound by W. Barton
9:01.0,,,8-8,,N. Jokic misses 2-pt shot from 3 ft
8:59.0,Defensive rebound by J. Randle,,8-8,,
8:54.0,L. Ball misses 3-pt shot from 23 ft,,8-8,,
8:52.0,,,8-8,,Defensive rebound by Team
8:52.0,Loose ball foul by J. Randle (drawn by P. Millsap),,8-8,,
8:40.0,,,8-10,2,P. Millsap makes 2-pt shot from 5 ft (assist by J. Murray)
8:28.0,J. Randle makes 2-pt shot from 1 ft (assist by K. Kuzma),2,10-10,,
8:12.0,,,10-10,,J. Murray misses 2-pt shot from 16 ft
8:09.0,Defensive rebound by B. Lopez,,10-10,,
8:00.0,Turnover by L. Ball (bad pass; steal by W. Barton),,10-10,,
7:54.0,,,10-13,3,J. Murray makes 3-pt shot from 22 ft (assist by G. Harris)
7:52.0,LA Lakers full timeout,,10-13,,
7:40.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,10-13,,
7:37.0,,,10-13,,Defensive rebound by W. Barton
