time,Orlando,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Vucevic (T. Harris gains possession),,,,Jump ball: D. Jordan vs. N. Vucevic (T. Harris gains possession)
11:46.0,,,0-2,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
11:26.0,N. Vucevic misses 2-pt shot from 17 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by D. Jordan
11:16.0,,,0-5,3,A. Rivers makes 3-pt shot from 24 ft (assist by S. Thornwell)
10:56.0,N. Vucevic misses 2-pt shot from 1 ft,,0-5,,
10:54.0,,,0-5,,Defensive rebound by T. Harris
10:50.0,,,0-8,3,L. Williams makes 3-pt shot from 26 ft (assist by T. Harris)
10:31.0,J. Isaac misses 3-pt shot from 25 ft,,0-8,,
10:29.0,,,0-8,,Defensive rebound by T. Harris
10:12.0,,,0-8,,Turnover by A. Rivers (bad pass; steal by J. Isaac)
10:06.0,Turnover by D. Augustin (lost ball; steal by S. Thornwell),,0-8,,
9:54.0,,,0-10,2,T. Harris makes 2-pt shot from 16 ft
9:37.0,J. Isaac makes 2-pt shot from 5 ft (assist by M. Hezonja),2,2-10,,
9:14.0,,,2-10,,L. Williams misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by M. Hezonja,,2-10,,
8:58.0,Turnover by N. Vucevic (lost ball; steal by A. Rivers),,2-10,,
8:51.0,,,2-12,2,L. Williams makes 2-pt shot from 1 ft
8:51.0,Orlando full timeout,,2-12,,
8:33.0,J. Simmons misses 2-pt shot from 9 ft,,2-12,,
8:32.0,Offensive rebound by M. Hezonja,,2-12,,
8:32.0,M. Hezonja misses 2-pt shot at rim,,2-12,,
8:31.0,Offensive rebound by M. Hezonja,,2-12,,
8:30.0,M. Hezonja makes 2-pt shot at rim,2,4-12,,
8:05.0,,,4-12,,Shooting foul by J. Isaac (drawn by T. Harris)
8:05.0,,,4-13,1,T. Harris makes free throw 1 of 2
8:05.0,,,4-13,,T. Harris misses free throw 2 of 2
8:02.0,Defensive rebound by N. Vucevic,,4-13,,
7:55.0,,,4-13,,Personal foul by D. Jordan (drawn by D. Augustin)
7:51.0,Turnover by N. Vucevic (bad pass; steal by S. Thornwell),,4-13,,
7:43.0,,,4-13,,A. Rivers misses 2-pt shot from 12 ft
7:42.0,,,4-13,,Offensive rebound by A. Rivers
7:40.0,,,4-15,2,A. Rivers makes 2-pt shot from 4 ft
7:16.0,J. Isaac makes 3-pt shot from 22 ft (assist by J. Simmons),3,7-15,,
7:05.0,,,7-17,2,L. Williams makes 2-pt shot from 2 ft
