time,Sacramento,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Koufos (C. Anthony gains possession),,,,Jump ball: S. Adams vs. K. Koufos (C. Anthony gains possession)
11:45.0,,,0-0,,P. George misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by Z. Randolph,,0-0,,
11:25.0,Z. Randolph misses 2-pt shot from 14 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by R. Westbrook
11:16.0,,,0-3,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook)
10:56.0,J. Jackson misses 3-pt shot from 26 ft,,0-3,,
10:54.0,,,0-3,,Defensive rebound by C. Anthony
10:47.0,,,0-6,3,C. Anthony makes 3-pt shot from 24 ft (assist by P. George)
10:26.0,Z. Randolph misses 2-pt shot from 14 ft,,0-6,,
10:24.0,,,0-6,,Defensive rebound by P. George
10:17.0,,,0-6,,P. George misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by Z. Randolph,,0-6,,
10:08.0,K. Koufos makes 2-pt shot at rim (assist by D. Fox),2,2-6,,
9:52.0,,,2-6,,C. Brewer misses 3-pt shot from 22 ft
9:48.0,Defensive rebound by K. Koufos,,2-6,,
9:41.0,Z. Randolph misses 2-pt shot at rim,,2-6,,
9:41.0,,,2-6,,Defensive rebound by C. Brewer
9:29.0,,,2-6,,P. George misses 2-pt shot from 16 ft
9:25.0,Defensive rebound by B. Bogdanovic,,2-6,,
9:17.0,D. Fox makes 3-pt shot from 26 ft,3,5-6,,
9:02.0,,,5-9,3,C. Anthony makes 3-pt shot from 24 ft
8:43.0,J. Jackson makes 2-pt shot from 1 ft (assist by D. Fox),2,7-9,,
8:34.0,Personal foul by D. Fox (drawn by S. Adams),,7-9,,
8:27.0,,,7-11,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:07.0,J. Jackson misses 3-pt shot from 23 ft,,7-11,,
8:04.0,,,7-11,,Defensive rebound by P. George
7:56.0,,,7-11,,C. Anthony misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Jackson,,7-11,,
7:44.0,,,7-11,,Def 3 sec tech foul by S. Adams
7:44.0,B. Bogdanovic misses technical free throw,,7-11,,
7:44.0,Offensive rebound by Team,,7-11,,
7:29.0,D. Fox misses 2-pt shot from 21 ft,,7-11,,
7:27.0,,,7-11,,Defensive rebound by C. Brewer
7:19.0,,,7-11,,R. Westbrook misses 2-pt shot from 14 ft
7:17.0,Defensive rebound by K. Koufos,,7-11,,
7:02.0,K. Koufos misses 2-pt shot from 6 ft,,7-11,,
7:00.0,,,7-11,,Defensive rebound by S. Adams
6:57.0,,,7-11,,Shooting foul by K. Koufos (drawn by P. George)
6:57.0,,,7-11,,Oklahoma City full timeout
6:57.0,,,7-12,1,P. George makes free throw 1 of 2
6:57.0,,,7-12,,P. George misses free throw 2 of 2
6:54.0,Defensive rebound by K. Koufos,,7-12,,
6:34.0,D. Fox misses 3-pt shot from 25 ft,,7-12,,
6:32.0,,,7-12,,Defensive rebound by Team
6:22.0,Personal foul by K. Koufos (drawn by C. Brewer),,7-12,,
