time,Oklahoma City,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. D. Johnson (D. Schroder gains possession),,,,Jump ball: D. Dedmon vs. D. Johnson (D. Schroder gains possession)
11:43.0,,,0-0,,Turnover by D. Dedmon (bad pass; steal by P. George)
11:39.0,P. George makes 3-pt shot from 25 ft,3,3-0,,
11:21.0,,,3-0,,T. Dorsey misses 3-pt shot from 22 ft (block by C. Brewer)
11:17.0,Defensive rebound by D. Johnson,,3-0,,
11:06.0,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook),2,5-0,,
10:52.0,Personal foul by C. Brewer (drawn by J. Collins),,5-0,,
10:37.0,,,5-2,2,D. Schroder makes 2-pt shot from 16 ft (assist by T. Dorsey)
10:31.0,,,5-2,,Shooting foul by D. Johnson (drawn by D. Schroder)
10:31.0,,,5-3,1,D. Schroder makes free throw 1 of 1
10:14.0,P. George makes 3-pt shot from 25 ft,3,8-3,,
9:59.0,,,8-3,,T. Waller-Prince misses 3-pt shot from 22 ft
9:55.0,Defensive rebound by R. Westbrook,,8-3,,
9:41.0,Turnover by P. George (bad pass; steal by T. Waller-Prince),,8-3,,
9:35.0,,,8-3,,T. Waller-Prince misses 2-pt shot from 1 ft
9:29.0,,,8-3,,Offensive rebound by J. Collins
9:29.0,,,8-5,2,J. Collins makes 2-pt shot at rim
9:28.0,P. George misses 2-pt shot from 2 ft (block by J. Collins),,8-5,,
9:24.0,,,8-5,,Defensive rebound by J. Collins
9:11.0,,,8-5,,D. Schroder misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by P. George,,8-5,,
9:05.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,11-5,,
8:47.0,,,11-7,2,J. Collins makes 2-pt shot from 11 ft (assist by D. Schroder)
8:38.0,C. Anthony misses 3-pt shot from 25 ft,,11-7,,
8:34.0,,,11-7,,Defensive rebound by J. Collins
8:23.0,,,11-9,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by J. Collins)
8:14.0,P. George misses 2-pt shot from 20 ft,,11-9,,
8:09.0,,,11-9,,Defensive rebound by T. Dorsey
7:50.0,,,11-9,,T. Dorsey misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by R. Westbrook,,11-9,,
7:43.0,,,11-9,,Personal foul by T. Dorsey (drawn by D. Johnson)
7:35.0,R. Westbrook misses 2-pt shot from 1 ft,,11-9,,
7:35.0,Offensive rebound by D. Johnson,,11-9,,
7:35.0,Shooting foul by T. Dorsey (drawn by D. Johnson),,11-9,,
7:35.0,D. Johnson misses free throw 1 of 2,,11-9,,
7:35.0,Offensive rebound by Team,,11-9,,
7:35.0,D. Johnson makes free throw 2 of 2,1,12-9,,
7:21.0,,,12-9,,Turnover by J. Collins (bad pass; steal by C. Brewer)
7:17.0,C. Brewer misses 2-pt shot from 8 ft,,12-9,,
7:15.0,Offensive rebound by Team,,12-9,,
7:12.0,Oklahoma City full timeout,,12-9,,
7:12.0,,,12-9,,I. Taylor enters the game for T. Dorsey
7:05.0,R. Westbrook makes 2-pt shot at rim,2,14-9,,
6:46.0,,,14-9,,D. Dedmon misses 3-pt shot from 24 ft
6:43.0,Defensive rebound by C. Anthony,,14-9,,
6:36.0,D. Johnson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,16-9,,
6:23.0,,,16-11,2,J. Collins makes 2-pt shot at rim (assist by D. Schroder)
6:08.0,P. George makes 2-pt shot from 18 ft (assist by R. Westbrook),2,18-11,,
5:48.0,,,18-13,2,J. Collins makes 2-pt shot at rim (assist by I. Taylor)
5:19.0,,,18-13,,M. Muscala enters the game for D. Dedmon
5:19.0,J. Grant enters the game for D. Johnson,,18-13,,
5:15.0,P. George makes 2-pt shot from 1 ft (assist by C. Brewer),2,20-13,,
5:03.0,,,20-13,,T. Waller-Prince misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by P. George,,20-13,,
4:57.0,,,20-13,,Personal foul by I. Taylor (drawn by R. Westbrook)
4:57.0,,,20-13,,T. Cavanaugh enters the game for J. Collins
4:53.0,C. Anthony misses 3-pt shot from 25 ft,,20-13,,
4:49.0,,,20-13,,Defensive rebound by T. Waller-Prince
4:40.0,,,20-13,,D. Schroder misses 2-pt shot from 1 ft (block by R. Westbrook)
4:40.0,,,20-13,,Offensive rebound by Team
4:35.0,,,20-16,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by I. Taylor)
4:21.0,C. Anthony makes 2-pt shot from 1 ft,2,22-16,,
4:21.0,Shooting foul by M. Muscala (drawn by C. Anthony),,22-16,,
4:21.0,C. Anthony makes free throw 1 of 1,1,23-16,,
4:11.0,,,23-18,2,M. Muscala makes 2-pt shot from 1 ft (assist by D. Schroder)
4:10.0,Oklahoma City full timeout,,23-18,,
3:47.0,P. George misses 3-pt shot from 24 ft,,23-18,,
3:42.0,Offensive rebound by R. Westbrook,,23-18,,
3:42.0,R. Westbrook makes 2-pt shot at rim,2,25-18,,
3:28.0,,,25-18,,D. Schroder misses 2-pt shot from 6 ft
3:24.0,,,25-18,,Offensive rebound by M. Muscala
3:24.0,,,25-18,,M. Muscala misses 2-pt shot at rim
3:24.0,,,25-18,,Offensive rebound by T. Cavanaugh
3:23.0,,,25-18,,T. Cavanaugh misses 2-pt shot at rim (block by C. Anthony)
3:23.0,,,25-18,,Offensive rebound by T. Cavanaugh
3:23.0,,,25-18,,T. Cavanaugh misses 2-pt shot at rim (block by C. Anthony)
3:23.0,Defensive rebound by J. Grant,,25-18,,
3:16.0,Turnover by R. Westbrook (bad pass; steal by I. Taylor),,25-18,,
3:16.0,Personal foul by R. Westbrook (drawn by I. Taylor),,25-18,,
3:16.0,,,25-18,,A. White enters the game for D. Schroder
2:56.0,,,25-18,,M. Muscala misses 3-pt shot from 23 ft
2:54.0,Defensive rebound by R. Westbrook,,25-18,,
2:49.0,R. Westbrook makes 2-pt shot from 1 ft,2,27-18,,
2:49.0,Shooting foul by I. Taylor (drawn by R. Westbrook),,27-18,,
2:49.0,P. Patterson enters the game for C. Anthony,,27-18,,
2:49.0,R. Westbrook misses free throw 1 of 1,,27-18,,
2:47.0,Offensive rebound by J. Grant,,27-18,,
2:42.0,Shooting foul by I. Taylor (drawn by C. Brewer),,27-18,,
2:42.0,C. Brewer makes free throw 1 of 2,1,28-18,,
2:42.0,R. Felton enters the game for R. Westbrook,,28-18,,
2:42.0,C. Brewer makes free throw 2 of 2,1,29-18,,
2:28.0,,,29-18,,I. Taylor misses 3-pt shot from 25 ft
2:23.0,,,29-18,,Offensive rebound by A. White
2:18.0,,,29-18,,Shooting foul by R. Felton (drawn by I. Taylor)
2:18.0,,,29-19,1,I. Taylor makes free throw 1 of 2
2:18.0,,,29-20,1,I. Taylor makes free throw 2 of 2
2:05.0,P. George misses 3-pt shot from 25 ft,,29-20,,
2:02.0,,,29-20,,Defensive rebound by A. White
1:53.0,,,29-23,3,A. White makes 3-pt shot from 25 ft (assist by T. Cavanaugh)
1:29.0,P. Patterson makes 2-pt shot from 10 ft (assist by C. Brewer),2,31-23,,
1:12.0,,,31-23,,A. White misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by P. George,,31-23,,
1:06.0,P. George misses technical free throw,,31-23,,
1:06.0,Offensive rebound by Team,,31-23,,
1:06.0,,,31-23,,D. Schroder enters the game for I. Taylor
1:06.0,T. Ferguson enters the game for C. Brewer,,31-23,,
0:56.0,P. George misses 2-pt shot from 1 ft,,31-23,,
0:53.0,,,31-23,,Defensive rebound by T. Waller-Prince
0:48.0,,,31-26,3,A. White makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
0:33.0,R. Felton misses 3-pt shot from 25 ft,,31-26,,
0:29.0,,,31-26,,Defensive rebound by D. Schroder
0:24.0,,,31-28,2,D. Schroder makes 2-pt shot from 1 ft
0:03.0,P. Patterson misses 3-pt shot from 25 ft,,31-28,,
0:00.0,,,31-28,,Defensive rebound by T. Cavanaugh
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,J. Grant makes 3-pt shot from 24 ft (assist by R. Felton),3,34-28,,
11:35.0,,,34-28,,Shooting foul by P. Patterson (drawn by M. Muscala)
11:35.0,,,34-29,1,M. Muscala makes free throw 1 of 2
11:35.0,,,34-30,1,M. Muscala makes free throw 2 of 2
11:22.0,,,34-30,,Def 3 sec tech foul by M. Muscala
11:22.0,R. Felton makes technical free throw,1,35-30,,
11:07.0,Turnover by Team (shot clock),,35-30,,
10:49.0,,,35-30,,Shooting foul by P. Patterson (drawn by D. Schroder)
10:49.0,,,35-30,,D. Schroder misses free throw 1 of 2
10:49.0,,,35-30,,Offensive rebound by Team
10:49.0,,,35-30,,T. Dorsey enters the game for T. Waller-Prince
10:49.0,A. Abrines enters the game for P. George,,35-30,,
10:49.0,,,35-31,1,D. Schroder makes free throw 2 of 2
10:38.0,J. Grant makes 2-pt shot at rim (assist by R. Felton),2,37-31,,
10:12.0,,,37-34,3,T. Dorsey makes 3-pt shot from 24 ft (assist by M. Muscala)
9:56.0,R. Felton misses 2-pt shot from 2 ft,,37-34,,
9:54.0,,,37-34,,Defensive rebound by M. Muscala
9:43.0,,,37-36,2,D. Schroder makes 2-pt shot from 1 ft (assist by M. Muscala)
9:43.0,,,37-36,,Shooting foul by J. Grant (drawn by D. Schroder)
9:43.0,,,37-36,,J. Collins enters the game for T. Cavanaugh
9:43.0,,,37-36,,D. Schroder misses free throw 1 of 1
9:40.0,Defensive rebound by P. Patterson,,37-36,,
9:25.0,P. Patterson makes 3-pt shot from 25 ft (assist by A. Abrines),3,40-36,,
9:04.0,,,40-38,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
8:45.0,R. Felton misses 2-pt shot from 20 ft,,40-38,,
8:41.0,,,40-38,,Defensive rebound by A. White
8:21.0,,,40-40,2,D. Schroder makes 2-pt shot from 1 ft
7:57.0,A. Abrines makes 3-pt shot from 25 ft (assist by T. Ferguson),3,43-40,,
7:39.0,,,43-40,,T. Dorsey misses 3-pt shot from 26 ft
7:38.0,,,43-40,,Offensive rebound by Team
7:38.0,Loose ball foul by P. Patterson (drawn by J. Collins),,43-40,,
7:38.0,,,43-40,,D. Lee enters the game for A. White
7:38.0,R. Westbrook enters the game for R. Felton,,43-40,,
7:27.0,,,43-40,,J. Collins misses 2-pt shot from 11 ft
7:24.0,Defensive rebound by R. Westbrook,,43-40,,
7:18.0,J. Grant misses 3-pt shot from 25 ft,,43-40,,
7:14.0,,,43-40,,Defensive rebound by M. Muscala
7:03.0,,,43-40,,J. Collins misses 2-pt shot from 3 ft (block by J. Grant)
7:02.0,,,43-40,,Offensive rebound by D. Schroder
7:02.0,,,43-40,,Shooting foul by J. Grant (drawn by D. Schroder)
7:02.0,,,43-41,1,D. Schroder makes free throw 1 of 2
7:02.0,,,43-41,,D. Dedmon enters the game for M. Muscala
7:02.0,C. Anthony enters the game for P. Patterson,,43-41,,
7:02.0,,,43-42,1,D. Schroder makes free throw 2 of 2
6:49.0,C. Anthony misses 2-pt shot from 13 ft,,43-42,,
6:45.0,,,43-42,,Defensive rebound by J. Collins
6:32.0,,,43-42,,D. Lee misses 2-pt shot from 2 ft
6:29.0,Defensive rebound by T. Ferguson,,43-42,,
6:23.0,,,43-42,,Personal foul by J. Collins (drawn by A. Abrines)
6:23.0,,,43-42,,Atlanta full timeout
6:23.0,,,43-42,,I. Taylor enters the game for D. Schroder
6:23.0,N. Collison enters the game for J. Grant,,43-42,,
6:13.0,A. Abrines misses 3-pt shot from 25 ft,,43-42,,
6:11.0,,,43-42,,Defensive rebound by Team
6:02.0,,,43-42,,Shooting foul by N. Collison (drawn by I. Taylor)
6:02.0,,,43-43,1,I. Taylor makes free throw 1 of 2
6:02.0,,,43-44,1,I. Taylor makes free throw 2 of 2
5:51.0,R. Westbrook misses 2-pt shot at rim,,43-44,,
5:48.0,,,43-44,,Defensive rebound by D. Dedmon
5:39.0,,,43-44,,Turnover by I. Taylor (bad pass; steal by A. Abrines)
5:30.0,N. Collison misses 2-pt shot from 1 ft,,43-44,,
5:27.0,,,43-44,,Defensive rebound by D. Lee
5:23.0,,,43-46,2,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Lee)
5:14.0,Turnover by N. Collison (traveling),,43-46,,
5:14.0,C. Brewer enters the game for A. Abrines,,43-46,,
5:14.0,P. George enters the game for T. Ferguson,,43-46,,
4:54.0,,,43-49,3,D. Lee makes 3-pt shot from 24 ft (assist by T. Dorsey)
4:28.0,R. Westbrook makes 2-pt shot from 17 ft,2,45-49,,
4:16.0,,,45-51,2,I. Taylor makes 2-pt shot from 3 ft
4:09.0,R. Westbrook makes 2-pt shot from 1 ft,2,47-51,,
4:08.0,,,47-51,,Atlanta full timeout
4:08.0,,,47-51,,T. Waller-Prince enters the game for T. Dorsey
3:52.0,,,47-51,,T. Waller-Prince misses 2-pt shot from 12 ft
3:49.0,Defensive rebound by P. George,,47-51,,
3:45.0,R. Westbrook misses 2-pt shot from 1 ft (block by T. Waller-Prince),,47-51,,
3:45.0,Offensive rebound by C. Brewer,,47-51,,
3:39.0,P. George misses 3-pt shot from 25 ft,,47-51,,
3:37.0,,,47-51,,Defensive rebound by D. Lee
3:37.0,,,47-51,,Shooting foul by P. George (drawn by I. Taylor)
3:37.0,,,47-52,1,I. Taylor makes free throw 1 of 2
3:37.0,J. Grant enters the game for N. Collison,,47-52,,
3:37.0,,,47-53,1,I. Taylor makes free throw 2 of 2
3:28.0,,,47-53,,Personal foul by D. Lee (drawn by P. George)
3:28.0,,,47-53,,D. Schroder enters the game for I. Taylor
3:21.0,C. Anthony misses 3-pt shot from 24 ft,,47-53,,
3:16.0,,,47-53,,Defensive rebound by J. Collins
3:12.0,Personal foul by C. Brewer (drawn by T. Waller-Prince),,47-53,,
3:12.0,,,47-54,1,T. Waller-Prince makes free throw 1 of 2
3:12.0,,,47-55,1,T. Waller-Prince makes free throw 2 of 2
3:01.0,R. Westbrook makes 2-pt shot from 1 ft,2,49-55,,
3:01.0,Shooting foul by J. Collins (drawn by R. Westbrook),,49-55,,
3:01.0,R. Westbrook makes free throw 1 of 1,1,50-55,,
2:50.0,,,50-55,,D. Lee misses 3-pt shot from 23 ft
2:48.0,Defensive rebound by C. Anthony,,50-55,,
2:45.0,Turnover by C. Anthony (bad pass; steal by D. Lee),,50-55,,
2:43.0,,,50-55,,Shooting foul by C. Anthony (drawn by D. Lee)
2:43.0,,,50-56,1,D. Lee makes free throw 1 of 2
2:43.0,,,50-57,1,D. Lee makes free throw 2 of 2
2:31.0,R. Westbrook misses 2-pt shot from 1 ft,,50-57,,
2:27.0,Offensive rebound by R. Westbrook,,50-57,,
2:27.0,R. Westbrook makes 2-pt shot at rim,2,52-57,,
2:14.0,,,52-60,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Lee)
1:58.0,Turnover by R. Westbrook (lost ball; steal by D. Dedmon),,52-60,,
1:54.0,,,52-60,,D. Dedmon misses 2-pt shot from 1 ft (block by C. Anthony)
1:54.0,,,52-60,,Offensive rebound by Team
1:45.0,,,52-62,2,T. Waller-Prince makes 2-pt shot from 4 ft
1:20.0,C. Anthony misses 2-pt shot from 13 ft,,52-62,,
1:17.0,,,52-62,,Defensive rebound by T. Waller-Prince
1:07.0,,,52-64,2,T. Waller-Prince makes 2-pt shot from 9 ft (assist by D. Schroder)
0:56.0,R. Westbrook misses 2-pt shot from 12 ft,,52-64,,
0:53.0,,,52-64,,Defensive rebound by J. Collins
0:41.0,,,52-64,,D. Schroder misses 2-pt shot from 12 ft
0:39.0,,,52-64,,Offensive rebound by J. Collins
0:37.0,,,52-64,,Turnover by J. Collins (bad pass; steal by C. Brewer)
0:33.0,R. Westbrook makes 2-pt shot from 1 ft (assist by C. Brewer),2,54-64,,
0:26.0,,,54-66,2,D. Schroder makes 2-pt shot from 8 ft
0:06.0,,,54-66,,Personal foul by D. Schroder (drawn by R. Westbrook)
0:06.0,,,54-66,,M. Muscala enters the game for J. Collins
0:06.0,,,54-66,,A. White enters the game for D. Schroder
0:01.0,J. Grant misses 3-pt shot from 22 ft,,54-66,,
0:01.0,Offensive rebound by Team,,54-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,C. Anthony misses 3-pt shot from 22 ft,,54-66,,
11:41.0,,,54-66,,Defensive rebound by T. Waller-Prince
11:18.0,,,54-66,,T. Waller-Prince misses 2-pt shot from 16 ft
11:16.0,Defensive rebound by R. Westbrook,,54-66,,
11:14.0,Shooting foul by D. Schroder (drawn by R. Westbrook),,54-66,,
11:14.0,R. Westbrook makes free throw 1 of 2,1,55-66,,
11:14.0,R. Westbrook makes free throw 2 of 2,1,56-66,,
11:00.0,,,56-66,,T. Waller-Prince misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by C. Brewer,,56-66,,
10:52.0,J. Grant makes 2-pt shot from 1 ft (assist by C. Brewer),2,58-66,,
10:33.0,,,58-66,,T. Dorsey misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by J. Grant,,58-66,,
10:24.0,C. Anthony makes 3-pt shot from 25 ft,3,61-66,,
10:22.0,,,61-66,,Atlanta full timeout
10:02.0,,,61-69,3,D. Dedmon makes 3-pt shot from 25 ft (assist by D. Schroder)
9:46.0,J. Grant makes 2-pt shot from 3 ft (assist by R. Westbrook),2,63-69,,
9:46.0,Shooting foul by J. Collins (drawn by J. Grant),,63-69,,
9:46.0,J. Grant makes free throw 1 of 1,1,64-69,,
9:34.0,,,64-69,,D. Schroder misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by Team,,64-69,,
9:23.0,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook),3,67-69,,
9:04.0,,,67-69,,D. Schroder misses 2-pt shot from 8 ft
9:01.0,Defensive rebound by C. Anthony,,67-69,,
9:00.0,Turnover by R. Westbrook (bad pass),,67-69,,
8:41.0,,,67-71,2,T. Waller-Prince makes 2-pt shot from 11 ft
8:26.0,R. Westbrook makes 2-pt shot from 15 ft,2,69-71,,
8:09.0,,,69-71,,T. Dorsey misses 2-pt shot from 20 ft
8:06.0,,,69-71,,Offensive rebound by D. Dedmon
8:03.0,,,69-71,,J. Collins misses 2-pt shot from 1 ft
8:03.0,,,69-71,,Offensive rebound by Team
8:03.0,,,69-71,,Turnover by J. Collins (traveling)
7:49.0,P. George misses 2-pt shot from 17 ft,,69-71,,
7:46.0,Offensive rebound by Team,,69-71,,
7:37.0,C. Anthony makes 3-pt shot from 24 ft (assist by P. George),3,72-71,,
7:10.0,,,72-71,,D. Schroder misses 2-pt shot from 11 ft
7:06.0,Defensive rebound by R. Westbrook,,72-71,,
7:02.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,75-71,,
7:00.0,,,75-71,,Atlanta full timeout
7:00.0,,,75-71,,I. Taylor enters the game for T. Dorsey
6:44.0,,,75-74,3,D. Schroder makes 3-pt shot from 23 ft (assist by T. Waller-Prince)
6:30.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,77-74,,
6:19.0,Personal foul by R. Westbrook (drawn by D. Schroder),,77-74,,
6:01.0,,,77-74,,J. Collins misses 2-pt shot from 1 ft (block by J. Grant)
5:57.0,Defensive rebound by C. Anthony,,77-74,,
5:51.0,C. Brewer makes 3-pt shot from 22 ft (assist by P. George),3,80-74,,
5:37.0,Personal foul by C. Brewer (drawn by J. Collins),,80-74,,
5:37.0,,,80-74,,M. Muscala enters the game for D. Dedmon
5:25.0,,,80-74,,D. Schroder misses 2-pt shot from 3 ft
5:24.0,Defensive rebound by Team,,80-74,,
5:24.0,,,80-74,,Loose ball foul by J. Collins (drawn by P. George)
5:11.0,C. Brewer misses 2-pt shot at rim,,80-74,,
5:08.0,,,80-74,,Defensive rebound by I. Taylor
5:06.0,,,80-74,,Turnover by I. Taylor (bad pass; steal by J. Grant)
5:01.0,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George),2,82-74,,
4:49.0,,,82-74,,Offensive foul by M. Muscala (drawn by C. Brewer)
4:49.0,,,82-74,,Turnover by M. Muscala (offensive foul)
4:49.0,,,82-74,,A. White enters the game for D. Schroder
4:49.0,,,82-74,,T. Cavanaugh enters the game for J. Collins
4:49.0,Oklahoma City full timeout,,82-74,,
4:49.0,T. Ferguson enters the game for P. George,,82-74,,
4:35.0,C. Brewer makes 2-pt shot from 21 ft (assist by R. Westbrook),2,84-74,,
4:16.0,,,84-76,2,T. Waller-Prince makes 2-pt shot from 19 ft
4:00.0,R. Westbrook makes 2-pt shot from 1 ft,2,86-76,,
3:42.0,,,86-79,3,A. White makes 3-pt shot from 24 ft (assist by I. Taylor)
