time,Minnesota,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Towns (O. Porter gains possession),,,,Jump ball: M. Gortat vs. K. Towns (O. Porter gains possession)
11:48.0,,,0-0,,O. Porter misses 2-pt shot from 22 ft
11:41.0,Defensive rebound by T. Gibson,,0-0,,
11:28.0,K. Towns makes 2-pt shot from 2 ft,2,2-0,,
11:08.0,,,2-3,3,T. Satoransky makes 3-pt shot from 25 ft (assist by O. Porter)
10:49.0,A. Wiggins misses 2-pt shot from 22 ft,,2-3,,
10:46.0,,,2-3,,Defensive rebound by B. Beal
10:33.0,,,2-3,,O. Porter misses 2-pt shot from 5 ft
10:30.0,Defensive rebound by N. Bjelica,,2-3,,
10:17.0,T. Gibson makes 2-pt shot from 1 ft (assist by N. Bjelica),2,4-3,,
10:00.0,,,4-5,2,M. Morris makes 2-pt shot from 12 ft (assist by B. Beal)
9:41.0,J. Teague makes 2-pt shot from 7 ft,2,6-5,,
9:18.0,,,6-7,2,T. Satoransky makes 2-pt shot from 19 ft (assist by M. Gortat)
9:03.0,N. Bjelica misses 2-pt shot from 7 ft,,6-7,,
8:57.0,Offensive rebound by N. Bjelica,,6-7,,
8:56.0,N. Bjelica misses 2-pt shot from 1 ft,,6-7,,
8:56.0,Offensive rebound by N. Bjelica,,6-7,,
8:50.0,N. Bjelica makes 2-pt shot at rim,2,8-7,,
8:42.0,,,8-9,2,B. Beal makes 2-pt shot at rim
8:27.0,K. Towns misses 2-pt shot from 18 ft,,8-9,,
8:22.0,,,8-9,,Defensive rebound by T. Satoransky
8:04.0,,,8-9,,Turnover by B. Beal (bad pass; steal by N. Bjelica)
7:48.0,T. Gibson misses 2-pt shot from 19 ft,,8-9,,
7:45.0,,,8-9,,Defensive rebound by T. Satoransky
7:38.0,,,8-11,2,M. Morris makes 2-pt shot from 4 ft (assist by T. Satoransky)
7:20.0,K. Towns makes 2-pt shot from 9 ft,2,10-11,,
7:00.0,,,10-11,,O. Porter misses 2-pt shot from 1 ft (block by A. Wiggins)
6:54.0,Defensive rebound by T. Gibson,,10-11,,
6:53.0,J. Teague misses 3-pt shot from 25 ft,,10-11,,
6:53.0,,,10-11,,Defensive rebound by M. Morris
6:40.0,,,10-14,3,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal)
6:25.0,,,10-14,,Washington full timeout
6:18.0,A. Wiggins misses 2-pt shot from 2 ft (block by O. Porter),,10-14,,
6:17.0,Offensive rebound by Team,,10-14,,
6:13.0,N. Bjelica misses 3-pt shot from 26 ft,,10-14,,
6:09.0,,,10-14,,Defensive rebound by B. Beal
5:57.0,,,10-14,,Turnover by B. Beal (bad pass; steal by K. Towns)
5:53.0,A. Wiggins makes 2-pt shot from 1 ft,2,12-14,,
5:36.0,,,12-14,,Shooting foul by T. Gibson (drawn by M. Gortat)
5:36.0,,,12-15,1,M. Gortat makes free throw 1 of 2
5:36.0,J. Crawford enters the game for N. Bjelica,,12-15,,
5:36.0,,,12-16,1,M. Gortat makes free throw 2 of 2
5:28.0,A. Wiggins makes 2-pt shot from 9 ft (assist by J. Teague),2,14-16,,
5:08.0,,,14-18,2,M. Morris makes 2-pt shot at rim (assist by T. Satoransky)
4:58.0,Turnover by J. Teague (bad pass),,14-18,,
4:51.0,,,14-20,2,B. Beal makes 2-pt shot from 18 ft
4:38.0,J. Crawford misses 2-pt shot from 19 ft,,14-20,,
4:34.0,Offensive rebound by K. Towns,,14-20,,
4:33.0,K. Towns makes 2-pt shot from 7 ft,2,16-20,,
4:20.0,,,16-22,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Morris)
3:56.0,K. Towns misses 2-pt shot from 11 ft (block by M. Gortat),,16-22,,
3:51.0,Offensive rebound by J. Teague,,16-22,,
3:50.0,J. Teague makes 2-pt shot from 22 ft,2,18-22,,
3:29.0,,,18-22,,T. Satoransky misses 2-pt shot from 7 ft (block by J. Teague)
3:29.0,Defensive rebound by T. Gibson,,18-22,,
3:27.0,,,18-22,,Personal foul by M. Morris (drawn by A. Wiggins)
3:27.0,,,18-22,,R. Sessions enters the game for O. Porter
3:27.0,,,18-22,,K. Oubre enters the game for T. Satoransky
3:27.0,G. Dieng enters the game for K. Towns,,18-22,,
3:17.0,T. Gibson makes 2-pt shot from 6 ft,2,20-22,,
2:58.0,,,20-22,,M. Morris misses 2-pt shot from 8 ft
2:53.0,,,20-22,,Offensive rebound by M. Gortat
2:52.0,,,20-22,,M. Gortat misses 2-pt shot from 3 ft
2:52.0,Defensive rebound by T. Gibson,,20-22,,
2:49.0,Offensive foul by T. Gibson (drawn by R. Sessions),,20-22,,
2:49.0,Turnover by T. Gibson (offensive foul),,20-22,,
2:49.0,Minnesota full timeout,,20-22,,
2:49.0,,,20-22,,I. Mahinmi enters the game for M. Gortat
2:49.0,N. Bjelica enters the game for J. Teague,,20-22,,
2:49.0,T. Jones enters the game for T. Gibson,,20-22,,
2:35.0,,,20-22,,M. Morris misses 2-pt shot from 3 ft (block by N. Bjelica)
2:28.0,Defensive rebound by T. Jones,,20-22,,
2:14.0,A. Wiggins misses 2-pt shot from 19 ft,,20-22,,
2:12.0,,,20-22,,Defensive rebound by Team
2:12.0,,,20-22,,J. Meeks enters the game for B. Beal
1:55.0,,,20-22,,K. Oubre misses 3-pt shot from 22 ft
1:49.0,,,20-22,,Offensive rebound by I. Mahinmi
1:44.0,,,20-24,2,K. Oubre makes 2-pt shot at rim (assist by J. Meeks)
1:26.0,N. Bjelica misses 3-pt shot from 27 ft,,20-24,,
1:22.0,,,20-24,,Defensive rebound by M. Morris
1:17.0,Personal foul by T. Jones (drawn by M. Morris),,20-24,,
1:17.0,D. Rose enters the game for A. Wiggins,,20-24,,
1:13.0,,,20-24,,J. Meeks misses 2-pt shot from 7 ft
1:09.0,Defensive rebound by N. Bjelica,,20-24,,
1:08.0,T. Jones makes 2-pt shot at rim (assist by N. Bjelica),2,22-24,,
1:08.0,Shooting foul by R. Sessions (drawn by T. Jones),,22-24,,
1:08.0,T. Jones makes free throw 1 of 1,1,23-24,,
1:08.0,,,23-24,,M. Scott enters the game for M. Morris
0:55.0,,,23-26,2,I. Mahinmi makes 2-pt shot from 7 ft (assist by M. Scott)
0:36.0,T. Jones makes 2-pt shot at rim (assist by G. Dieng),2,25-26,,
0:30.0,,,25-26,,M. Scott misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by D. Rose,,25-26,,
0:06.0,J. Crawford misses 3-pt shot from 27 ft,,25-26,,
0:06.0,,,25-26,,Defensive rebound by J. Meeks
0:01.0,,,25-26,,Turnover by J. Meeks (bad pass; steal by J. Crawford)
0:01.0,J. Crawford misses 3-pt shot from 53 ft,,25-26,,
0:01.0,Offensive rebound by Team,,25-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Crawford makes 2-pt shot from 1 ft,2,27-26,,
11:28.0,,,27-26,,K. Oubre misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by N. Bjelica,,27-26,,
11:12.0,Shooting foul by R. Sessions (drawn by G. Dieng),,27-26,,
11:12.0,G. Dieng makes free throw 1 of 2,1,28-26,,
11:12.0,G. Dieng makes free throw 2 of 2,1,29-26,,
11:02.0,,,29-26,,Turnover by K. Oubre (bad pass; steal by D. Rose)
10:58.0,T. Jones misses 2-pt shot at rim (block by I. Mahinmi),,29-26,,
10:54.0,Offensive rebound by G. Dieng,,29-26,,
10:52.0,J. Crawford makes 3-pt shot from 24 ft (assist by N. Bjelica),3,32-26,,
10:49.0,,,32-26,,Washington full timeout
10:31.0,,,32-29,3,J. Meeks makes 3-pt shot from 25 ft (assist by K. Oubre)
10:14.0,G. Dieng misses 2-pt shot from 1 ft,,32-29,,
10:10.0,,,32-29,,Defensive rebound by M. Scott
10:10.0,,,32-29,,Shooting foul by T. Jones (drawn by R. Sessions)
10:10.0,,,32-29,,R. Sessions misses free throw 1 of 2
10:10.0,,,32-29,,Offensive rebound by Team
10:10.0,K. Towns enters the game for G. Dieng,,32-29,,
10:10.0,,,32-30,1,R. Sessions makes free throw 2 of 2
9:58.0,J. Crawford makes 2-pt shot from 20 ft,2,34-30,,
9:39.0,,,34-32,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Scott)
9:15.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford),2,36-32,,
9:08.0,,,36-32,,R. Sessions misses 2-pt shot from 1 ft
9:05.0,Defensive rebound by T. Jones,,36-32,,
9:03.0,N. Bjelica misses 2-pt shot from 15 ft,,36-32,,
8:58.0,,,36-32,,Defensive rebound by I. Mahinmi
8:52.0,,,36-32,,Shooting foul by N. Bjelica (drawn by K. Oubre)
8:52.0,,,36-33,1,K. Oubre makes free throw 1 of 2
8:52.0,,,36-34,1,K. Oubre makes free throw 2 of 2
8:49.0,,,36-34,,Personal foul by I. Mahinmi (drawn by K. Towns)
8:38.0,K. Towns makes 2-pt shot from 5 ft,2,38-34,,
8:38.0,Shooting foul by I. Mahinmi (drawn by K. Towns),,38-34,,
8:38.0,K. Towns makes free throw 1 of 1,1,39-34,,
8:22.0,Personal foul by J. Crawford (drawn by K. Oubre),,39-34,,
8:10.0,,,39-34,,Shooting foul by N. Bjelica (drawn by M. Scott)
8:10.0,,,39-34,,M. Scott misses free throw 1 of 2
8:10.0,,,39-34,,Offensive rebound by Team
8:10.0,,,39-34,,M. Scott misses free throw 2 of 2
8:06.0,Defensive rebound by K. Towns,,39-34,,
7:56.0,Turnover by N. Bjelica (bad pass; steal by I. Mahinmi),,39-34,,
7:52.0,,,39-36,2,R. Sessions makes 2-pt shot at rim (assist by M. Scott)
7:45.0,N. Bjelica misses 3-pt shot from 23 ft,,39-36,,
7:45.0,,,39-36,,Defensive rebound by I. Mahinmi
7:37.0,,,39-36,,M. Scott misses 2-pt shot from 4 ft (block by K. Towns)
7:37.0,,,39-36,,Offensive rebound by I. Mahinmi
7:30.0,,,39-38,2,I. Mahinmi makes 2-pt shot from 1 ft
7:29.0,Minnesota full timeout,,39-38,,
7:29.0,,,39-38,,O. Porter enters the game for R. Sessions
7:29.0,,,39-38,,T. Satoransky enters the game for M. Scott
7:29.0,T. Gibson enters the game for T. Jones,,39-38,,
7:29.0,A. Wiggins enters the game for J. Crawford,,39-38,,
7:29.0,J. Teague enters the game for D. Rose,,39-38,,
7:18.0,K. Towns makes 2-pt shot from 16 ft (assist by N. Bjelica),2,41-38,,
6:58.0,,,41-38,,K. Oubre misses 2-pt shot from 3 ft
6:57.0,,,41-38,,I. Mahinmi misses 2-pt shot at rim
6:57.0,,,41-38,,Offensive rebound by I. Mahinmi
6:56.0,,,41-38,,Offensive rebound by O. Porter
6:51.0,,,41-40,2,O. Porter makes 2-pt shot from 2 ft
6:44.0,J. Teague misses 2-pt shot from 1 ft,,41-40,,
6:44.0,Offensive rebound by K. Towns,,41-40,,
6:38.0,K. Towns makes 2-pt shot at rim,2,43-40,,
6:23.0,,,43-40,,O. Porter misses 3-pt shot from 26 ft
6:16.0,,,43-40,,Offensive rebound by T. Satoransky
6:16.0,,,43-42,2,T. Satoransky makes 2-pt shot at rim
6:08.0,Turnover by T. Gibson (bad pass; steal by T. Satoransky),,43-42,,
6:02.0,,,43-42,,Turnover by O. Porter (lost ball; steal by J. Teague)
6:02.0,,,43-42,,Personal foul by T. Satoransky (drawn by J. Teague)
6:02.0,,,43-42,,B. Beal enters the game for J. Meeks
6:02.0,,,43-42,,M. Morris enters the game for K. Oubre
5:57.0,Turnover by A. Wiggins (bad pass; steal by I. Mahinmi),,43-42,,
