time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. M. Gortat (M. Morris gains possession),,,,Jump ball: A. Baynes vs. M. Gortat (M. Morris gains possession)
11:44.0,,,0-0,,Turnover by M. Morris (bad pass)
11:33.0,Turnover by B. Beal (bad pass; steal by M. Morris),,0-0,,
11:27.0,Personal foul by T. Satoransky (drawn by M. Morris),,0-0,,
11:15.0,,,0-0,,T. Rozier misses 2-pt shot from 19 ft
11:14.0,,,0-0,,Offensive rebound by A. Baynes
11:14.0,,,0-0,,A. Baynes misses 2-pt shot at rim
11:12.0,Defensive rebound by M. Gortat,,0-0,,
10:57.0,T. Satoransky makes 2-pt shot from 2 ft (assist by M. Gortat),2,2-0,,
10:43.0,,,2-2,2,J. Tatum makes 2-pt shot from 10 ft (assist by G. Yabusele)
10:31.0,M. Gortat misses 2-pt shot from 9 ft,,2-2,,
10:27.0,,,2-2,,Defensive rebound by T. Rozier
10:18.0,,,2-4,2,A. Baynes makes 2-pt shot from 8 ft (assist by T. Rozier)
9:58.0,Turnover by M. Morris (traveling),,2-4,,
9:41.0,,,2-4,,A. Baynes misses 2-pt shot from 13 ft
9:38.0,,,2-4,,Offensive rebound by G. Yabusele
9:31.0,,,2-7,3,M. Morris makes 3-pt shot from 22 ft (assist by J. Tatum)
9:06.0,B. Beal misses 3-pt shot from 26 ft,,2-7,,
9:04.0,,,2-7,,Defensive rebound by J. Tatum
8:57.0,,,2-9,2,J. Tatum makes 2-pt shot from 1 ft
8:57.0,Washington full timeout,,2-9,,
8:41.0,O. Porter makes 2-pt shot from 16 ft (assist by B. Beal),2,4-9,,
8:22.0,,,4-11,2,J. Tatum makes 2-pt shot at rim (assist by G. Yabusele)
8:10.0,M. Morris misses 2-pt shot from 2 ft (block by A. Baynes),,4-11,,
8:09.0,Offensive rebound by Team,,4-11,,
8:03.0,M. Gortat misses 2-pt shot from 14 ft,,4-11,,
7:59.0,,,4-11,,Defensive rebound by G. Yabusele
7:41.0,,,4-13,2,M. Morris makes 2-pt shot from 3 ft
7:23.0,T. Satoransky makes 2-pt shot from 16 ft (assist by B. Beal),2,6-13,,
