time,Charlotte,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. D. Howard (K. Walker gains possession),,,,Jump ball: D. Dedmon vs. D. Howard (K. Walker gains possession)
11:45.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,2-0,,
11:45.0,,,2-0,,Violation by D. Dedmon (def goaltending)
11:32.0,,,2-0,,D. Schroder misses 2-pt shot from 16 ft
11:29.0,Defensive rebound by D. Howard,,2-0,,
11:23.0,D. Howard makes 2-pt shot from 21 ft (assist by N. Batum),2,4-0,,
11:07.0,Personal foul by M. Kidd-Gilchrist (drawn by T. Waller-Prince),,4-0,,
10:55.0,,,4-0,,J. Collins misses 2-pt shot from 2 ft
10:53.0,Defensive rebound by Team,,4-0,,
10:37.0,N. Batum makes 2-pt shot from 5 ft (assist by K. Walker),2,6-0,,
10:27.0,,,6-2,2,D. Schroder makes 2-pt shot from 1 ft
10:12.0,,,6-2,,Violation by T. Waller-Prince (kicked ball)
9:57.0,M. Kidd-Gilchrist makes 2-pt shot from 12 ft (assist by K. Walker),2,8-2,,
9:47.0,,,8-5,3,T. Dorsey makes 3-pt shot from 26 ft (assist by D. Schroder)
9:33.0,N. Batum misses 3-pt shot from 26 ft,,8-5,,
9:31.0,,,8-5,,Defensive rebound by D. Dedmon
9:22.0,,,8-5,,D. Schroder misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by D. Howard,,8-5,,
9:14.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,11-5,,
8:51.0,,,11-5,,D. Schroder misses 2-pt shot from 10 ft
8:48.0,Defensive rebound by D. Howard,,11-5,,
8:45.0,K. Walker misses 3-pt shot from 24 ft,,11-5,,
8:41.0,,,11-5,,Defensive rebound by D. Dedmon
8:31.0,,,11-8,3,J. Collins makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
8:15.0,,,11-8,,Personal foul by T. Waller-Prince (drawn by N. Batum)
8:07.0,D. Howard makes 2-pt shot from 1 ft,2,13-8,,
8:07.0,Shooting foul by T. Dorsey (drawn by D. Howard),,13-8,,
8:07.0,D. Howard makes free throw 1 of 1,1,14-8,,
7:56.0,,,14-8,,D. Schroder misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by N. Batum,,14-8,,
7:48.0,Turnover by N. Batum (bad pass; steal by J. Collins),,14-8,,
7:46.0,,,14-8,,Turnover by J. Collins (bad pass)
7:34.0,D. Howard misses 2-pt shot from 4 ft,,14-8,,
7:33.0,,,14-8,,Defensive rebound by Team
7:33.0,Loose ball foul by D. Howard (drawn by D. Dedmon),,14-8,,
7:23.0,,,14-11,3,T. Dorsey makes 3-pt shot from 25 ft (assist by D. Schroder)
7:06.0,M. Williams misses 3-pt shot from 25 ft,,14-11,,
7:04.0,,,14-11,,Defensive rebound by D. Dedmon
6:55.0,,,14-11,,D. Schroder misses 2-pt shot from 16 ft
6:54.0,,,14-11,,Offensive rebound by Team
6:54.0,Loose ball foul by D. Howard (drawn by J. Collins),,14-11,,
6:54.0,,,14-11,,Atlanta full timeout
6:46.0,,,14-13,2,J. Collins makes 2-pt shot from 6 ft (assist by D. Schroder)
6:28.0,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by N. Batum),2,16-13,,
6:13.0,,,16-13,,D. Schroder misses 2-pt shot from 3 ft
6:10.0,Defensive rebound by M. Kidd-Gilchrist,,16-13,,
6:07.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,18-13,,
5:50.0,,,18-15,2,D. Schroder makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
5:30.0,,,18-15,,M. Muscala enters the game for D. Dedmon
5:30.0,,,18-15,,I. Taylor enters the game for T. Dorsey
5:25.0,D. Howard misses 2-pt shot from 16 ft,,18-15,,
5:22.0,Offensive rebound by N. Batum,,18-15,,
5:21.0,Turnover by M. Kidd-Gilchrist (out of bounds lost ball),,18-15,,
5:08.0,,,18-15,,J. Collins misses 2-pt shot from 14 ft
5:04.0,Defensive rebound by K. Walker,,18-15,,
4:58.0,Shooting foul by I. Taylor (drawn by M. Kidd-Gilchrist),,18-15,,
4:58.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,19-15,,
4:58.0,M. Kidd-Gilchrist misses free throw 2 of 2,,19-15,,
4:55.0,,,19-15,,Defensive rebound by J. Collins
4:49.0,,,19-15,,T. Waller-Prince misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by D. Howard,,19-15,,
4:36.0,Turnover by N. Batum (bad pass; steal by J. Collins),,19-15,,
4:33.0,,,19-15,,Shooting foul by K. Walker (drawn by J. Collins)
4:33.0,,,19-16,1,J. Collins makes free throw 1 of 2
4:33.0,,,19-16,,T. Cavanaugh enters the game for M. Muscala
4:33.0,,,19-17,1,J. Collins makes free throw 2 of 2
4:20.0,K. Walker misses 2-pt shot from 3 ft (block by T. Cavanaugh),,19-17,,
4:20.0,Offensive rebound by D. Howard,,19-17,,
4:20.0,D. Howard makes 2-pt shot from 1 ft,2,21-17,,
4:14.0,,,21-17,,I. Taylor misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by M. Kidd-Gilchrist,,21-17,,
4:02.0,,,21-17,,Personal block foul by T. Cavanaugh (drawn by N. Batum)
4:02.0,,,21-17,,M. Muscala enters the game for J. Collins
3:51.0,Shooting foul by M. Muscala (drawn by D. Howard),,21-17,,
3:51.0,D. Howard makes free throw 1 of 2,1,22-17,,
