time,Sacramento,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. S. Labissiere (J. Ingles gains possession),,,,Jump ball: R. Gobert vs. S. Labissiere (J. Ingles gains possession)
11:44.0,,,0-0,,R. Gobert misses 2-pt shot from 6 ft
11:40.0,,,0-0,,Offensive rebound by D. Favors
11:32.0,,,0-0,,Shooting foul by D. Fox (drawn by R. Rubio)
11:32.0,,,0-1,1,R. Rubio makes free throw 1 of 2
11:32.0,,,0-2,1,R. Rubio makes free throw 2 of 2
11:19.0,D. Fox misses 3-pt shot from 25 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by J. Ingles
11:02.0,,,0-2,,Turnover by R. Gobert (lost ball; steal by D. Fox)
10:54.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,2-2,,
10:54.0,Shooting foul by R. Rubio (drawn by W. Cauley-Stein),,2-2,,
10:54.0,W. Cauley-Stein makes free throw 1 of 1,1,3-2,,
10:36.0,,,3-2,,Turnover by D. Mitchell (lost ball; steal by D. Fox)
10:25.0,B. Bogdanovic makes 2-pt shot from 20 ft,2,5-2,,
10:11.0,,,5-2,,J. Ingles misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by B. Bogdanovic,,5-2,,
9:53.0,S. Labissiere makes 3-pt shot from 24 ft (assist by W. Cauley-Stein),3,8-2,,
9:34.0,,,8-5,3,J. Ingles makes 3-pt shot from 22 ft (assist by R. Rubio)
9:11.0,Shooting foul by R. Gobert (drawn by W. Cauley-Stein),,8-5,,
9:11.0,W. Cauley-Stein misses free throw 1 of 2,,8-5,,
9:11.0,Offensive rebound by Team,,8-5,,
9:11.0,W. Cauley-Stein makes free throw 2 of 2,1,9-5,,
8:56.0,,,9-7,2,R. Gobert makes 2-pt shot from 3 ft (assist by J. Ingles)
8:56.0,,,9-7,,Shooting foul by W. Cauley-Stein (drawn by R. Gobert)
8:56.0,,,9-8,1,R. Gobert makes free throw 1 of 1
8:43.0,B. Bogdanovic makes 2-pt shot from 13 ft,2,11-8,,
8:32.0,,,11-8,,D. Mitchell misses 3-pt shot from 27 ft
8:29.0,,,11-8,,Offensive rebound by J. Ingles
8:24.0,,,11-8,,Turnover by J. Ingles (bad pass; steal by W. Cauley-Stein)
8:18.0,D. Fox makes 2-pt shot from 1 ft (assist by J. Jackson),2,13-8,,
7:54.0,,,13-8,,D. Favors misses 2-pt shot from 19 ft
7:54.0,,,13-8,,Offensive rebound by Team
7:54.0,,,13-8,,Turnover by Team (shot clock)
7:54.0,K. Koufos enters the game for W. Cauley-Stein,,13-8,,
7:39.0,B. Bogdanovic makes 2-pt shot from 17 ft (assist by K. Koufos),2,15-8,,
7:31.0,,,15-8,,Utah full timeout
7:21.0,,,15-10,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
7:00.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Jackson),3,18-10,,
