time,Denver,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. N. Jokic (P. Millsap gains possession),,,,Jump ball: C. Felicio vs. N. Jokic (P. Millsap gains possession)
11:40.0,W. Chandler makes 3-pt shot from 24 ft (assist by N. Jokic),3,3-0,,
11:24.0,,,3-3,3,P. Zipser makes 3-pt shot from 26 ft (assist by C. Payne)
10:56.0,J. Murray makes 3-pt shot from 26 ft,3,6-3,,
10:49.0,,,6-6,3,C. Payne makes 3-pt shot from 25 ft
10:35.0,N. Jokic makes 2-pt shot at rim (assist by P. Millsap),2,8-6,,
10:19.0,,,8-6,,D. Valentine misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by P. Millsap,,8-6,,
10:06.0,,,8-6,,Personal foul by C. Payne (drawn by N. Jokic)
10:04.0,J. Murray misses 3-pt shot from 25 ft,,8-6,,
9:56.0,,,8-6,,Defensive rebound by C. Felicio
9:52.0,,,8-9,3,C. Payne makes 3-pt shot from 23 ft (assist by D. Valentine)
9:41.0,,,8-9,,Personal foul by P. Zipser (drawn by N. Jokic)
9:32.0,P. Millsap misses 2-pt shot from 20 ft,,8-9,,
9:28.0,Offensive rebound by N. Jokic,,8-9,,
9:26.0,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic),3,11-9,,
9:05.0,,,11-9,,C. Payne misses 2-pt shot at rim (block by W. Barton)
9:02.0,Defensive rebound by J. Murray,,11-9,,
8:58.0,Turnover by W. Chandler (lost ball; steal by D. Valentine),,11-9,,
8:50.0,,,11-9,,P. Zipser misses 2-pt shot from 22 ft
8:47.0,,,11-9,,Offensive rebound by D. Valentine
8:40.0,,,11-9,,Turnover by C. Payne (step out of bounds)
8:26.0,J. Murray misses 3-pt shot from 25 ft,,11-9,,
8:19.0,Offensive rebound by N. Jokic,,11-9,,
8:19.0,N. Jokic makes 2-pt shot at rim,2,13-9,,
8:03.0,,,13-11,2,C. Felicio makes 2-pt shot from 2 ft (assist by D. Valentine)
7:42.0,W. Barton makes 2-pt shot from 1 ft (assist by P. Millsap),2,15-11,,
7:33.0,,,15-14,3,P. Zipser makes 3-pt shot from 24 ft (assist by D. Valentine)
