time,New York,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. E. Kanter (J. Johnson gains possession),,,,Jump ball: B. Adebayo vs. E. Kanter (J. Johnson gains possession)
11:45.0,,,0-2,2,T. Johnson makes 2-pt shot from 21 ft (assist by J. Richardson)
11:25.0,M. Beasley makes 2-pt shot from 21 ft,2,2-2,,
11:15.0,,,2-2,,Turnover by T. Johnson (lost ball; steal by E. Mudiay)
11:11.0,E. Mudiay misses 2-pt shot at rim,,2-2,,
11:06.0,Offensive rebound by T. Hardaway,,2-2,,
10:58.0,C. Lee makes 2-pt shot from 12 ft,2,4-2,,
10:48.0,,,4-2,,Turnover by B. Adebayo (bad pass)
10:30.0,E. Kanter makes 2-pt shot from 8 ft,2,6-2,,
10:10.0,,,6-5,3,T. Johnson makes 3-pt shot from 22 ft (assist by J. Richardson)
9:56.0,C. Lee misses 2-pt shot from 8 ft,,6-5,,
9:52.0,,,6-5,,Defensive rebound by J. Johnson
9:49.0,,,6-5,,Turnover by G. Dragic (lost ball; steal by M. Beasley)
9:35.0,E. Mudiay misses 3-pt shot from 25 ft,,6-5,,
9:32.0,,,6-5,,Defensive rebound by T. Johnson
9:20.0,,,6-5,,G. Dragic misses 2-pt shot from 14 ft
9:16.0,Defensive rebound by E. Kanter,,6-5,,
9:00.0,E. Kanter misses 2-pt shot from 4 ft,,6-5,,
8:57.0,,,6-5,,Defensive rebound by B. Adebayo
8:46.0,,,6-7,2,J. Richardson makes 2-pt shot at rim (assist by G. Dragic)
8:29.0,M. Beasley makes 3-pt shot from 24 ft (assist by C. Lee),3,9-7,,
8:13.0,,,9-7,,J. Johnson misses 2-pt shot at rim
8:11.0,Defensive rebound by E. Kanter,,9-7,,
7:56.0,M. Beasley makes 3-pt shot from 25 ft (assist by E. Kanter),3,12-7,,
7:38.0,,,12-9,2,B. Adebayo makes 2-pt shot at rim (assist by G. Dragic)
7:22.0,E. Mudiay misses 2-pt shot from 11 ft,,12-9,,
