time,LA Clippers,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. D. Jordan (T. Harris gains possession),,,,Jump ball: M. Turner vs. D. Jordan (T. Harris gains possession)
11:44.0,W. Johnson makes 3-pt shot from 29 ft (assist by A. Rivers),3,3-0,,
11:22.0,,,3-3,3,T. Young makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
11:12.0,Turnover by M. Teodosic (lost ball; steal by D. Collison),,3-3,,
11:07.0,,,3-6,3,D. Collison makes 3-pt shot from 25 ft (assist by V. Oladipo)
10:47.0,A. Rivers misses 3-pt shot from 26 ft,,3-6,,
10:43.0,,,3-6,,Defensive rebound by T. Young
10:33.0,,,3-6,,M. Turner misses 2-pt shot from 18 ft
10:30.0,Defensive rebound by D. Jordan,,3-6,,
10:19.0,T. Harris misses 2-pt shot from 14 ft,,3-6,,
10:17.0,,,3-6,,Defensive rebound by V. Oladipo
9:59.0,,,3-6,,Turnover by M. Turner (turnover)
9:49.0,T. Harris makes 2-pt shot from 5 ft,2,5-6,,
9:49.0,,,5-6,,Violation by M. Turner (def goaltending)
9:30.0,,,5-8,2,T. Young makes 2-pt shot from 6 ft
9:16.0,D. Jordan makes 2-pt shot from 2 ft (assist by M. Teodosic),2,7-8,,
9:04.0,,,7-8,,V. Oladipo misses 2-pt shot from 19 ft
9:02.0,Defensive rebound by W. Johnson,,7-8,,
8:56.0,D. Jordan makes 2-pt shot from 5 ft (assist by A. Rivers),2,9-8,,
8:30.0,,,9-10,2,D. Collison makes 2-pt shot from 5 ft
8:18.0,M. Teodosic makes 3-pt shot from 27 ft,3,12-10,,
8:03.0,,,12-10,,B. Bogdanovic misses 2-pt shot from 14 ft
8:01.0,Defensive rebound by D. Jordan,,12-10,,
7:56.0,M. Teodosic misses 3-pt shot from 27 ft,,12-10,,
7:51.0,,,12-10,,Defensive rebound by T. Young
7:49.0,,,12-10,,D. Collison misses 2-pt shot from 17 ft
7:47.0,Defensive rebound by W. Johnson,,12-10,,
7:24.0,T. Harris makes 3-pt shot from 24 ft (assist by A. Rivers),3,15-10,,
7:14.0,,,15-10,,V. Oladipo misses 2-pt shot from 1 ft (block by W. Johnson)
7:14.0,,,15-10,,Offensive rebound by Team
