time,LA Lakers,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. B. Lopez (R. Bullock gains possession),,,,Jump ball: A. Drummond vs. B. Lopez (R. Bullock gains possession)
11:39.0,,,0-0,,R. Bullock misses 2-pt shot from 3 ft
11:34.0,,,0-0,,Offensive rebound by A. Drummond
11:34.0,,,0-2,2,A. Drummond makes 2-pt shot at rim
11:23.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by R. Bullock
11:01.0,,,0-4,2,R. Jackson makes 2-pt shot from 5 ft
10:48.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,0-4,,
10:44.0,,,0-4,,Defensive rebound by A. Drummond
10:30.0,,,0-4,,R. Jackson misses 3-pt shot from 22 ft
10:27.0,Defensive rebound by K. Kuzma,,0-4,,
10:17.0,J. Randle makes 2-pt shot from 1 ft (assist by K. Kuzma),2,2-4,,
10:00.0,,,2-4,,R. Jackson misses 2-pt shot from 9 ft
9:58.0,Defensive rebound by K. Caldwell-Pope,,2-4,,
9:54.0,K. Kuzma misses 3-pt shot from 23 ft,,2-4,,
9:49.0,Offensive rebound by L. Ball,,2-4,,
9:49.0,,,2-4,,Personal foul by R. Jackson (drawn by K. Kuzma)
9:42.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,2-4,,
9:40.0,,,2-4,,Defensive rebound by R. Jackson
9:35.0,,,2-6,2,S. Johnson makes 2-pt shot from 18 ft
9:16.0,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by B. Lopez),2,4-6,,
8:55.0,,,4-6,,A. Drummond misses 2-pt shot from 12 ft
8:52.0,,,4-6,,Offensive rebound by S. Johnson
8:50.0,,,4-9,3,R. Bullock makes 3-pt shot from 26 ft (assist by S. Johnson)
8:34.0,K. Kuzma makes 2-pt shot from 10 ft (assist by B. Lopez),2,6-9,,
8:25.0,,,6-11,2,R. Jackson makes 2-pt shot from 1 ft
8:07.0,,,6-11,,Personal foul by S. Johnson (drawn by J. Randle)
8:05.0,B. Lopez misses 3-pt shot from 26 ft,,6-11,,
8:00.0,,,6-11,,Defensive rebound by B. Griffin
7:56.0,,,6-11,,A. Drummond misses 2-pt shot from 2 ft
7:56.0,,,6-11,,Offensive rebound by Team
7:52.0,,,6-13,2,S. Johnson makes 2-pt shot from 13 ft
7:35.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by B. Lopez),3,9-13,,
7:27.0,,,9-13,,A. Drummond misses 2-pt shot from 1 ft (block by B. Lopez)
7:24.0,Defensive rebound by J. Randle,,9-13,,
7:20.0,,,9-13,,Personal foul by R. Jackson (drawn by J. Randle)
7:20.0,LA Lakers full timeout,,9-13,,
7:20.0,,,9-13,,I. Smith enters the game for R. Jackson
7:13.0,B. Lopez makes 2-pt shot from 3 ft (assist by L. Ball),2,11-13,,
6:55.0,,,11-13,,Offensive foul by B. Griffin (drawn by K. Kuzma)
6:55.0,,,11-13,,Turnover by B. Griffin (offensive foul)
6:42.0,J. Randle misses 2-pt shot from 17 ft,,11-13,,
6:40.0,Offensive rebound by J. Randle,,11-13,,
6:39.0,Offensive foul by J. Randle (drawn by B. Griffin),,11-13,,
6:39.0,Turnover by J. Randle (offensive foul),,11-13,,
6:23.0,,,11-13,,B. Griffin misses 2-pt shot from 18 ft
6:23.0,,,11-13,,Offensive rebound by Team
6:23.0,Loose ball foul by J. Randle (drawn by A. Drummond),,11-13,,
6:10.0,,,11-15,2,B. Griffin makes 2-pt shot from 1 ft
5:52.0,J. Randle misses 2-pt shot from 15 ft,,11-15,,
5:51.0,,,11-15,,Defensive rebound by A. Drummond
5:44.0,,,11-15,,I. Smith misses 2-pt shot from 15 ft
5:41.0,Defensive rebound by K. Caldwell-Pope,,11-15,,
5:33.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by L. Ball),3,14-15,,
5:19.0,,,14-15,,R. Bullock misses 2-pt shot from 13 ft
5:18.0,Defensive rebound by K. Kuzma,,14-15,,
5:08.0,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball),2,16-15,,
5:00.0,,,16-15,,Detroit full timeout
5:00.0,,,16-15,,A. Tolliver enters the game for A. Drummond
5:00.0,,,16-15,,J. Ennis enters the game for S. Johnson
5:00.0,I. Zubac enters the game for J. Randle,,16-15,,
5:00.0,T. Wear enters the game for B. Lopez,,16-15,,
4:39.0,,,16-15,,I. Smith misses 2-pt shot from 5 ft
4:37.0,Defensive rebound by I. Zubac,,16-15,,
4:32.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,16-15,,
4:28.0,,,16-15,,Defensive rebound by B. Griffin
4:24.0,,,16-17,2,B. Griffin makes 2-pt shot from 4 ft
4:24.0,,,16-17,,Shooting foul by I. Zubac (drawn by B. Griffin)
4:24.0,,,16-17,,B. Griffin misses free throw 1 of 1
4:24.0,Defensive rebound by T. Wear,,16-17,,
4:10.0,K. Kuzma misses 2-pt shot from 16 ft,,16-17,,
4:02.0,Offensive rebound by I. Zubac,,16-17,,
4:02.0,I. Zubac misses 2-pt shot at rim,,16-17,,
4:02.0,,,16-17,,Defensive rebound by A. Tolliver
3:57.0,,,16-17,,B. Griffin misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by K. Kuzma,,16-17,,
3:48.0,,,16-17,,Personal foul by B. Griffin (drawn by I. Zubac)
3:48.0,,,16-17,,A. Drummond enters the game for B. Griffin
3:48.0,T. Ennis enters the game for L. Ball,,16-17,,
3:41.0,I. Zubac misses 2-pt shot from 2 ft (block by R. Bullock),,16-17,,
3:38.0,,,16-17,,Defensive rebound by R. Bullock
3:24.0,,,16-17,,A. Drummond misses 2-pt shot from 4 ft (block by I. Zubac)
3:22.0,Defensive rebound by I. Zubac,,16-17,,
3:18.0,I. Zubac makes 2-pt shot at rim (assist by T. Ennis),2,18-17,,
3:03.0,,,18-17,,R. Bullock misses 2-pt shot from 4 ft
3:01.0,Defensive rebound by K. Caldwell-Pope,,18-17,,
2:56.0,K. Kuzma makes 2-pt shot from 6 ft (assist by K. Caldwell-Pope),2,20-17,,
2:46.0,,,20-17,,Shooting foul by K. Kuzma (drawn by A. Tolliver)
2:46.0,,,20-18,1,A. Tolliver makes free throw 1 of 2
2:46.0,,,20-19,1,A. Tolliver makes free throw 2 of 2
2:32.0,I. Zubac misses 2-pt shot from 7 ft,,20-19,,
2:30.0,,,20-19,,Defensive rebound by A. Drummond
2:20.0,,,20-22,3,I. Smith makes 3-pt shot from 25 ft (assist by A. Tolliver)
2:13.0,Shooting foul by I. Smith (drawn by I. Zubac),,20-22,,
2:13.0,I. Zubac misses free throw 1 of 2,,20-22,,
2:13.0,Offensive rebound by Team,,20-22,,
2:13.0,,,20-22,,L. Kennard enters the game for R. Bullock
2:13.0,L. Ball enters the game for K. Caldwell-Pope,,20-22,,
2:13.0,I. Zubac makes free throw 2 of 2,1,21-22,,
1:57.0,,,21-24,2,I. Smith makes 2-pt shot from 2 ft
1:44.0,L. Ball makes 2-pt shot from 9 ft (assist by I. Zubac),2,23-24,,
1:30.0,,,23-24,,Turnover by A. Drummond (bad pass; steal by L. Ball)
1:28.0,L. Ball makes 2-pt shot at rim,2,25-24,,
1:09.0,,,25-26,2,A. Drummond makes 2-pt shot from 1 ft
0:56.0,K. Kuzma makes 2-pt shot from 17 ft (assist by T. Ennis),2,27-26,,
0:50.0,,,27-26,,A. Tolliver misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by K. Kuzma,,27-26,,
0:42.0,K. Kuzma misses 3-pt shot from 25 ft,,27-26,,
0:40.0,Offensive rebound by T. Ennis,,27-26,,
0:40.0,,,27-26,,Personal foul by I. Smith (drawn by I. Zubac)
0:40.0,I. Zubac makes free throw 1 of 2,1,28-26,,
0:40.0,,,28-26,,E. Moreland enters the game for A. Drummond
0:40.0,K. Caldwell-Pope enters the game for K. Kuzma,,28-26,,
0:40.0,I. Zubac makes free throw 2 of 2,1,29-26,,
0:29.0,,,29-26,,L. Kennard misses 3-pt shot from 25 ft
0:26.0,,,29-26,,Offensive rebound by E. Moreland
0:12.0,Personal foul by T. Ennis (drawn by I. Smith),,29-26,,
0:02.0,,,29-26,,I. Smith misses 2-pt shot from 15 ft
0:02.0,Defensive rebound by L. Ball,,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,C. Frye makes 2-pt shot from 1 ft (assist by L. Ball),2,31-26,,
11:46.0,,,31-26,,Violation by E. Moreland (def goaltending)
11:27.0,,,31-26,,R. Jackson misses 2-pt shot from 18 ft
11:24.0,,,31-26,,Offensive rebound by R. Jackson
