time,Cleveland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Mickey vs. J. Green (J. Calderon gains possession),,,,Jump ball: J. Mickey vs. J. Green (J. Calderon gains possession)
11:49.0,Turnover by J. Calderon (turnover),,0-0,,
11:36.0,,,0-2,2,T. Johnson makes 2-pt shot from 21 ft (assist by J. Johnson)
11:16.0,L. James makes 2-pt shot from 1 ft,2,2-2,,
10:54.0,,,2-2,,G. Dragic misses 2-pt shot from 12 ft
10:51.0,Defensive rebound by G. Hill,,2-2,,
10:44.0,J. Calderon misses 3-pt shot from 23 ft,,2-2,,
10:42.0,,,2-2,,Defensive rebound by T. Johnson
10:38.0,Shooting block foul by K. Love (drawn by J. Mickey),,2-2,,
10:38.0,L. Nance enters the game for K. Love,,2-2,,
10:38.0,,,2-3,1,J. Mickey makes free throw 1 of 2
10:38.0,,,2-3,,J. Mickey misses free throw 2 of 2
10:34.0,Defensive rebound by J. Green,,2-3,,
10:17.0,L. James misses 2-pt shot at rim (block by J. Johnson),,2-3,,
10:17.0,,,2-3,,Defensive rebound by Team
10:08.0,,,2-3,,Turnover by G. Dragic (bad pass; steal by G. Hill)
10:01.0,Shooting foul by J. Richardson (drawn by L. James),,2-3,,
10:01.0,L. James makes free throw 1 of 2,1,3-3,,
10:01.0,L. James makes free throw 2 of 2,1,4-3,,
9:52.0,,,4-5,2,J. Johnson makes 2-pt shot from 1 ft
9:25.0,J. Green makes 2-pt shot from 8 ft,2,6-5,,
9:18.0,,,6-8,3,J. Richardson makes 3-pt shot from 25 ft
9:04.0,J. Calderon makes 2-pt shot from 1 ft,2,8-8,,
9:04.0,,,8-8,,Violation by J. Mickey (def goaltending)
8:52.0,,,8-10,2,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson)
8:31.0,Turnover by J. Green (lost ball; steal by J. Richardson),,8-10,,
8:26.0,,,8-12,2,J. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic)
8:26.0,Cleveland full timeout,,8-12,,
8:05.0,J. Green misses 2-pt shot from 8 ft (block by J. Richardson),,8-12,,
8:05.0,Offensive rebound by Team,,8-12,,
8:00.0,J. Calderon makes 2-pt shot from 14 ft (assist by L. Nance),2,10-12,,
7:49.0,Personal foul by G. Hill (drawn by J. Johnson),,10-12,,
7:34.0,,,10-12,,Turnover by Team (shot clock)
7:17.0,Turnover by J. Calderon (bad pass),,10-12,,
6:56.0,,,10-12,,J. Richardson misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by L. Nance,,10-12,,
6:38.0,L. James misses 2-pt shot from 4 ft,,10-12,,
6:37.0,Offensive rebound by L. James,,10-12,,
6:34.0,L. James misses 2-pt shot from 6 ft,,10-12,,
6:32.0,,,10-12,,Defensive rebound by J. Johnson
6:27.0,,,10-12,,Turnover by J. Richardson (bad pass; steal by J. Calderon)
6:23.0,J. Calderon misses 2-pt shot from 1 ft (block by J. Johnson),,10-12,,
6:23.0,Offensive rebound by Team,,10-12,,
6:23.0,,,10-12,,J. Winslow enters the game for J. Richardson
6:13.0,G. Hill misses 3-pt shot from 25 ft,,10-12,,
6:10.0,,,10-12,,Defensive rebound by J. Winslow
6:06.0,J. Clarkson enters the game for J. Calderon,,10-12,,
6:02.0,Jump ball: J. Winslow vs. L. Nance (G. Dragic gains possession),,,,Jump ball: J. Winslow vs. L. Nance (G. Dragic gains possession)
5:56.0,,,10-14,2,J. Mickey makes 2-pt shot from 1 ft (assist by G. Dragic)
5:46.0,,,10-14,,Violation by J. Mickey (kicked ball)
5:34.0,Turnover by L. James (bad pass; steal by J. Mickey),,10-14,,
5:21.0,,,10-14,,G. Dragic misses 3-pt shot from 25 ft
5:19.0,,,10-14,,Offensive rebound by J. Winslow
5:19.0,,,10-14,,Turnover by J. Winslow (out of bounds lost ball)
5:19.0,R. Hood enters the game for J. Green,,10-14,,
5:01.0,R. Hood misses 2-pt shot from 9 ft,,10-14,,
5:00.0,,,10-14,,Defensive rebound by J. Mickey
4:43.0,,,10-17,3,T. Johnson makes 3-pt shot from 26 ft (assist by J. Johnson)
4:31.0,J. Clarkson makes 2-pt shot from 18 ft (assist by L. James),2,12-17,,
4:16.0,,,12-17,,T. Johnson misses 3-pt shot from 26 ft
4:14.0,Defensive rebound by L. Nance,,12-17,,
4:03.0,J. Clarkson misses 2-pt shot from 1 ft,,12-17,,
4:02.0,Offensive rebound by L. Nance,,12-17,,
4:00.0,L. Nance misses 2-pt shot at rim,,12-17,,
3:59.0,,,12-17,,Defensive rebound by J. Johnson
3:46.0,,,12-17,,T. Johnson misses 3-pt shot from 26 ft
3:46.0,,,12-17,,Offensive rebound by Team
3:45.0,Loose ball foul by G. Hill (drawn by J. Winslow),,12-17,,
3:45.0,,,12-17,,K. Olynyk enters the game for G. Dragic
3:45.0,,,12-17,,D. Wade enters the game for J. Mickey
3:45.0,J. Smith enters the game for G. Hill,,12-17,,
3:37.0,,,12-17,,D. Wade misses 2-pt shot from 18 ft
3:35.0,Defensive rebound by L. Nance,,12-17,,
3:31.0,Turnover by L. James (lost ball; steal by J. Johnson),,12-17,,
3:24.0,,,12-17,,J. Winslow misses 2-pt shot from 2 ft (block by L. Nance)
3:24.0,Defensive rebound by Team,,12-17,,
3:00.0,J. Smith misses 2-pt shot from 10 ft,,12-17,,
2:59.0,,,12-17,,Defensive rebound by K. Olynyk
2:54.0,,,12-17,,Shooting foul by R. Hood (drawn by J. Winslow)
2:54.0,,,12-17,,Miami full timeout
2:54.0,,,12-18,1,J. Winslow makes free throw 1 of 2
2:54.0,,,12-19,1,J. Winslow makes free throw 2 of 2
2:39.0,L. Nance makes 2-pt shot from 1 ft (assist by L. James),2,14-19,,
2:15.0,,,14-19,,Turnover by D. Wade (traveling)
2:15.0,,,14-19,,W. Ellington enters the game for T. Johnson
2:02.0,R. Hood misses 3-pt shot from 26 ft,,14-19,,
2:01.0,,,14-19,,Defensive rebound by J. Winslow
1:56.0,,,14-19,,J. Winslow misses 2-pt shot from 3 ft
1:53.0,Defensive rebound by L. James,,14-19,,
1:47.0,L. James makes 2-pt shot from 4 ft,2,16-19,,
1:39.0,,,16-22,3,W. Ellington makes 3-pt shot from 23 ft (assist by D. Wade)
1:23.0,J. Clarkson misses 2-pt shot from 8 ft (block by D. Wade),,16-22,,
1:19.0,,,16-22,,Defensive rebound by D. Wade
1:16.0,,,16-24,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Winslow)
0:59.0,Turnover by L. James (bad pass; steal by J. Winslow),,16-24,,
0:55.0,,,16-27,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Winslow)
0:35.0,R. Hood makes 2-pt shot from 10 ft,2,18-27,,
0:23.0,Shooting block foul by L. Nance (drawn by D. Wade),,18-27,,
0:23.0,,,18-28,1,D. Wade makes free throw 1 of 2
0:23.0,,,18-29,1,D. Wade makes free throw 2 of 2
