time,Detroit,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. O'Quinn vs. A. Drummond (T. Burke gains possession),,,,Jump ball: K. O'Quinn vs. A. Drummond (T. Burke gains possession)
11:39.0,,,0-2,2,M. Beasley makes 2-pt shot from 20 ft (assist by T. Hardaway)
11:14.0,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson),3,3-2,,
11:00.0,,,3-5,3,T. Burke makes 3-pt shot from 26 ft (assist by T. Hardaway)
10:41.0,A. Drummond misses 2-pt shot from 15 ft,,3-5,,
10:39.0,,,3-5,,Defensive rebound by K. O'Quinn
10:31.0,,,3-5,,T. Burke misses 2-pt shot from 1 ft
10:29.0,,,3-5,,Offensive rebound by Team
10:25.0,,,3-5,,K. O'Quinn misses 2-pt shot from 18 ft
10:23.0,Defensive rebound by A. Drummond,,3-5,,
10:10.0,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson),3,6-5,,
9:48.0,,,6-5,,T. Burke misses 2-pt shot from 18 ft
9:46.0,Defensive rebound by A. Tolliver,,6-5,,
9:35.0,S. Johnson misses 3-pt shot from 22 ft,,6-5,,
9:34.0,A. Drummond misses 2-pt shot at rim,,6-5,,
9:34.0,Offensive rebound by A. Drummond,,6-5,,
9:33.0,Offensive rebound by A. Drummond,,6-5,,
9:33.0,A. Drummond misses 2-pt shot at rim,,6-5,,
9:31.0,Offensive rebound by A. Drummond,,6-5,,
9:27.0,A. Drummond makes 2-pt shot at rim,2,8-5,,
9:12.0,,,8-7,2,M. Beasley makes 2-pt shot from 12 ft (assist by T. Burke)
8:52.0,R. Bullock makes 2-pt shot from 18 ft (assist by A. Drummond),2,10-7,,
8:35.0,,,10-10,3,T. Williams makes 3-pt shot from 25 ft (assist by M. Beasley)
8:05.0,R. Jackson makes 2-pt shot from 11 ft,2,12-10,,
7:51.0,,,12-10,,L. Thomas enters the game for M. Beasley
7:47.0,Personal foul by S. Johnson (drawn by T. Hardaway),,12-10,,
7:39.0,,,12-12,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by T. Burke)
7:24.0,R. Bullock misses 2-pt shot from 1 ft,,12-12,,
7:23.0,Offensive rebound by Team,,12-12,,
7:19.0,S. Johnson makes 2-pt shot from 1 ft (assist by R. Jackson),2,14-12,,
7:11.0,,,14-14,2,T. Hardaway makes 2-pt shot from 12 ft
7:11.0,,,14-14,,Shooting foul by R. Bullock (drawn by T. Hardaway)
7:11.0,,,14-15,1,T. Hardaway makes free throw 1 of 1
6:47.0,R. Jackson makes 2-pt shot from 8 ft,2,16-15,,
6:29.0,,,16-15,,T. Hardaway misses 2-pt shot from 17 ft
6:27.0,Defensive rebound by R. Bullock,,16-15,,
6:16.0,R. Bullock misses 3-pt shot from 27 ft,,16-15,,
6:14.0,,,16-15,,Defensive rebound by T. Burke
6:08.0,,,16-15,,T. Hardaway misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by A. Drummond,,16-15,,
5:47.0,A. Tolliver misses 3-pt shot from 22 ft,,16-15,,
5:45.0,Offensive rebound by R. Bullock,,16-15,,
5:42.0,R. Bullock makes 2-pt shot from 13 ft (assist by A. Tolliver),2,18-15,,
5:33.0,,,18-15,,New York full timeout
5:33.0,,,18-15,,D. Dotson enters the game for T. Williams
5:33.0,,,18-15,,E. Mudiay enters the game for T. Burke
5:33.0,I. Smith enters the game for S. Johnson,,18-15,,
5:33.0,J. Ennis enters the game for R. Jackson,,18-15,,
5:19.0,,,18-15,,Turnover by E. Mudiay (step out of bounds)
5:07.0,A. Tolliver makes 2-pt shot from 17 ft (assist by I. Smith),2,20-15,,
4:41.0,,,20-17,2,D. Dotson makes 2-pt shot from 14 ft
4:22.0,I. Smith makes 2-pt shot from 19 ft,2,22-17,,
4:09.0,,,22-17,,Turnover by D. Dotson (bad pass; steal by R. Bullock)
4:03.0,R. Bullock makes 2-pt shot from 2 ft,2,24-17,,
4:00.0,,,24-17,,Offensive charge foul by T. Hardaway (drawn by A. Tolliver)
4:00.0,,,24-17,,Turnover by T. Hardaway (offensive foul)
4:00.0,H. Ellenson enters the game for A. Tolliver,,24-17,,
3:48.0,R. Bullock misses 2-pt shot from 13 ft,,24-17,,
3:46.0,,,24-17,,Defensive rebound by K. O'Quinn
3:36.0,,,24-19,2,E. Mudiay makes 2-pt shot from 9 ft
3:23.0,,,24-19,,Personal foul by L. Thomas (drawn by R. Bullock)
3:23.0,,,24-19,,L. Kornet enters the game for K. O'Quinn
3:22.0,Turnover by R. Bullock (bad pass),,24-19,,
3:08.0,,,24-19,,E. Mudiay misses 2-pt shot from 2 ft (block by A. Drummond)
3:07.0,,,24-19,,Offensive rebound by Team
3:05.0,,,24-21,2,T. Hardaway makes 2-pt shot from 14 ft (assist by E. Mudiay)
2:45.0,J. Ennis misses 2-pt shot from 18 ft,,24-21,,
2:43.0,,,24-21,,Defensive rebound by D. Dotson
2:38.0,,,24-21,,Turnover by T. Hardaway (lost ball; steal by R. Bullock)
2:34.0,,,24-21,,Personal foul by D. Dotson (drawn by I. Smith)
2:34.0,Detroit full timeout,,24-21,,
2:26.0,Turnover by A. Drummond (out of bounds lost ball),,24-21,,
2:13.0,,,24-21,,L. Kornet misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by R. Bullock,,24-21,,
1:57.0,I. Smith makes 2-pt shot from 12 ft,2,26-21,,
1:29.0,,,26-21,,T. Hardaway misses 2-pt shot from 1 ft
1:27.0,Defensive rebound by A. Drummond,,26-21,,
1:23.0,J. Ennis makes 2-pt shot from 1 ft (assist by I. Smith),2,28-21,,
1:05.0,,,28-24,3,L. Thomas makes 3-pt shot from 25 ft (assist by L. Kornet)
0:51.0,R. Bullock misses 2-pt shot from 16 ft,,28-24,,
0:49.0,,,28-24,,Defensive rebound by L. Kornet
0:42.0,,,28-27,3,T. Hardaway makes 3-pt shot from 25 ft (assist by L. Kornet)
0:25.0,A. Drummond makes 2-pt shot from 2 ft (assist by R. Bullock),2,30-27,,
