time,Utah,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. R. Gobert (T. Gibson gains possession),,,,Jump ball: K. Towns vs. R. Gobert (T. Gibson gains possession)
11:46.0,,,0-2,2,A. Wiggins makes 2-pt shot from 8 ft
11:25.0,R. Rubio makes 2-pt shot from 18 ft,2,2-2,,
11:04.0,,,2-5,3,A. Wiggins makes 3-pt shot from 26 ft (assist by K. Towns)
10:38.0,R. Rubio misses 2-pt shot from 19 ft,,2-5,,
10:37.0,,,2-5,,Defensive rebound by Team
10:25.0,,,2-7,2,T. Jones makes 2-pt shot from 2 ft (assist by T. Gibson)
10:09.0,J. Ingles misses 3-pt shot from 24 ft,,2-7,,
10:05.0,,,2-7,,Defensive rebound by A. Wiggins
9:59.0,,,2-9,2,A. Wiggins makes 2-pt shot at rim
9:59.0,Utah full timeout,,2-9,,
9:45.0,D. Favors misses 3-pt shot from 23 ft,,2-9,,
9:41.0,,,2-9,,Defensive rebound by N. Bjelica
9:25.0,,,2-9,,A. Wiggins misses 2-pt shot from 17 ft
9:21.0,Defensive rebound by R. Rubio,,2-9,,
9:13.0,D. Mitchell makes 3-pt shot from 27 ft (assist by R. Rubio),3,5-9,,
8:56.0,,,5-9,,N. Bjelica misses 2-pt shot from 3 ft (block by D. Favors)
8:53.0,,,5-9,,Offensive rebound by N. Bjelica
8:52.0,,,5-9,,T. Jones misses 3-pt shot from 26 ft
8:51.0,Defensive rebound by R. Rubio,,5-9,,
8:45.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,7-9,,
8:45.0,,,7-9,,Minnesota full timeout
8:31.0,,,7-9,,A. Wiggins misses 2-pt shot from 6 ft
8:26.0,,,7-9,,Offensive rebound by A. Wiggins
8:26.0,,,7-11,2,A. Wiggins makes 2-pt shot at rim
8:15.0,Turnover by R. Gobert (bad pass; steal by A. Wiggins),,7-11,,
8:06.0,,,7-13,2,T. Gibson makes 2-pt shot from 3 ft (assist by A. Wiggins)
7:47.0,Turnover by R. Gobert (bad pass; steal by T. Jones),,7-13,,
7:40.0,,,7-13,,Turnover by K. Towns (bad pass; steal by D. Mitchell)
7:37.0,D. Favors makes 2-pt shot from 5 ft (assist by D. Mitchell),2,9-13,,
7:37.0,Shooting foul by K. Towns (drawn by D. Favors),,9-13,,
7:37.0,D. Favors misses free throw 1 of 1,,9-13,,
7:37.0,,,9-13,,Defensive rebound by T. Gibson
7:21.0,,,9-13,,A. Wiggins misses 2-pt shot from 12 ft
7:17.0,Defensive rebound by D. Mitchell,,9-13,,
7:07.0,R. Rubio makes 2-pt shot from 8 ft,2,11-13,,
6:46.0,,,11-13,,N. Bjelica misses 2-pt shot from 5 ft
6:43.0,Defensive rebound by R. Gobert,,11-13,,
6:37.0,D. Mitchell misses 2-pt shot at rim,,11-13,,
6:35.0,,,11-13,,Defensive rebound by T. Gibson
