time,Portland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. J. Nurkic (E. Turner gains possession),,,,Jump ball: D. Powell vs. J. Nurkic (E. Turner gains possession)
11:38.0,Turnover by J. Nurkic (lost ball; steal by D. Nowitzki),,0-0,,
11:33.0,,,0-2,2,D. Smith makes 2-pt shot from 19 ft
11:16.0,E. Turner misses 2-pt shot from 17 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by D. Nowitzki
11:00.0,,,0-2,,D. Nowitzki misses 3-pt shot from 25 ft
10:56.0,,,0-2,,Offensive rebound by D. Powell
10:45.0,,,0-2,,D. Nowitzki misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by D. Lillard,,0-2,,
10:33.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,2-2,,
10:18.0,,,2-2,,Turnover by H. Barnes (bad pass; steal by C. McCollum)
10:06.0,C. McCollum misses 2-pt shot from 8 ft,,2-2,,
10:03.0,Offensive rebound by J. Nurkic,,2-2,,
10:01.0,C. McCollum misses 3-pt shot from 25 ft,,2-2,,
9:59.0,,,2-2,,Defensive rebound by J. Barea
9:53.0,,,2-2,,D. Smith misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by E. Turner,,2-2,,
9:44.0,D. Lillard misses 2-pt shot from 16 ft,,2-2,,
9:41.0,,,2-2,,Defensive rebound by D. Smith
9:32.0,,,2-2,,J. Barea misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by J. Nurkic,,2-2,,
9:22.0,D. Lillard misses 3-pt shot from 26 ft,,2-2,,
9:19.0,,,2-2,,Defensive rebound by D. Smith
9:10.0,,,2-5,3,D. Powell makes 3-pt shot from 24 ft (assist by D. Smith)
8:47.0,A. Aminu misses 3-pt shot from 24 ft,,2-5,,
8:44.0,,,2-5,,Defensive rebound by D. Powell
8:38.0,Personal foul by E. Turner (drawn by D. Powell),,2-5,,
8:24.0,,,2-5,,D. Nowitzki misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by C. McCollum,,2-5,,
8:14.0,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum),3,5-5,,
7:56.0,,,5-5,,Turnover by J. Barea (bad pass; steal by A. Aminu)
7:47.0,A. Aminu misses 3-pt shot from 24 ft,,5-5,,
7:44.0,,,5-5,,Defensive rebound by D. Smith
7:38.0,,,5-7,2,J. Barea makes 2-pt shot at rim
7:18.0,J. Nurkic makes 2-pt shot from 22 ft (assist by A. Aminu),2,7-7,,
7:02.0,,,7-7,,D. Powell misses 2-pt shot from 2 ft (block by J. Nurkic)
7:02.0,Defensive rebound by A. Aminu,,7-7,,
6:47.0,J. Nurkic makes 2-pt shot at rim,2,9-7,,
6:46.0,,,9-7,,Dallas full timeout
6:30.0,,,9-9,2,H. Barnes makes 2-pt shot from 9 ft (assist by D. Nowitzki)
6:12.0,Turnover by J. Nurkic (bad pass; steal by D. Powell),,9-9,,
6:08.0,,,9-12,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Powell)
5:52.0,,,9-12,,Shooting block foul by J. Barea (drawn by D. Lillard)
5:52.0,D. Lillard makes free throw 1 of 2,1,10-12,,
5:52.0,D. Lillard makes free throw 2 of 2,1,11-12,,
5:42.0,Personal foul by E. Turner (drawn by H. Barnes),,11-12,,
5:42.0,P. Connaughton enters the game for E. Turner,,11-12,,
5:34.0,,,11-12,,D. Powell misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by D. Lillard,,11-12,,
5:26.0,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard),3,14-12,,
5:06.0,,,14-15,3,J. Barea makes 3-pt shot from 27 ft (assist by D. Smith)
4:50.0,D. Lillard makes 2-pt shot from 20 ft,2,16-15,,
4:40.0,,,16-15,,D. Nowitzki misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by J. Nurkic,,16-15,,
4:34.0,,,16-15,,Personal take foul by D. Nowitzki (drawn by D. Lillard)
4:34.0,,,16-15,,M. Kleber enters the game for D. Nowitzki
