time,Boston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. A. Baynes (O. Anunoby gains possession),,,,Jump ball: J. Valanciunas vs. A. Baynes (O. Anunoby gains possession)
11:38.0,,,0-0,,D. DeRozan misses 2-pt shot from 21 ft
11:36.0,Defensive rebound by J. Tatum,,0-0,,
11:21.0,A. Horford misses 2-pt shot from 12 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by K. Lowry
11:10.0,,,0-0,,S. Ibaka misses 3-pt shot from 26 ft
11:06.0,,,0-0,,Offensive rebound by J. Valanciunas
11:00.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 6 ft
10:45.0,J. Brown misses 2-pt shot from 14 ft (block by D. DeRozan),,0-2,,
10:42.0,,,0-2,,Defensive rebound by D. DeRozan
10:35.0,,,0-2,,J. Valanciunas misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by J. Tatum,,0-2,,
10:16.0,T. Rozier makes 2-pt shot from 4 ft (assist by J. Tatum),2,2-2,,
9:49.0,,,2-2,,Turnover by Team (shot clock)
9:31.0,A. Baynes misses 2-pt shot from 2 ft (block by S. Ibaka),,2-2,,
9:31.0,Offensive rebound by Team,,2-2,,
9:26.0,J. Tatum misses 2-pt shot from 17 ft,,2-2,,
9:23.0,,,2-2,,Defensive rebound by S. Ibaka
9:13.0,,,2-2,,J. Valanciunas misses 2-pt shot from 13 ft
9:10.0,Defensive rebound by A. Horford,,2-2,,
9:07.0,,,2-2,,Personal foul by K. Lowry (drawn by A. Horford)
8:59.0,,,2-2,,Personal foul by O. Anunoby (drawn by A. Horford)
8:49.0,Shooting foul by O. Anunoby (drawn by A. Horford),,2-2,,
8:49.0,A. Horford makes free throw 1 of 2,1,3-2,,
8:49.0,A. Horford makes free throw 2 of 2,1,4-2,,
8:40.0,,,4-2,,D. DeRozan misses 2-pt shot from 18 ft
8:37.0,Defensive rebound by T. Rozier,,4-2,,
8:26.0,T. Rozier misses 2-pt shot from 19 ft,,4-2,,
8:22.0,Offensive rebound by T. Rozier,,4-2,,
8:21.0,Turnover by T. Rozier (bad pass; steal by D. DeRozan),,4-2,,
8:09.0,,,4-5,3,D. DeRozan makes 3-pt shot from 23 ft
7:52.0,J. Brown makes 3-pt shot from 23 ft (assist by J. Tatum),3,7-5,,
7:36.0,,,7-5,,K. Lowry misses 3-pt shot from 28 ft
7:33.0,,,7-5,,Offensive rebound by J. Valanciunas
7:27.0,,,7-5,,J. Valanciunas misses 2-pt shot from 2 ft
7:25.0,Defensive rebound by J. Tatum,,7-5,,
7:20.0,J. Tatum makes 2-pt shot from 1 ft,2,9-5,,
6:56.0,,,9-7,2,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Lowry)
6:37.0,J. Tatum misses 2-pt shot from 2 ft,,9-7,,
6:35.0,,,9-7,,Defensive rebound by O. Anunoby
6:31.0,Personal foul by J. Brown (drawn by J. Valanciunas),,9-7,,
6:31.0,,,9-7,,Toronto full timeout
6:31.0,,,9-7,,N. Powell enters the game for O. Anunoby
6:31.0,S. Ojeleye enters the game for J. Tatum,,9-7,,
6:31.0,M. Morris enters the game for A. Horford,,9-7,,
6:20.0,,,9-9,2,J. Valanciunas makes 2-pt shot from 7 ft (assist by K. Lowry)
6:03.0,J. Brown makes 2-pt shot from 4 ft (assist by T. Rozier),2,11-9,,
5:44.0,,,11-12,3,K. Lowry makes 3-pt shot from 25 ft (assist by S. Ibaka)
5:26.0,J. Brown misses 3-pt shot from 26 ft,,11-12,,
5:23.0,,,11-12,,Defensive rebound by K. Lowry
5:16.0,,,11-12,,J. Valanciunas misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by T. Rozier,,11-12,,
5:07.0,T. Rozier misses 2-pt shot from 18 ft,,11-12,,
5:05.0,,,11-12,,Defensive rebound by N. Powell
4:52.0,,,11-12,,S. Ibaka misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by T. Rozier,,11-12,,
4:39.0,A. Baynes misses 2-pt shot from 5 ft,,11-12,,
4:37.0,,,11-12,,Defensive rebound by J. Valanciunas
4:28.0,,,11-12,,S. Ibaka misses 2-pt shot from 5 ft
4:25.0,,,11-12,,Offensive rebound by K. Lowry
4:23.0,,,11-12,,K. Lowry misses 2-pt shot at rim
4:20.0,Defensive rebound by A. Baynes,,11-12,,
4:11.0,M. Morris makes 2-pt shot from 21 ft,2,13-12,,
3:50.0,,,13-12,,J. Valanciunas misses 2-pt shot from 4 ft
3:47.0,Defensive rebound by J. Brown,,13-12,,
3:46.0,Offensive charge foul by J. Brown (drawn by K. Lowry),,13-12,,
