time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. C. Felicio (T. Rozier gains possession),,,,Jump ball: A. Baynes vs. C. Felicio (T. Rozier gains possession)
11:46.0,,,0-0,,Turnover by A. Baynes (bad pass; steal by J. Holiday)
11:43.0,Turnover by J. Holiday (bad pass),,0-0,,
11:30.0,,,0-2,2,M. Morris makes 2-pt shot from 8 ft
11:14.0,L. Markkanen makes 3-pt shot from 27 ft (assist by C. Payne),3,3-2,,
10:59.0,,,3-2,,T. Rozier misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by D. Nwaba,,3-2,,
10:51.0,Shooting foul by J. Brown (drawn by C. Felicio),,3-2,,
10:51.0,C. Felicio makes free throw 1 of 2,1,4-2,,
10:51.0,C. Felicio makes free throw 2 of 2,1,5-2,,
10:28.0,,,5-4,2,J. Brown makes 2-pt shot from 14 ft
10:10.0,D. Nwaba makes 2-pt shot from 9 ft (assist by C. Payne),2,7-4,,
10:00.0,,,7-4,,J. Brown misses 3-pt shot from 24 ft
9:57.0,,,7-4,,Offensive rebound by A. Baynes
9:55.0,,,7-7,3,J. Brown makes 3-pt shot from 24 ft (assist by A. Baynes)
9:34.0,J. Holiday makes 3-pt shot from 24 ft (assist by C. Felicio),3,10-7,,
9:22.0,,,10-7,,Turnover by T. Rozier (bad pass; steal by C. Felicio)
9:20.0,Turnover by C. Felicio (out of bounds lost ball),,10-7,,
9:08.0,,,10-7,,M. Morris misses 3-pt shot from 22 ft
9:04.0,Defensive rebound by C. Felicio,,10-7,,
8:49.0,C. Payne makes 3-pt shot from 27 ft (assist by J. Holiday),3,13-7,,
8:32.0,,,13-9,2,A. Baynes makes 2-pt shot at rim (assist by M. Morris)
8:20.0,L. Markkanen misses 2-pt shot from 5 ft,,13-9,,
8:16.0,,,13-9,,Defensive rebound by A. Baynes
8:08.0,,,13-9,,A. Baynes misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by C. Felicio,,13-9,,
7:59.0,C. Payne misses 2-pt shot from 8 ft,,13-9,,
7:56.0,Offensive rebound by C. Payne,,13-9,,
7:55.0,C. Payne makes 2-pt shot from 8 ft,2,15-9,,
7:37.0,,,15-11,2,J. Brown makes 2-pt shot from 2 ft (assist by M. Morris)
7:23.0,D. Nwaba misses 2-pt shot from 12 ft,,15-11,,
7:21.0,,,15-11,,Defensive rebound by A. Baynes
7:16.0,,,15-13,2,J. Brown makes 2-pt shot from 6 ft
7:09.0,Turnover by C. Payne (bad pass; steal by A. Baynes),,15-13,,
7:02.0,,,15-15,2,J. Brown makes 2-pt shot from 1 ft (assist by T. Rozier)
7:02.0,,,15-15,,Shooting foul by D. Nwaba (drawn by J. Brown)
7:02.0,,,15-16,1,J. Brown makes free throw 1 of 1
6:47.0,C. Felicio misses 2-pt shot from 2 ft (block by G. Yabusele),,15-16,,
6:43.0,,,15-16,,Defensive rebound by G. Yabusele
6:37.0,,,15-16,,Turnover by T. Rozier (bad pass; steal by D. Nwaba)
6:28.0,L. Markkanen misses 3-pt shot from 27 ft,,15-16,,
6:25.0,,,15-16,,Defensive rebound by T. Rozier
6:23.0,,,15-16,,Turnover by J. Brown (discontinued dribble)
6:23.0,,,15-16,,Boston full timeout
6:12.0,L. Markkanen makes 3-pt shot from 26 ft (assist by D. Nwaba),3,18-16,,
5:56.0,Personal foul by L. Markkanen (drawn by T. Rozier),,18-16,,
5:45.0,,,18-19,3,G. Yabusele makes 3-pt shot from 22 ft (assist by J. Brown)
5:36.0,D. Nwaba misses 2-pt shot from 3 ft (block by G. Yabusele),,18-19,,
5:35.0,,,18-19,,Defensive rebound by A. Baynes
5:35.0,Personal foul by L. Markkanen (drawn by A. Baynes),,18-19,,
5:34.0,,,18-19,,G. Monroe enters the game for A. Baynes
5:34.0,B. Portis enters the game for L. Markkanen,,18-19,,
5:19.0,,,18-21,2,M. Morris makes 2-pt shot from 17 ft
4:50.0,D. Nwaba misses 2-pt shot from 4 ft,,18-21,,
4:48.0,Offensive rebound by D. Nwaba,,18-21,,
4:47.0,D. Nwaba misses 2-pt shot from 1 ft,,18-21,,
4:41.0,Offensive rebound by C. Felicio,,18-21,,
4:41.0,C. Felicio makes 2-pt shot at rim,2,20-21,,
4:28.0,,,20-21,,T. Rozier misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by C. Felicio,,20-21,,
4:14.0,J. Holiday makes 2-pt shot from 1 ft (assist by C. Payne),2,22-21,,
4:02.0,,,22-23,2,T. Rozier makes 2-pt shot from 22 ft (assist by G. Monroe)
3:56.0,,,22-23,,J. Bird enters the game for J. Brown
3:56.0,S. Kilpatrick enters the game for D. Nwaba,,22-23,,
3:56.0,R. Arcidiacono enters the game for C. Payne,,22-23,,
3:53.0,B. Portis misses 2-pt shot from 21 ft,,22-23,,
3:48.0,,,22-23,,Defensive rebound by G. Yabusele
3:40.0,,,22-25,2,G. Monroe makes 2-pt shot from 14 ft
3:22.0,Shooting foul by G. Monroe (drawn by S. Kilpatrick),,22-25,,
3:22.0,S. Kilpatrick makes free throw 1 of 2,1,23-25,,
3:22.0,O. Asik enters the game for C. Felicio,,23-25,,
3:22.0,S. Kilpatrick makes free throw 2 of 2,1,24-25,,
3:00.0,,,24-27,2,G. Monroe makes 2-pt shot from 2 ft (assist by T. Rozier)
