time,Portland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: A. Davis vs. J. Nurkic (D. Lillard gains possession)
11:34.0,E. Turner makes 2-pt shot from 2 ft,2,2-0,,
11:09.0,,,2-2,2,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo)
11:09.0,,,2-2,,Shooting foul by C. McCollum (drawn by E. Moore)
11:09.0,,,2-3,1,E. Moore makes free throw 1 of 1
10:55.0,C. McCollum makes 2-pt shot from 16 ft (assist by E. Turner),2,4-3,,
10:37.0,,,4-3,,A. Davis misses 2-pt shot from 17 ft
10:34.0,Defensive rebound by D. Lillard,,4-3,,
10:29.0,D. Lillard makes 2-pt shot from 9 ft,2,6-3,,
10:22.0,,,6-3,,E. Moore misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by A. Aminu,,6-3,,
10:06.0,E. Turner misses 2-pt shot from 12 ft,,6-3,,
10:04.0,Offensive rebound by Team,,6-3,,
10:04.0,,,6-3,,Loose ball foul by A. Davis (drawn by J. Nurkic)
9:57.0,C. McCollum makes 3-pt shot from 26 ft,3,9-3,,
9:48.0,,,9-3,,Shooting foul by D. Lillard (drawn by J. Holiday)
9:48.0,,,9-3,,J. Holiday misses free throw 1 of 2
9:48.0,,,9-3,,Offensive rebound by Team
9:48.0,,,9-4,1,J. Holiday makes free throw 2 of 2
9:36.0,J. Nurkic misses 2-pt shot from 3 ft,,9-4,,
9:34.0,,,9-4,,Defensive rebound by N. Mirotic
9:20.0,,,9-6,2,R. Rondo makes 2-pt shot from 1 ft (assist by J. Holiday)
9:02.0,C. McCollum misses 2-pt shot from 19 ft,,9-6,,
8:59.0,,,9-6,,Defensive rebound by A. Davis
8:56.0,,,9-6,,J. Holiday misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by J. Nurkic,,9-6,,
8:41.0,E. Turner misses 2-pt shot from 7 ft,,9-6,,
8:37.0,,,9-6,,Defensive rebound by N. Mirotic
8:32.0,Personal foul by J. Nurkic (drawn by A. Davis),,9-6,,
8:26.0,Personal foul by D. Lillard (drawn by R. Rondo),,9-6,,
8:23.0,,,9-6,,Offensive charge foul by R. Rondo (drawn by D. Lillard)
8:23.0,,,9-6,,Turnover by R. Rondo (offensive foul)
8:13.0,D. Lillard misses 3-pt shot from 28 ft,,9-6,,
8:09.0,,,9-6,,Defensive rebound by E. Moore
7:53.0,,,9-9,3,E. Moore makes 3-pt shot from 25 ft (assist by J. Holiday)
7:39.0,Shooting foul by N. Mirotic (drawn by C. McCollum),,9-9,,
7:39.0,C. McCollum makes free throw 1 of 2,1,10-9,,
7:39.0,C. McCollum makes free throw 2 of 2,1,11-9,,
7:26.0,,,11-11,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
7:26.0,,,11-11,,Shooting foul by A. Aminu (drawn by A. Davis)
7:26.0,,,11-12,1,A. Davis makes free throw 1 of 1
7:14.0,A. Aminu makes 3-pt shot from 24 ft (assist by E. Turner),3,14-12,,
7:02.0,,,14-14,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
6:47.0,A. Aminu makes 2-pt shot at rim,2,16-14,,
6:36.0,,,16-14,,Turnover by J. Holiday (bad pass)
6:36.0,,,16-14,,New Orleans full timeout
6:16.0,A. Aminu misses 2-pt shot from 9 ft,,16-14,,
6:14.0,Offensive rebound by A. Aminu,,16-14,,
6:12.0,A. Aminu misses 2-pt shot from 21 ft,,16-14,,
6:07.0,Offensive rebound by J. Nurkic,,16-14,,
6:00.0,E. Turner misses 2-pt shot from 12 ft,,16-14,,
5:56.0,,,16-14,,Defensive rebound by N. Mirotic
5:51.0,,,16-16,2,J. Holiday makes 2-pt shot from 3 ft (assist by R. Rondo)
5:33.0,C. McCollum misses 2-pt shot from 3 ft,,16-16,,
5:31.0,,,16-16,,Defensive rebound by E. Moore
5:28.0,,,16-18,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo)
5:28.0,Portland full timeout,,16-18,,
5:28.0,,,16-18,,I. Clark enters the game for R. Rondo
5:28.0,W. Baldwin enters the game for C. McCollum,,16-18,,
5:06.0,D. Lillard misses 2-pt shot from 15 ft,,16-18,,
5:02.0,,,16-18,,Defensive rebound by E. Moore
5:00.0,,,16-18,,I. Clark misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by A. Aminu,,16-18,,
4:48.0,A. Aminu makes 3-pt shot from 26 ft (assist by D. Lillard),3,19-18,,
4:30.0,,,19-18,,Turnover by A. Davis (lost ball; steal by J. Nurkic)
4:19.0,E. Turner makes 2-pt shot from 1 ft,2,21-18,,
4:06.0,,,21-18,,Offensive foul by E. Moore (drawn by J. Nurkic)
4:06.0,,,21-18,,Turnover by E. Moore (offensive foul)
4:06.0,P. Connaughton enters the game for E. Turner,,21-18,,
3:51.0,Turnover by D. Lillard (bad pass; steal by E. Moore),,21-18,,
3:51.0,,,21-18,,Shooting foul by J. Nurkic (drawn by A. Davis)
3:51.0,,,21-19,1,A. Davis makes free throw 1 of 2
3:51.0,,,21-19,,D. Miller enters the game for E. Moore
3:51.0,E. Davis enters the game for A. Aminu,,21-19,,
3:51.0,Z. Collins enters the game for J. Nurkic,,21-19,,
3:51.0,,,21-20,1,A. Davis makes free throw 2 of 2
3:27.0,W. Baldwin misses 2-pt shot from 2 ft,,21-20,,
3:22.0,,,21-20,,Defensive rebound by N. Mirotic
3:20.0,,,21-20,,I. Clark misses 3-pt shot from 23 ft
