time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (M. Morris gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (M. Morris gains possession)
11:47.0,,,0-0,,B. Beal misses 2-pt shot from 14 ft
11:43.0,Defensive rebound by J. Valanciunas,,0-0,,
11:38.0,S. Ibaka makes 3-pt shot from 25 ft (assist by O. Anunoby),3,3-0,,
11:18.0,,,3-0,,M. Morris misses 2-pt shot from 12 ft
11:17.0,Defensive rebound by K. Lowry,,3-0,,
11:08.0,S. Ibaka misses 2-pt shot from 9 ft,,3-0,,
11:07.0,,,3-0,,Defensive rebound by M. Gortat
11:01.0,,,3-0,,Turnover by J. Wall (lost ball; steal by O. Anunoby)
10:57.0,Turnover by S. Ibaka (out of bounds lost ball),,3-0,,
10:40.0,,,3-0,,J. Wall misses 2-pt shot from 16 ft
10:38.0,,,3-0,,Offensive rebound by M. Gortat
10:38.0,,,3-2,2,M. Gortat makes 2-pt shot from 1 ft
10:21.0,D. DeRozan misses 2-pt shot from 20 ft,,3-2,,
10:17.0,,,3-2,,Defensive rebound by M. Gortat
10:13.0,,,3-2,,J. Wall misses 2-pt shot from 1 ft
10:12.0,Defensive rebound by D. DeRozan,,3-2,,
10:09.0,Shooting foul by M. Morris (drawn by D. DeRozan),,3-2,,
10:09.0,D. DeRozan misses free throw 1 of 2,,3-2,,
10:09.0,Offensive rebound by Team,,3-2,,
10:09.0,D. DeRozan makes free throw 2 of 2,1,4-2,,
9:58.0,Personal foul by D. DeRozan (drawn by J. Wall),,4-2,,
9:51.0,,,4-2,,B. Beal misses 2-pt shot from 17 ft
9:48.0,Defensive rebound by K. Lowry,,4-2,,
9:46.0,K. Lowry makes 3-pt shot from 26 ft,3,7-2,,
9:37.0,Personal foul by K. Lowry (drawn by J. Wall),,7-2,,
9:28.0,,,7-2,,O. Porter misses 2-pt shot from 11 ft
9:25.0,,,7-2,,Offensive rebound by O. Porter
