time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Maker (T. Rozier gains possession),,,,Jump ball: A. Horford vs. T. Maker (T. Rozier gains possession)
11:40.0,,,0-0,,J. Tatum misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:35.0,K. Middleton misses 3-pt shot from 26 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by J. Brown
11:19.0,,,0-2,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Tatum)
10:57.0,M. Brogdon makes 2-pt shot from 5 ft,2,2-2,,
10:41.0,,,2-4,2,J. Brown makes 2-pt shot at rim
10:19.0,K. Middleton misses 2-pt shot from 12 ft,,2-4,,
10:17.0,,,2-4,,Defensive rebound by A. Horford
10:10.0,,,2-6,2,A. Horford makes 2-pt shot at rim (assist by J. Tatum)
9:49.0,,,2-6,,Personal foul by J. Brown (drawn by G. Antetokounmpo)
9:45.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,2-6,,
9:44.0,,,2-6,,Defensive rebound by J. Tatum
9:36.0,,,2-6,,Turnover by T. Rozier (step out of bounds)
9:20.0,E. Bledsoe makes 2-pt shot from 13 ft,2,4-6,,
9:08.0,,,4-6,,Turnover by J. Brown (bad pass)
8:56.0,G. Antetokounmpo makes 2-pt shot from 13 ft,2,6-6,,
8:31.0,,,6-8,2,S. Ojeleye makes 2-pt shot from 3 ft (assist by T. Rozier)
8:14.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by A. Horford),,6-8,,
8:11.0,,,6-8,,Defensive rebound by J. Tatum
8:09.0,,,6-8,,Shooting foul by K. Middleton (drawn by J. Tatum)
8:09.0,,,6-9,1,J. Tatum makes free throw 1 of 2
8:09.0,,,6-10,1,J. Tatum makes free throw 2 of 2
7:58.0,E. Bledsoe makes 2-pt shot from 1 ft,2,8-10,,
7:43.0,,,8-10,,Turnover by A. Horford (traveling)
7:34.0,Turnover by K. Middleton (lost ball; steal by J. Brown),,8-10,,
7:30.0,,,8-10,,J. Brown misses 2-pt shot from 4 ft
7:29.0,Defensive rebound by E. Bledsoe,,8-10,,
