time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Durant vs. A. Davis (R. Rondo gains possession),,,,Jump ball: K. Durant vs. A. Davis (R. Rondo gains possession)
11:44.0,E. Moore misses 2-pt shot from 7 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Green
11:36.0,,,0-2,2,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry)
11:21.0,A. Davis misses 2-pt shot from 10 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by K. Thompson
11:08.0,,,0-2,,K. Thompson misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by R. Rondo,,0-2,,
11:01.0,R. Rondo makes 2-pt shot from 16 ft,2,2-2,,
10:49.0,,,2-2,,K. Durant misses 3-pt shot from 23 ft
10:47.0,,,2-2,,Offensive rebound by K. Thompson
10:36.0,,,2-2,,A. Iguodala misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by J. Holiday,,2-2,,
10:23.0,Turnover by R. Rondo (bad pass; steal by A. Iguodala),,2-2,,
10:21.0,Personal foul by A. Davis (drawn by A. Iguodala),,2-2,,
10:10.0,,,2-2,,D. Green misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by N. Mirotic,,2-2,,
10:02.0,N. Mirotic misses 3-pt shot from 26 ft,,2-2,,
10:00.0,,,2-2,,Defensive rebound by K. Durant
9:51.0,,,2-2,,D. Green misses 3-pt shot from 27 ft
9:49.0,Defensive rebound by A. Davis,,2-2,,
9:42.0,J. Holiday misses 2-pt shot from 16 ft,,2-2,,
9:41.0,,,2-2,,Defensive rebound by D. Green
9:30.0,,,2-2,,Turnover by D. Green (bad pass)
9:12.0,Turnover by A. Davis (bad pass; steal by K. Durant),,2-2,,
9:08.0,,,2-4,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
8:59.0,New Orleans full timeout,,2-4,,
8:46.0,J. Holiday makes 3-pt shot from 23 ft (assist by E. Moore),3,5-4,,
8:27.0,,,5-6,2,S. Curry makes 2-pt shot from 17 ft (assist by D. Green)
8:15.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,7-6,,
8:06.0,,,7-8,2,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green)
7:57.0,R. Rondo misses 2-pt shot from 11 ft,,7-8,,
7:57.0,,,7-8,,Defensive rebound by Team
