time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. McGee (S. Curry gains possession),,,,Jump ball: T. Thompson vs. J. McGee (S. Curry gains possession)
11:44.0,J. McGee misses 2-pt shot from 2 ft,,0-0,,
11:38.0,Offensive rebound by S. Curry,,0-0,,
11:38.0,S. Curry makes 2-pt shot at rim,2,2-0,,
11:24.0,,,2-0,,K. Love misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by Team,,2-0,,
11:12.0,D. Green misses 3-pt shot from 24 ft,,2-0,,
11:08.0,,,2-0,,Defensive rebound by K. Love
11:02.0,,,2-3,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
10:37.0,K. Durant makes 2-pt shot from 11 ft,2,4-3,,
10:24.0,,,4-3,,G. Hill misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by K. Thompson,,4-3,,
10:17.0,Shooting foul by J. Smith (drawn by S. Curry),,4-3,,
10:17.0,S. Curry makes free throw 1 of 2,1,5-3,,
10:17.0,S. Curry makes free throw 2 of 2,1,6-3,,
10:06.0,,,6-3,,L. James misses 2-pt shot from 1 ft (block by K. Durant)
10:03.0,Defensive rebound by Team,,6-3,,
9:53.0,J. McGee makes 2-pt shot from 4 ft (assist by S. Curry),2,8-3,,
9:48.0,Personal foul by K. Durant (drawn by T. Thompson),,8-3,,
9:38.0,,,8-3,,K. Love misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by K. Thompson,,8-3,,
9:24.0,S. Curry makes 2-pt shot from 1 ft,2,10-3,,
9:23.0,,,10-3,,Cleveland full timeout
9:10.0,Personal foul by K. Thompson (drawn by L. James),,10-3,,
8:57.0,,,10-3,,T. Thompson misses 2-pt shot from 3 ft (block by K. Durant)
8:54.0,Defensive rebound by K. Thompson,,10-3,,
8:47.0,S. Curry makes 3-pt shot from 32 ft,3,13-3,,
8:32.0,,,13-3,,L. James misses 2-pt shot from 1 ft
8:28.0,,,13-3,,Offensive rebound by G. Hill
8:28.0,,,13-3,,G. Hill misses 2-pt shot at rim
8:28.0,,,13-3,,Offensive rebound by T. Thompson
8:24.0,,,13-5,2,T. Thompson makes 2-pt shot at rim
8:08.0,S. Curry misses 3-pt shot from 30 ft,,13-5,,
8:05.0,,,13-5,,Defensive rebound by K. Love
8:02.0,Personal foul by D. Green (drawn by K. Love),,13-5,,
7:48.0,,,13-5,,J. Smith misses 2-pt shot from 6 ft
7:48.0,Defensive rebound by Team,,13-5,,
7:34.0,Offensive foul by K. Thompson (drawn by J. Smith),,13-5,,
7:34.0,Turnover by K. Thompson (offensive foul),,13-5,,
7:34.0,A. Iguodala enters the game for K. Thompson,,13-5,,
7:22.0,Def 3 sec tech foul by J. McGee,,13-5,,
7:22.0,,,13-6,1,K. Love makes technical free throw
7:07.0,,,13-8,2,L. James makes 2-pt shot from 13 ft
6:46.0,A. Iguodala misses 3-pt shot from 24 ft,,13-8,,
6:43.0,,,13-8,,Defensive rebound by G. Hill
6:38.0,,,13-11,3,K. Love makes 3-pt shot from 26 ft (assist by L. James)
6:37.0,Golden State full timeout,,13-11,,
6:37.0,Technical foul by K. Durant,,13-11,,
6:37.0,,,13-11,,K. Love misses technical free throw
6:37.0,Defensive rebound by Team,,13-11,,
6:25.0,A. Iguodala makes 3-pt shot from 24 ft (assist by D. Green),3,16-11,,
6:10.0,,,16-11,,Turnover by L. James (bad pass; steal by S. Curry)
6:03.0,S. Curry makes 3-pt shot from 26 ft,3,19-11,,
5:51.0,,,19-13,2,T. Thompson makes 2-pt shot from 11 ft (assist by L. James)
5:42.0,D. Green makes 3-pt shot from 22 ft (assist by K. Durant),3,22-13,,
5:30.0,,,22-13,,G. Hill misses 3-pt shot from 29 ft
5:27.0,Defensive rebound by K. Durant,,22-13,,
5:25.0,,,22-13,,Personal foul by G. Hill (drawn by S. Curry)
5:25.0,J. Bell enters the game for J. McGee,,22-13,,
5:18.0,K. Durant misses 2-pt shot from 6 ft,,22-13,,
5:15.0,,,22-13,,Defensive rebound by K. Love
5:11.0,,,22-13,,L. James misses 2-pt shot from 1 ft
5:07.0,Defensive rebound by A. Iguodala,,22-13,,
5:07.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,24-13,,
5:07.0,,,24-13,,Cleveland full timeout
5:07.0,,,24-13,,R. Hood enters the game for G. Hill
5:07.0,,,24-13,,J. Green enters the game for T. Thompson
4:54.0,,,24-15,2,L. James makes 2-pt shot at rim (assist by K. Love)
4:31.0,A. Iguodala misses 3-pt shot from 24 ft,,24-15,,
4:30.0,Offensive rebound by A. Iguodala,,24-15,,
4:30.0,,,24-15,,Personal foul by R. Hood (drawn by A. Iguodala)
4:25.0,K. Durant makes 2-pt shot from 2 ft (assist by D. Green),2,26-15,,
3:59.0,,,26-18,3,K. Love makes 3-pt shot from 25 ft (assist by J. Green)
3:43.0,Turnover by S. Curry (bad pass; steal by R. Hood),,26-18,,
3:33.0,,,26-18,,R. Hood misses 3-pt shot from 25 ft
3:30.0,,,26-18,,Offensive rebound by R. Hood
3:24.0,,,26-18,,Shooting foul by A. Iguodala (drawn by K. Love)
3:24.0,,,26-19,1,K. Love makes free throw 1 of 2
3:24.0,,,26-20,1,K. Love makes free throw 2 of 2
3:00.0,K. Durant misses 2-pt shot from 11 ft,,26-20,,
2:57.0,,,26-20,,Defensive rebound by L. James
2:54.0,,,26-20,,Shooting foul by S. Curry (drawn by J. Smith)
2:54.0,,,26-20,,J. Smith misses free throw 1 of 2
2:54.0,,,26-20,,Offensive rebound by Team
2:54.0,S. Livingston enters the game for D. Green,,26-20,,
2:54.0,N. Young enters the game for S. Curry,,26-20,,
2:54.0,,,26-21,1,J. Smith makes free throw 2 of 2
2:39.0,N. Young makes 3-pt shot from 24 ft (assist by K. Durant),3,29-21,,
2:21.0,,,29-21,,Shooting foul by N. Young (drawn by L. James)
2:21.0,,,29-22,1,L. James makes free throw 1 of 2
2:21.0,,,29-22,,K. Korver enters the game for J. Smith
2:21.0,,,29-23,1,L. James makes free throw 2 of 2
2:02.0,K. Durant makes 2-pt shot from 8 ft,2,31-23,,
1:47.0,,,31-23,,K. Love misses 2-pt shot from 11 ft
1:45.0,Defensive rebound by S. Livingston,,31-23,,
1:35.0,A. Iguodala makes 3-pt shot from 25 ft (assist by J. Bell),3,34-23,,
1:19.0,,,34-23,,Turnover by R. Hood (bad pass; steal by A. Iguodala)
1:14.0,K. Durant misses 2-pt shot from 7 ft,,34-23,,
1:10.0,,,34-23,,Defensive rebound by L. James
1:07.0,,,34-25,2,L. James makes 2-pt shot at rim
0:43.0,K. Durant misses 2-pt shot from 11 ft,,34-25,,
0:41.0,,,34-25,,Defensive rebound by K. Love
0:38.0,,,34-25,,L. Nance enters the game for L. James
0:38.0,S. Curry enters the game for K. Durant,,34-25,,
0:28.0,,,34-25,,K. Love misses 2-pt shot from 7 ft (block by J. Bell)
0:27.0,,,34-25,,Offensive rebound by L. Nance
0:26.0,,,34-25,,L. Nance misses 2-pt shot from 3 ft
0:25.0,,,34-25,,Offensive rebound by K. Love
0:20.0,,,34-25,,K. Love misses 2-pt shot from 2 ft
0:20.0,,,34-25,,Offensive rebound by R. Hood
0:17.0,,,34-25,,K. Korver misses 3-pt shot from 26 ft
0:15.0,,,34-25,,Offensive rebound by K. Love
0:12.0,,,34-25,,K. Love misses 2-pt shot from 1 ft (block by A. Iguodala)
0:08.0,Defensive rebound by N. Young,,34-25,,
0:00.0,S. Curry misses 2-pt shot from 6 ft,,34-25,,
0:00.0,Offensive rebound by Team,,34-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,34-25,,R. Hood misses 2-pt shot from 2 ft (block by D. Green)
11:38.0,,,34-25,,Offensive rebound by L. Nance
11:36.0,,,34-28,3,J. Green makes 3-pt shot from 24 ft (assist by L. Nance)
11:20.0,S. Curry misses 3-pt shot from 27 ft,,34-28,,
11:18.0,,,34-28,,Defensive rebound by L. Nance
11:10.0,,,34-28,,L. James misses 2-pt shot from 1 ft
11:06.0,,,34-28,,Offensive rebound by L. Nance
11:06.0,,,34-30,2,L. Nance makes 2-pt shot at rim
10:54.0,S. Livingston misses 2-pt shot from 13 ft,,34-30,,
10:54.0,,,34-30,,Defensive rebound by Team
10:54.0,Loose ball foul by S. Livingston (drawn by R. Hood),,34-30,,
10:38.0,,,34-30,,Turnover by K. Korver (bad pass; steal by S. Curry)
